Country,Timestamp,Forecasted Load,Actual Load
DK,2018-01-01,82740.0,82303.0
DK,2018-01-02,97398.0,97830.0
DK,2018-01-03,104393.0,105109.0
DK,2018-01-04,106055.0,106030.0
DK,2018-01-05,104157.0,104491.0
DK,2018-01-06,93576.0,94350.0
DK,2018-01-07,95227.0,95473.0
DK,2018-01-08,110010.0,109592.0
DK,2018-01-09,102799.0,102722.0
DK,2018-01-10,106060.0,106338.0
DK,2018-01-11,107278.0,106890.0
DK,2018-01-12,103588.0,103264.0
DK,2018-01-13,92705.0,92522.0
DK,2018-01-14,91709.0,91723.0
DK,2018-01-15,105316.0,105183.0
DK,2018-01-16,107430.0,107217.0
DK,2018-01-17,108150.0,110687.0
DK,2018-01-18,108684.0,108856.0
DK,2018-01-19,105095.0,105055.0
DK,2018-01-20,92425.0,92757.0
DK,2018-01-21,91828.0,91785.0
DK,2018-01-22,107009.0,106573.0
DK,2018-01-23,106881.0,106633.0
DK,2018-01-24,103280.0,102661.0
DK,2018-01-25,101674.0,101733.0
DK,2018-01-26,101057.0,101336.0
DK,2018-01-27,89694.0,89978.0
DK,2018-01-28,85288.0,85554.0
DK,2018-01-29,101086.0,100243.0
DK,2018-01-30,110210.0,110900.0
DK,2018-01-31,104829.0,105581.0
DK,2018-02-01,103781.0,104143.0
DK,2018-02-02,104192.0,104446.0
DK,2018-02-03,96324.0,96804.0
DK,2018-02-04,93368.0,93253.0
DK,2018-02-05,109870.0,110231.0
DK,2018-02-06,113946.0,116538.0
DK,2018-02-07,112605.0,112281.0
DK,2018-02-08,111339.0,111132.0
DK,2018-02-09,107382.0,107534.0
DK,2018-02-10,97200.0,97354.0
DK,2018-02-11,92625.0,92568.0
DK,2018-02-12,103380.0,103993.0
DK,2018-02-13,107374.0,107994.0
DK,2018-02-14,106373.0,106584.0
DK,2018-02-15,106416.0,106558.0
DK,2018-02-16,101122.0,100488.0
DK,2018-02-17,90952.0,91444.0
DK,2018-02-18,90353.0,89740.0
DK,2018-02-19,105313.0,105226.0
DK,2018-02-20,105596.0,105522.0
DK,2018-02-21,106807.0,106743.0
DK,2018-02-22,107077.0,106756.0
DK,2018-02-23,105234.0,104937.0
DK,2018-02-24,91734.0,91884.0
DK,2018-02-25,94447.0,94345.0
DK,2018-02-26,108786.0,108248.0
DK,2018-02-27,113097.0,112794.0
DK,2018-02-28,116668.0,116261.0
DK,2018-03-01,116609.0,116262.0
DK,2018-03-02,112773.0,113073.0
DK,2018-03-03,99794.0,100921.0
DK,2018-03-04,96948.0,95940.0
DK,2018-03-05,110547.0,109098.0
DK,2018-03-06,107502.0,107353.0
DK,2018-03-07,108381.0,108427.0
DK,2018-03-08,109371.0,109174.0
DK,2018-03-09,106136.0,106413.0
DK,2018-03-10,94066.0,94494.0
DK,2018-03-11,93971.0,94227.0
DK,2018-03-12,106102.0,106237.0
DK,2018-03-13,107165.0,107716.0
DK,2018-03-14,107128.0,107691.0
DK,2018-03-15,109235.0,110453.0
DK,2018-03-16,109927.0,110019.0
DK,2018-03-17,99952.0,100527.0
DK,2018-03-18,96130.0,95975.0
DK,2018-03-19,106633.0,105648.0
DK,2018-03-20,103351.0,102965.0
DK,2018-03-21,106248.0,105739.0
DK,2018-03-22,106686.0,108764.0
DK,2018-03-23,102882.0,103332.0
DK,2018-03-24,91163.0,91257.0
DK,2018-03-25,84886.0,84833.0
DK,2018-03-26,98667.0,99295.0
DK,2018-03-27,102378.0,102484.0
DK,2018-03-28,100181.0,103917.0
DK,2018-03-29,91781.0,92753.0
DK,2018-03-30,87315.0,88170.0
DK,2018-03-31,86513.0,87179.0
DK,2018-04-01,83527.0,83665.0
DK,2018-04-02,86739.0,84176.0
DK,2018-04-03,100096.0,99961.0
DK,2018-04-04,95251.0,94839.0
DK,2018-04-05,96834.0,96918.0
DK,2018-04-06,93772.0,93910.0
DK,2018-04-07,82873.0,82792.0
DK,2018-04-08,79138.0,79028.0
DK,2018-04-09,92200.0,91864.0
DK,2018-04-10,94792.0,88196.0
DK,2018-04-11,95794.0,94823.0
DK,2018-04-12,93791.0,93212.0
DK,2018-04-13,88686.0,89054.0
DK,2018-04-14,80606.0,80682.0
DK,2018-04-15,79793.0,80962.0
DK,2018-04-16,93497.0,93765.0
DK,2018-04-17,93235.0,92956.0
DK,2018-04-18,89976.0,90113.0
DK,2018-04-19,90454.0,90274.0
DK,2018-04-20,85254.0,85240.0
DK,2018-04-21,74496.0,75104.0
DK,2018-04-22,76059.0,76269.0
DK,2018-04-23,88892.0,88757.0
DK,2018-04-24,90672.0,90716.0
DK,2018-04-25,91983.0,91981.0
DK,2018-04-26,89372.0,89197.0
DK,2018-04-27,76361.0,76826.0
DK,2018-04-28,77039.0,77102.0
DK,2018-04-29,76462.0,76340.0
DK,2018-04-30,87819.0,88649.0
DK,2018-05-01,87240.0,86133.0
DK,2018-05-02,92498.0,93282.0
DK,2018-05-03,94598.0,94508.0
DK,2018-05-04,87978.0,88103.0
DK,2018-05-05,76180.0,76449.0
DK,2018-05-06,74470.0,74967.0
DK,2018-05-07,89264.0,89198.0
DK,2018-05-08,90615.0,90811.0
DK,2018-05-09,90874.0,90793.0
DK,2018-05-10,78620.0,79084.0
DK,2018-05-11,78197.0,78826.0
DK,2018-05-12,73905.0,74129.0
DK,2018-05-13,74513.0,74805.0
DK,2018-05-14,89200.0,89556.0
DK,2018-05-15,90135.0,90159.0
DK,2018-05-16,93561.0,93436.0
DK,2018-05-17,92710.0,92121.0
DK,2018-05-18,88341.0,88178.0
DK,2018-05-19,75263.0,75954.0
DK,2018-05-20,73355.0,73531.0
DK,2018-05-21,78197.0,78426.0
DK,2018-05-22,91631.0,91519.0
DK,2018-05-23,93486.0,92983.0
DK,2018-05-24,95277.0,95476.0
DK,2018-05-25,90034.0,89983.0
DK,2018-05-26,77132.0,77710.0
DK,2018-05-27,76659.0,76632.0
DK,2018-05-28,90973.0,91443.0
DK,2018-05-29,93729.0,93482.0
DK,2018-05-30,93474.0,93408.0
DK,2018-05-31,93141.0,92639.0
DK,2018-06-01,89794.0,89858.0
DK,2018-06-02,77538.0,78387.0
DK,2018-06-03,77380.0,77201.0
DK,2018-06-04,89099.0,89347.0
DK,2018-06-05,83426.0,82663.0
DK,2018-06-06,92921.0,91692.0
DK,2018-06-07,92441.0,92492.0
DK,2018-06-08,90116.0,90582.0
DK,2018-06-09,78272.0,78738.0
DK,2018-06-10,78293.0,78172.0
DK,2018-06-11,91633.0,92141.0
DK,2018-06-12,92631.0,92549.0
DK,2018-06-13,93053.0,93067.0
DK,2018-06-14,94476.0,93875.0
DK,2018-06-15,87642.0,87543.0
DK,2018-06-16,76041.0,76346.0
DK,2018-06-17,75455.0,75276.0
DK,2018-06-18,88679.0,88682.0
DK,2018-06-19,90059.0,89557.0
DK,2018-06-20,91676.0,92115.0
DK,2018-06-21,90589.0,89724.0
DK,2018-06-22,87889.0,89079.0
DK,2018-06-23,78405.0,78393.0
DK,2018-06-24,75589.0,75417.0
DK,2018-06-25,90283.0,90464.0
DK,2018-06-26,91319.0,91315.0
DK,2018-06-27,92059.0,92262.0
DK,2018-06-28,92551.0,92636.0
DK,2018-06-29,87928.0,88058.0
DK,2018-06-30,77113.0,77637.0
DK,2018-07-01,75537.0,75765.0
DK,2018-07-02,90239.0,89779.0
DK,2018-07-03,91957.0,91584.0
DK,2018-07-04,91100.0,90998.0
DK,2018-07-05,91422.0,90893.0
DK,2018-07-06,88948.0,88801.0
DK,2018-07-07,76204.0,77231.0
DK,2018-07-08,75491.0,75725.0
DK,2018-07-09,89512.0,89447.0
DK,2018-07-10,89521.0,89172.0
DK,2018-07-11,90319.0,90112.0
DK,2018-07-12,90093.0,89883.0
DK,2018-07-13,85244.0,85463.0
DK,2018-07-14,72568.0,72878.0
DK,2018-07-15,72168.0,72353.0
DK,2018-07-16,83135.0,82767.0
DK,2018-07-17,85314.0,85135.0
DK,2018-07-18,85250.0,84698.0
DK,2018-07-19,82356.0,81913.0
DK,2018-07-20,79802.0,79690.0
DK,2018-07-21,71780.0,72213.0
DK,2018-07-22,71830.0,71651.0
DK,2018-07-23,80755.0,80501.0
DK,2018-07-24,83424.0,83398.0
DK,2018-07-25,84778.0,84759.0
DK,2018-07-26,85180.0,85092.0
DK,2018-07-27,83499.0,82997.0
DK,2018-07-28,75854.0,76173.0
DK,2018-07-29,72875.0,73113.0
DK,2018-07-30,85550.0,84964.0
DK,2018-07-31,86682.0,86407.0
DK,2018-08-01,86737.0,86493.0
DK,2018-08-02,87109.0,87149.0
DK,2018-08-03,85643.0,85735.0
DK,2018-08-04,75495.0,76041.0
DK,2018-08-05,74389.0,74343.0
DK,2018-08-06,89639.0,88979.0
DK,2018-08-07,92068.0,91669.0
DK,2018-08-08,93500.0,93029.0
DK,2018-08-09,91458.0,91067.0
DK,2018-08-10,88540.0,87711.0
DK,2018-08-11,73072.0,73047.0
DK,2018-08-12,71254.0,71052.0
DK,2018-08-13,88043.0,87852.0
DK,2018-08-14,89027.0,88623.0
DK,2018-08-15,88079.0,88235.0
DK,2018-08-16,90407.0,90145.0
DK,2018-08-17,85630.0,85649.0
DK,2018-08-18,75186.0,74516.0
DK,2018-08-19,73364.0,73736.0
DK,2018-08-20,87891.0,86768.0
DK,2018-08-21,86849.0,86772.0
DK,2018-08-22,88594.0,88943.0
DK,2018-08-23,90982.0,90291.0
DK,2018-08-24,86089.0,85510.0
DK,2018-08-25,73611.0,72829.0
DK,2018-08-26,71018.0,71303.0
DK,2018-08-27,88179.0,88465.0
DK,2018-08-28,87397.0,87760.0
DK,2018-08-29,87655.0,87535.0
DK,2018-08-30,89271.0,88775.0
DK,2018-08-31,85210.0,84823.0
DK,2018-09-01,73638.0,73649.0
DK,2018-09-02,74293.0,73329.0
DK,2018-09-03,87603.0,87304.0
DK,2018-09-04,89129.0,88839.0
DK,2018-09-05,89616.0,89656.0
DK,2018-09-06,89145.0,89377.0
DK,2018-09-07,87665.0,87790.0
DK,2018-09-08,75456.0,75382.0
DK,2018-09-09,74425.0,74151.0
DK,2018-09-10,88504.0,88184.0
DK,2018-09-11,92588.0,93145.0
DK,2018-09-12,90924.0,90906.0
DK,2018-09-13,89833.0,89907.0
DK,2018-09-14,87342.0,87844.0
DK,2018-09-15,74898.0,74632.0
DK,2018-09-16,75875.0,75779.0
DK,2018-09-17,89025.0,88652.0
DK,2018-09-18,91160.0,90984.0
DK,2018-09-19,91767.0,92283.0
DK,2018-09-20,90804.0,90587.0
DK,2018-09-21,88887.0,88697.0
DK,2018-09-22,77246.0,76631.0
DK,2018-09-23,75647.0,75146.0
DK,2018-09-24,91811.0,91443.0
DK,2018-09-25,92537.0,92587.0
DK,2018-09-26,95145.0,95719.0
DK,2018-09-27,95796.0,96176.0
DK,2018-09-28,90711.0,90007.0
DK,2018-09-29,78473.0,78110.0
DK,2018-09-30,78119.0,77809.0
DK,2018-10-01,92525.0,92362.0
DK,2018-10-02,98868.0,99048.0
DK,2018-10-03,96619.0,96229.0
DK,2018-10-04,95045.0,94684.0
DK,2018-10-05,91042.0,90956.0
DK,2018-10-06,79941.0,80212.0
DK,2018-10-07,78801.0,78926.0
DK,2018-10-08,94929.0,94607.0
DK,2018-10-09,94989.0,95042.0
DK,2018-10-10,94354.0,93645.0
DK,2018-10-11,92742.0,92017.0
DK,2018-10-12,88988.0,89049.0
DK,2018-10-13,77808.0,77726.0
DK,2018-10-14,75781.0,75161.0
