Country,Timestamp,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
FR,,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
FR,2018-01-01,7049.0,56926.0,220.0,5151.0,3044.0,137797.0,37796.0,931190.0,8168.0,6002.0,214525.0
FR,2018-01-02,7106.0,71872.0,249.0,5149.0,19141.0,146993.0,40847.0,1243491.0,6718.0,5968.0,156592.0
FR,2018-01-03,7031.0,58955.0,232.0,5180.0,9464.0,152874.0,42708.0,1249867.0,7144.0,5814.0,218612.0
FR,2018-01-04,6972.0,59987.0,239.0,5229.0,15116.0,155778.0,50620.0,1260454.0,7375.0,6200.0,197314.0
FR,2018-01-05,6591.0,72937.0,223.0,5205.0,21972.0,145154.0,56229.0,1281614.0,9203.0,6302.0,112749.0
FR,2018-01-06,6845.0,60561.0,2.0,5189.0,18669.0,143673.0,46722.0,1321963.0,6222.0,6233.0,45241.0
FR,2018-01-07,7091.0,57915.0,101.0,4751.0,1950.0,142448.0,40659.0,1238630.0,5823.0,5970.0,181490.0
FR,2018-01-08,7090.0,122065.0,16298.0,4752.0,23146.0,150142.0,54073.0,1314039.0,7801.0,6054.0,87738.0
FR,2018-01-09,7145.0,136317.0,27929.0,4737.0,13278.0,151151.0,59856.0,1353982.0,9435.0,6235.0,57474.0
FR,2018-01-10,7134.0,141486.0,35190.0,4764.0,11077.0,148698.0,56441.0,1374473.0,10542.0,6225.0,55016.0
FR,2018-01-11,6667.0,155093.0,44354.0,4735.0,21006.0,149606.0,58330.0,1373239.0,10500.0,6233.0,35678.0
FR,2018-01-12,6947.0,153823.0,48018.0,5184.0,30945.0,152648.0,60945.0,1345063.0,11927.0,6385.0,29390.0
FR,2018-01-13,7077.0,77020.0,12650.0,5206.0,14838.0,145998.0,56949.0,1299440.0,10870.0,6408.0,69469.0
FR,2018-01-14,6920.0,76234.0,11808.0,5098.0,10699.0,143608.0,54446.0,1303793.0,8048.0,6251.0,40216.0
FR,2018-01-15,6128.0,115064.0,11484.0,5078.0,27112.0,146182.0,56446.0,1325210.0,8223.0,6219.0,170668.0
FR,2018-01-16,6116.0,74520.0,4560.0,5068.0,15454.0,143960.0,48830.0,1324087.0,8366.0,6165.0,220220.0
FR,2018-01-17,6273.0,89875.0,3207.0,5086.0,19866.0,154097.0,58184.0,1352648.0,13636.0,6184.0,215173.0
FR,2018-01-18,6639.0,85331.0,10304.0,5077.0,15107.0,152017.0,58616.0,1348535.0,10088.0,5987.0,205140.0
FR,2018-01-19,6733.0,108966.0,12144.0,5126.0,28095.0,159467.0,67624.0,1339549.0,12746.0,6232.0,112494.0
FR,2018-01-20,6839.0,65710.0,11155.0,5111.0,12168.0,155199.0,60470.0,1315941.0,6173.0,6574.0,152482.0
FR,2018-01-21,6908.0,66154.0,158.0,5228.0,9138.0,156904.0,59743.0,1316633.0,9077.0,6597.0,109938.0
FR,2018-01-22,6532.0,123362.0,180.0,5221.0,22876.0,153205.0,85361.0,1313978.0,8519.0,6523.0,143739.0
FR,2018-01-23,6732.0,103691.0,212.0,5221.0,18059.0,147891.0,82334.0,1348846.0,12570.0,6447.0,107613.0
FR,2018-01-24,6707.0,71347.0,222.0,5178.0,5664.0,143610.0,69919.0,1318478.0,15329.0,6429.0,171870.0
FR,2018-01-25,6831.0,107262.0,219.0,5193.0,19566.0,147546.0,79184.0,1348887.0,6721.0,6391.0,82927.0
FR,2018-01-26,6822.0,162374.0,9156.0,5186.0,32946.0,157337.0,86881.0,1394124.0,9515.0,6461.0,42389.0
FR,2018-01-27,6864.0,79903.0,197.0,5189.0,19093.0,151712.0,75814.0,1385699.0,12178.0,6549.0,53771.0
FR,2018-01-28,6919.0,62047.0,104.0,5181.0,3868.0,145653.0,57255.0,1301788.0,16052.0,6374.0,83231.0
FR,2018-01-29,6815.0,99388.0,7311.0,5180.0,20544.0,151425.0,74058.0,1321490.0,12981.0,6133.0,86193.0
FR,2018-01-30,6673.0,131850.0,23579.0,5163.0,20628.0,148247.0,76183.0,1339272.0,11779.0,6048.0,32884.0
FR,2018-01-31,7031.0,70454.0,21305.0,5171.0,10139.0,142908.0,68062.0,1335669.0,10898.0,6280.0,164356.0
FR,2018-02-01,11131.0,140977.0,21733.0,5731.0,22278.0,148742.0,74796.0,1365805.0,11041.0,5744.0,88913.0
FR,2018-02-02,12983.0,151644.0,27606.0,5717.0,19543.0,151984.0,85597.0,1360149.0,14827.0,5753.0,77475.0
FR,2018-02-03,12678.0,150268.0,22499.0,5716.0,12599.0,150372.0,76882.0,1287820.0,12257.0,5608.0,43139.0
FR,2018-02-04,13406.0,83029.0,22064.0,5718.0,4117.0,139960.0,58544.0,1303616.0,15095.0,5521.0,92997.0
