Country,Timestamp,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
DK,,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
DK,2019-01-01,10723.0,2512.0,7726.0,440.0,647.0,1714.0,16029.0,74320.0
DK,2019-01-02,16723.0,9536.0,22149.0,789.0,1053.0,2519.0,17155.0,39352.0
DK,2019-01-03,19197.0,13137.0,27816.0,909.0,684.0,3501.0,11180.0,16494.0
DK,2019-01-04,17392.0,8658.0,19791.0,822.0,355.0,3274.0,20981.0,62083.0
DK,2019-01-05,16565.0,9482.0,19717.0,763.0,575.0,3821.0,11943.0,21306.0
DK,2019-01-06,18755.0,12240.0,19955.0,859.0,380.0,3843.0,4399.0,11463.0
DK,2019-01-07,17965.0,11649.0,18784.0,1288.0,221.0,4126.0,12929.0,39339.0
DK,2019-01-08,16338.0,8999.0,14542.0,768.0,274.0,3801.0,23866.0,77528.0
DK,2019-01-09,18111.0,12141.0,18256.0,816.0,819.0,3587.0,22322.0,59554.0
DK,2019-01-10,20278.0,15054.0,25308.0,926.0,338.0,4491.0,5009.0,13162.0
DK,2019-01-11,18132.0,13033.0,18894.0,869.0,740.0,4047.0,19593.0,57590.0
DK,2019-01-12,17291.0,13168.0,18509.0,856.0,196.0,4181.0,18243.0,44636.0
DK,2019-01-13,15231.0,8015.0,9219.0,717.0,229.0,3231.0,22288.0,68842.0
DK,2019-01-14,16844.0,11142.0,17868.0,823.0,1161.0,2889.0,22188.0,82232.0
DK,2019-01-15,14355.0,12909.0,22435.0,871.0,184.0,3404.0,22143.0,58107.0
DK,2019-01-16,13549.0,12783.0,23508.0,734.0,125.0,2764.0,22504.0,69277.0
DK,2019-01-17,15202.0,13519.0,27030.0,841.0,334.0,3674.0,20014.0,33313.0
DK,2019-01-18,15972.0,14859.0,32120.0,905.0,1235.0,4358.0,8612.0,16451.0
DK,2019-01-19,18970.0,14181.0,30575.0,883.0,669.0,4143.0,6122.0,13331.0
DK,2019-01-20,20053.0,12325.0,31076.0,854.0,859.0,4202.0,3681.0,9581.0
DK,2019-01-21,20159.0,12822.0,33801.0,1073.0,773.0,4306.0,13047.0,30643.0
