Country,Timestamp,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
SE,2020-01-01,113779.0,186307.0,30143.0,147995.0
SE,2020-01-02,140066.0,186147.0,31180.0,156734.0
SE,2020-01-03,130750.0,186290.0,31645.0,166348.0
SE,2020-01-04,122439.0,186705.0,29215.0,164694.0
SE,2020-01-05,181513.0,186790.0,28537.0,106134.0
SE,2020-01-06,185581.0,186647.0,30891.0,104468.0
SE,2020-01-07,197827.0,186697.0,29928.0,112140.0
SE,2020-01-08,170448.0,186847.0,29386.0,161685.0
SE,2020-01-09,196862.0,186926.0,28581.0,112100.0
SE,2020-01-10,241951.0,186861.0,28524.0,73851.0
SE,2020-01-11,181284.0,186892.0,28914.0,132958.0
SE,2020-01-12,141625.0,186974.0,30158.0,132419.0
SE,2020-01-13,208931.0,186865.0,30126.0,114854.0
SE,2020-01-14,194571.0,186845.0,31967.0,141222.0
SE,2020-01-15,190016.0,186978.0,29670.0,123340.0
SE,2020-01-16,206417.0,186670.0,29783.0,116375.0
SE,2020-01-17,230191.0,186754.0,26379.0,92343.0
SE,2020-01-18,203987.0,186773.0,27073.0,62946.0
SE,2020-01-19,204936.0,186763.0,27639.0,87204.0
SE,2020-01-20,200078.0,186783.0,28996.0,146394.0
SE,2020-01-21,182386.0,184238.0,29655.0,159801.0
SE,2020-01-22,207500.0,186417.0,30226.0,130823.0
SE,2020-01-23,225642.0,186923.0,31875.0,124169.0
SE,2020-01-24,209175.0,187156.0,31651.0,140097.0
SE,2020-01-25,222625.0,187282.0,31059.0,98569.0
SE,2020-01-26,213322.0,187118.0,30568.0,82389.0
SE,2020-01-27,245169.0,187221.0,30222.0,62371.0
SE,2020-01-28,253542.0,187254.0,29383.0,42364.0
SE,2020-01-29,245557.0,187153.0,28287.0,48211.0
SE,2020-01-30,258123.0,187122.0,28740.0,28627.0
SE,2020-01-31,217021.0,187200.0,29046.0,63769.0
SE,2020-02-01,161062.0,187176.0,25218.0,103048.0
SE,2020-02-02,175934.0,187289.0,27758.0,115344.0
SE,2020-02-03,250405.0,187222.0,29042.0,68092.0
SE,2020-02-04,254135.0,187098.0,29501.0,57508.0
SE,2020-02-05,226698.0,187247.0,28197.0,130486.0
SE,2020-02-06,255534.0,187236.0,25963.0,66318.0
SE,2020-02-07,264214.0,187136.0,25924.0,76487.0
SE,2020-02-08,221628.0,187019.0,24165.0,91943.0
SE,2020-02-09,130948.0,182366.0,22862.0,152427.0
SE,2020-02-10,185241.0,182408.0,23580.0,159178.0
SE,2020-02-11,209746.0,182207.0,23922.0,121481.0
SE,2020-02-12,236421.0,186490.0,23876.0,91105.0
SE,2020-02-13,271864.0,187024.0,25239.0,65823.0
SE,2020-02-14,283574.0,170389.0,25441.0,52558.0
SE,2020-02-15,251021.0,137733.0,23575.0,106646.0
SE,2020-02-16,144408.0,132735.0,21451.0,162202.0
SE,2020-02-17,205499.0,125263.0,23597.0,158667.0
SE,2020-02-18,233743.0,132038.0,24575.0,150094.0
SE,2020-02-19,282133.0,141649.0,30095.0,55177.0
SE,2020-02-20,252096.0,145568.0,27505.0,126656.0
SE,2020-02-21,216366.0,144991.0,24880.0,152071.0
SE,2020-02-22,155252.0,123922.0,21528.0,161810.0
SE,2020-02-23,171189.0,123794.0,21966.0,161916.0
SE,2020-02-24,245815.0,134595.0,27892.0,98343.0
SE,2020-02-25,274367.0,126694.0,27921.0,80120.0
SE,2020-02-26,288120.0,128180.0,31464.0,71793.0
SE,2020-02-27,268968.0,150927.0,34593.0,35589.0
SE,2020-02-28,270375.0,180516.0,31813.0,47487.0
SE,2020-02-29,215100.0,186491.0,26890.0,56621.0
SE,2020-03-01,192200.0,187204.0,25524.0,91776.0
SE,2020-03-02,264328.0,187125.0,29858.0,60862.0
SE,2020-03-03,265627.0,181432.0,28948.0,56628.0
SE,2020-03-04,266898.0,187162.0,27586.0,68578.0
SE,2020-03-05,282381.0,187108.0,28230.0,39590.0
SE,2020-03-06,282176.0,187049.0,25500.0,54516.0
SE,2020-03-07,262084.0,186958.0,25119.0,47770.0
SE,2020-03-08,171729.0,184212.0,23244.0,148034.0
SE,2020-03-09,235578.0,186349.0,24257.0,97330.0
SE,2020-03-10,248338.0,186863.0,23322.0,62776.0
SE,2020-03-11,218688.0,181810.0,23575.0,86330.0
SE,2020-03-12,233952.0,165463.0,24242.0,98115.0
SE,2020-03-13,230430.0,163800.0,22748.0,136542.0
SE,2020-03-14,266645.0,161611.0,22070.0,87516.0
SE,2020-03-15,169364.0,148273.0,20943.0,161684.0
SE,2020-03-16,246167.0,162089.0,24544.0,92717.0
SE,2020-03-17,217469.0,166292.0,24197.0,136734.0
SE,2020-03-18,226422.0,166318.0,22767.0,122471.0
SE,2020-03-19,223743.0,165650.0,24785.0,106257.0
SE,2020-03-20,254674.0,166134.0,22696.0,66092.0
SE,2020-03-21,243762.0,161278.0,20141.0,58230.0
SE,2020-03-22,211749.0,161270.0,19063.0,79613.0
SE,2020-03-23,241338.0,161082.0,21634.0,103786.0
SE,2020-03-24,220837.0,151299.0,22115.0,144321.0
SE,2020-03-25,207013.0,145612.0,21925.0,143081.0
SE,2020-03-26,242297.0,151049.0,22702.0,60751.0
SE,2020-03-27,236925.0,156218.0,20505.0,59998.0
SE,2020-03-28,200231.0,144021.0,15989.0,114832.0
SE,2020-03-29,194098.0,139240.0,16034.0,95293.0
SE,2020-03-30,250690.0,161906.0,19430.0,60114.0
SE,2020-03-31,187593.0,166058.0,19729.0,131886.0
SE,2020-04-01,199481.0,162820.0,18121.0,99603.0
SE,2020-04-02,208831.0,139410.0,19357.0,118919.0
SE,2020-04-03,224231.0,136180.0,17472.0,137228.0
SE,2020-04-04,245447.0,140660.0,16410.0,93656.0
