Country,Timestamp,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
FR,2022-01-01,8694.0,63042.0,679.0,5134.0,12504.0,138660.0,33188.0,956188.0,22702.0,6023.0,95301.0
FR,2022-01-02,8629.0,64895.0,688.0,5151.0,1928.0,135262.0,18245.0,943520.0,14237.0,5625.0,219902.0
FR,2022-01-03,8666.0,78723.0,1081.0,5152.0,25191.0,138891.0,27270.0,1004384.0,15969.0,5287.0,201832.0
FR,2022-01-04,8344.0,118507.0,4214.0,5153.0,22639.0,140411.0,33204.0,1076214.0,10356.0,4748.0,156207.0
FR,2022-01-05,8206.0,119025.0,13698.0,6520.0,17577.0,147025.0,36868.0,1096611.0,22108.0,4834.0,126291.0
FR,2022-01-06,8078.0,139632.0,25213.0,6411.0,16716.0,148077.0,32480.0,1136062.0,25876.0,5492.0,85168.0
FR,2022-01-07,8310.0,134391.0,26129.0,5111.0,24293.0,145707.0,44644.0,1133265.0,18571.0,5643.0,207139.0
FR,2022-01-08,8556.0,85752.0,25363.0,5104.0,2427.0,135939.0,24255.0,1093037.0,14133.0,5736.0,241534.0
FR,2022-01-09,8399.0,108110.0,23606.0,4857.0,4442.0,136356.0,29869.0,1102374.0,10327.0,5684.0,150618.0
FR,2022-01-10,8563.0,193767.0,38286.0,5102.0,36591.0,152631.0,65448.0,1163283.0,12350.0,5501.0,40190.0
FR,2022-01-11,8673.0,198285.0,35597.0,5099.0,13096.0,146702.0,55383.0,1135627.0,26141.0,5390.0,57583.0
FR,2022-01-12,8285.0,201844.0,37233.0,6167.0,20657.0,149002.0,61619.0,1138704.0,26406.0,5352.0,56362.0
FR,2022-01-13,9503.0,216253.0,40019.0,5571.0,15444.0,160724.0,53345.0,1247909.0,26976.0,6086.0,64427.0
FR,2022-01-14,8902.0,201830.0,37927.0,5748.0,28243.0,146930.0,55849.0,1158612.0,28877.0,5768.0,26081.0
FR,2022-01-15,8797.0,192780.0,26040.0,5092.0,10244.0,134907.0,48540.0,1161352.0,28871.0,5772.0,27688.0
FR,2022-01-16,8783.0,193932.0,5606.0,5093.0,8738.0,118417.0,29523.0,1164240.0,24064.0,5700.0,57206.0
FR,2022-01-17,8752.0,192914.0,21295.0,5083.0,18292.0,134640.0,63398.0,1166767.0,20390.0,5716.0,40945.0
FR,2022-01-18,8884.0,195017.0,38137.0,5091.0,21503.0,128138.0,52242.0,1161877.0,20660.0,5708.0,64707.0
FR,2022-01-19,8500.0,195781.0,39489.0,5094.0,19118.0,122649.0,42910.0,1162638.0,11660.0,5317.0,69106.0
FR,2022-01-20,8375.0,193548.0,39226.0,5096.0,20646.0,117279.0,44632.0,1156210.0,18525.0,5189.0,90855.0
FR,2022-01-21,8458.0,193177.0,38485.0,5088.0,10592.0,111246.0,34694.0,1168633.0,29035.0,5074.0,90863.0
FR,2022-01-22,8590.0,204128.0,37764.0,5093.0,5450.0,90547.0,22958.0,1182862.0,28312.0,5878.0,56080.0
FR,2022-01-23,8607.0,198098.0,25203.0,5077.0,5121.0,78924.0,20109.0,1159712.0,29618.0,5616.0,60582.0
FR,2022-01-24,8675.0,196352.0,35465.0,9046.0,27000.0,106857.0,70741.0,1178598.0,33217.0,5347.0,45905.0
FR,2022-01-25,8446.0,196019.0,41467.0,22205.0,35934.0,123009.0,92133.0,1174990.0,29589.0,5663.0,17422.0
FR,2022-01-26,8351.0,175960.0,40817.0,13099.0,29027.0,115705.0,74681.0,1183417.0,28459.0,5968.0,26997.0
FR,2022-01-27,8410.0,193060.0,40093.0,6364.0,23603.0,110019.0,65028.0,1175409.0,25162.0,6060.0,82275.0
FR,2022-01-28,8539.0,195829.0,39957.0,5086.0,16110.0,105767.0,46754.0,1180769.0,22482.0,5985.0,50850.0
FR,2022-01-29,8601.0,144438.0,26078.0,5060.0,4090.0,80477.0,17056.0,1150098.0,20124.0,5832.0,161308.0
FR,2022-01-30,8627.0,174847.0,1915.0,5055.0,4578.0,67405.0,9432.0,1165023.0,23241.0,5695.0,61010.0
FR,2022-01-31,8676.0,150083.0,12579.0,5093.0,8444.0,83232.0,23822.0,1142785.0,19388.0,5416.0,247508.0
FR,2022-02-01,8663.0,162906.0,12308.0,6439.0,8021.0,83314.0,20835.0,1140164.0,20470.0,5392.0,205456.0
FR,2022-02-02,8670.0,175621.0,14484.0,5938.0,14877.0,87700.0,23693.0,1143792.0,20315.0,5548.0,124703.0
FR,2022-02-03,9414.0,179436.0,14809.0,6662.0,17871.0,99764.0,17581.0,1154219.0,18080.0,5404.0,60865.0
FR,2022-02-04,10108.0,159630.0,15733.0,5928.0,14573.0,100147.0,21502.0,1147353.0,17547.0,5448.0,163069.0
FR,2022-02-05,13665.0,120796.0,2129.0,5909.0,12126.0,85828.0,13957.0,1074020.0,35124.0,5474.0,134284.0
FR,2022-02-06,13461.0,90978.0,1875.0,5928.0,569.0,73032.0,6742.0,1025913.0,19379.0,5626.0,318389.0
FR,2022-02-07,13860.0,162456.0,21092.0,5929.0,16726.0,99211.0,21828.0,1075034.0,30978.0,5358.0,134480.0
FR,2022-02-08,14026.0,180148.0,33149.0,5940.0,14614.0,106896.0,20092.0,1091129.0,37595.0,5613.0,85415.0
FR,2022-02-09,12560.0,189405.0,30224.0,6401.0,23908.0,108288.0,36703.0,1092722.0,38356.0,5705.0,56939.0
FR,2022-02-10,9299.0,190346.0,37048.0,5934.0,14988.0,108820.0,23541.0,1098842.0,31159.0,5664.0,86101.0
FR,2022-02-11,12560.0,188839.0,32929.0,5922.0,19609.0,115831.0,31664.0,1106858.0,34443.0,5726.0,64187.0
FR,2022-02-12,13039.0,178288.0,23330.0,5925.0,8158.0,101620.0,13509.0,1046845.0,36509.0,5658.0,99989.0
FR,2022-02-13,14444.0,95332.0,19071.0,5916.0,1085.0,81735.0,10340.0,1000509.0,32994.0,5504.0,244591.0
FR,2022-02-14,14544.0,142206.0,30399.0,5940.0,13321.0,100927.0,28237.0,1024614.0,18466.0,5493.0,203467.0
FR,2022-02-15,12755.0,136358.0,35947.0,6173.0,21358.0,120297.0,36710.0,1056958.0,25916.0,5469.0,202979.0
FR,2022-02-16,8699.0,86367.0,2875.0,6073.0,12308.0,113138.0,23739.0,1049345.0,14061.0,5723.0,324752.0
FR,2022-02-17,12068.0,104930.0,2034.0,6060.0,16620.0,128305.0,26212.0,1019147.0,24215.0,5518.0,265805.0
FR,2022-02-18,8695.0,90257.0,1774.0,6057.0,18045.0,136163.0,21743.0,1042016.0,28788.0,5343.0,267419.0
FR,2022-02-19,11752.0,65950.0,2058.0,6624.0,11770.0,131369.0,23697.0,978016.0,34412.0,5806.0,238299.0
FR,2022-02-20,12982.0,65717.0,1846.0,6302.0,2145.0,120060.0,14158.0,939918.0,26432.0,5869.0,296503.0
FR,2022-02-21,14195.0,84690.0,15959.0,6117.0,18190.0,129609.0,29531.0,988809.0,28189.0,5570.0,310794.0
FR,2022-02-22,15140.0,112992.0,32745.0,6087.0,14681.0,135775.0,29234.0,1030379.0,31684.0,5522.0,184401.0
FR,2022-02-23,15236.0,145168.0,35421.0,6133.0,13568.0,137778.0,36760.0,1050309.0,41951.0,5451.0,45136.0
FR,2022-02-24,13524.0,94524.0,35818.0,6127.0,11286.0,128206.0,34668.0,1041768.0,26522.0,5432.0,181107.0
FR,2022-02-25,11457.0,105800.0,24193.0,6125.0,16868.0,134510.0,56887.0,1049441.0,44696.0,5128.0,113707.0
FR,2022-02-26,11934.0,142395.0,22838.0,6103.0,13326.0,120407.0,22235.0,1021771.0,54600.0,5498.0,116830.0
FR,2022-02-27,8756.0,88903.0,21497.0,6072.0,7286.0,93592.0,11246.0,980682.0,46381.0,5587.0,149248.0
FR,2022-02-28,8612.0,166485.0,35324.0,6134.0,23748.0,110102.0,33736.0,1011728.0,51439.0,5578.0,74905.0
FR,2022-03-01,8480.0,198412.0,16012.0,6680.0,21534.0,119800.0,46181.0,1029142.0,41344.0,5831.0,47345.0
FR,2022-03-02,8452.0,182043.0,14395.0,6082.0,30457.0,118653.0,50066.0,1023944.0,21105.0,5858.0,46679.0
FR,2022-03-03,11781.0,167456.0,30653.0,11887.0,23743.0,122819.0,47245.0,1018627.0,34610.0,5893.0,30854.0
FR,2022-03-04,11742.0,147811.0,38720.0,16799.0,16457.0,114870.0,36748.0,1025789.0,30520.0,6049.0,65535.0
FR,2022-03-05,8314.0,112217.0,23547.0,4737.0,5772.0,106951.0,38188.0,1024506.0,37022.0,5971.0,60332.0
FR,2022-03-06,7795.0,102190.0,14174.0,4628.0,7030.0,92447.0,17085.0,1008957.0,45760.0,5927.0,109071.0
FR,2022-03-07,7846.0,163645.0,14098.0,7760.0,26949.0,108863.0,55656.0,1011863.0,54680.0,5698.0,142060.0
FR,2022-03-08,11298.0,145866.0,24671.0,7110.0,24578.0,103624.0,41535.0,1017338.0,37415.0,5372.0,132963.0
FR,2022-03-09,11272.0,163796.0,21408.0,4693.0,20434.0,95355.0,42986.0,1018889.0,47111.0,5560.0,102176.0
FR,2022-03-10,7852.0,128659.0,21957.0,5458.0,12475.0,88843.0,28909.0,950751.0,33816.0,5586.0,111306.0
FR,2022-03-11,7988.0,100527.0,19636.0,4516.0,8377.0,79973.0,19926.0,942371.0,22923.0,5640.0,236486.0
FR,2022-03-12,8031.0,98044.0,811.0,4428.0,10513.0,71745.0,14278.0,848931.0,26936.0,5575.0,166343.0
FR,2022-03-13,6773.0,87296.0,1087.0,4281.0,5300.0,71471.0,22883.0,829971.0,21804.0,5427.0,177028.0
FR,2022-03-14,7071.0,172730.0,14192.0,5194.0,22796.0,92319.0,31888.0,836707.0,32006.0,5711.0,92372.0
FR,2022-03-15,7980.0,181704.0,15128.0,9584.0,37727.0,103105.0,47514.0,841406.0,26147.0,5816.0,89694.0
FR,2022-03-16,7969.0,170539.0,14880.0,4519.0,22894.0,106420.0,40398.0,853126.0,20876.0,5633.0,82985.0
FR,2022-03-17,8339.0,157522.0,14372.0,4454.0,16299.0,99317.0,32702.0,863213.0,18994.0,5585.0,113096.0
FR,2022-03-18,8377.0,121603.0,13715.0,4420.0,12138.0,98914.0,17756.0,859972.0,33176.0,5469.0,219540.0
FR,2022-03-19,8058.0,71353.0,13266.0,4419.0,5404.0,87073.0,9947.0,799765.0,44987.0,6019.0,202703.0
FR,2022-03-20,7931.0,122150.0,12384.0,4470.0,6961.0,78856.0,24071.0,790414.0,32396.0,5995.0,80857.0
FR,2022-03-21,7921.0,156808.0,14508.0,4472.0,17392.0,89686.0,34566.0,797258.0,48346.0,5843.0,82058.0
FR,2022-03-22,7973.0,143362.0,13950.0,5222.0,22691.0,88239.0,33249.0,794037.0,58296.0,5796.0,92381.0
FR,2022-03-23,7953.0,153675.0,14145.0,3904.0,20485.0,85372.0,28206.0,778483.0,61982.0,5767.0,59012.0
FR,2022-03-24,7612.0,155432.0,13279.0,4523.0,16726.0,84921.0,28452.0,778918.0,62305.0,6098.0,59317.0
FR,2022-03-25,7953.0,153258.0,13542.0,4520.0,9818.0,84801.0,24573.0,770974.0,57494.0,5975.0,102987.0
FR,2022-03-26,7936.0,109230.0,573.0,4533.0,8178.0,70579.0,11427.0,691922.0,62243.0,5618.0,152604.0
FR,2022-03-27,7538.0,102058.0,432.0,4342.0,9526.0,61419.0,11957.0,680309.0,55327.0,5368.0,70461.0
FR,2022-03-28,7620.0,143165.0,9784.0,4525.0,17896.0,78713.0,25204.0,722808.0,51015.0,5524.0,41976.0
FR,2022-03-29,7649.0,156884.0,14046.0,5108.0,14602.0,80795.0,28170.0,728262.0,32715.0,5558.0,48562.0
FR,2022-03-30,7600.0,155805.0,4263.0,4481.0,17741.0,92756.0,40260.0,720551.0,21197.0,5401.0,39294.0
FR,2022-03-31,7589.0,140470.0,6991.0,4539.0,9429.0,96365.0,30033.0,710823.0,37161.0,5448.0,148661.0
FR,2022-04-01,8086.0,146476.0,10488.0,19184.0,24171.0,105476.0,43299.0,727807.0,39332.0,3115.0,224716.0
FR,2022-04-02,8251.0,151849.0,12823.0,3728.0,13145.0,93676.0,32624.0,725439.0,39317.0,2859.0,182878.0
FR,2022-04-03,8502.0,142253.0,10855.0,5445.0,9074.0,86345.0,34816.0,749467.0,44448.0,2805.0,75140.0
FR,2022-04-04,8514.0,161171.0,9749.0,7162.0,26583.0,116787.0,56597.0,765949.0,62346.0,2754.0,138461.0
FR,2022-04-05,8553.0,150454.0,1206.0,5548.0,19232.0,102953.0,37166.0,762785.0,47346.0,2673.0,134023.0
FR,2022-04-06,8454.0,141924.0,680.0,3997.0,16837.0,100042.0,33931.0,761176.0,28127.0,2311.0,185469.0
FR,2022-04-07,8701.0,84601.0,1013.0,3350.0,9799.0,110094.0,34867.0,744912.0,30113.0,2177.0,316950.0
FR,2022-04-08,8536.0,123430.0,793.0,3324.0,17164.0,139389.0,43733.0,751710.0,33416.0,2601.0,166252.0
FR,2022-04-09,8263.0,123282.0,916.0,3549.0,12068.0,142010.0,28785.0,728644.0,56663.0,2814.0,75122.0
FR,2022-04-10,8181.0,99352.0,591.0,3546.0,7022.0,129109.0,20370.0,727273.0,70111.0,2684.0,55931.0
FR,2022-04-11,8120.0,78955.0,1019.0,3573.0,10293.0,130338.0,29444.0,742532.0,52232.0,2552.0,183078.0
FR,2022-04-12,8300.0,92025.0,1016.0,3590.0,13880.0,133345.0,27381.0,768772.0,39582.0,2623.0,121032.0
FR,2022-04-13,8343.0,119963.0,537.0,3592.0,17698.0,133466.0,22391.0,775494.0,36786.0,2805.0,28621.0
FR,2022-04-14,8873.0,110054.0,342.0,3378.0,10683.0,128411.0,21121.0,782700.0,61630.0,2818.0,27227.0
FR,2022-04-15,8795.0,64067.0,441.0,3420.0,4753.0,126142.0,16220.0,764790.0,62252.0,3021.0,46504.0
FR,2022-04-16,8261.0,27719.0,482.0,3378.0,8183.0,117535.0,17363.0,675538.0,69960.0,3085.0,107181.0
FR,2022-04-17,9715.0,19219.0,438.0,3684.0,7644.0,121123.0,15300.0,695319.0,70441.0,3479.0,111312.0
FR,2022-04-18,13348.0,41010.0,640.0,3370.0,11394.0,108126.0,19754.0,679344.0,58090.0,3076.0,54308.0
FR,2022-04-19,13855.0,114805.0,349.0,3382.0,16809.0,116174.0,25536.0,749675.0,47097.0,3027.0,52165.0
FR,2022-04-20,14822.0,123086.0,407.0,3600.0,20444.0,118213.0,25895.0,746152.0,32029.0,2955.0,80475.0
FR,2022-04-21,14565.0,105494.0,307.0,3601.0,18874.0,121456.0,33675.0,738139.0,42974.0,2737.0,78094.0
FR,2022-04-22,14364.0,103647.0,383.0,3786.0,9460.0,117286.0,20664.0,735240.0,57215.0,2849.0,81889.0
FR,2022-04-23,14470.0,28578.0,598.0,3542.0,7001.0,109195.0,21075.0,668256.0,27754.0,2984.0,121186.0
FR,2022-04-24,14321.0,38886.0,554.0,4907.0,6399.0,105411.0,27936.0,668107.0,35674.0,2978.0,71657.0
FR,2022-04-25,14255.0,104620.0,497.0,3596.0,20991.0,129095.0,28047.0,704286.0,53734.0,2840.0,59992.0
FR,2022-04-26,14306.0,128471.0,245.0,3693.0,18206.0,137914.0,29002.0,713560.0,78590.0,2828.0,60217.0
FR,2022-04-27,14523.0,129608.0,4381.0,3530.0,16635.0,132219.0,24563.0,699497.0,73005.0,2883.0,106322.0
FR,2022-04-28,14343.0,127340.0,10003.0,4673.0,19009.0,131525.0,27277.0,682468.0,67628.0,3138.0,89447.0
FR,2022-04-29,14428.0,122880.0,955.0,3981.0,14022.0,132599.0,24396.0,660254.0,69243.0,3246.0,68691.0
FR,2022-04-30,14307.0,101610.0,590.0,3451.0,7696.0,117564.0,24395.0,652566.0,73460.0,3301.0,86368.0
FR,2022-05-01,14284.0,73377.0,562.0,3431.0,9087.0,108527.0,22437.0,668379.0,77660.0,3359.0,48596.0
FR,2022-05-02,14357.0,96774.0,400.0,3465.0,16322.0,113495.0,33423.0,681790.0,67351.0,3385.0,56447.0
FR,2022-05-03,14186.0,119119.0,6898.0,3479.0,21121.0,118467.0,35032.0,676823.0,62726.0,3441.0,70650.0
FR,2022-05-04,12953.0,124421.0,2137.0,3466.0,23383.0,121740.0,38543.0,699152.0,63812.0,3433.0,41115.0
FR,2022-05-05,13979.0,120061.0,666.0,3507.0,17326.0,126709.0,39603.0,702967.0,63808.0,3445.0,49814.0
FR,2022-05-06,13993.0,116844.0,0.0,2924.0,13310.0,132266.0,34449.0,695755.0,69791.0,3705.0,68779.0
FR,2022-05-07,13980.0,84262.0,727.0,3568.0,3711.0,113487.0,24263.0,657868.0,75300.0,3768.0,66894.0
FR,2022-05-08,13533.0,58682.0,584.0,4159.0,5075.0,102228.0,16943.0,638919.0,72421.0,3830.0,75207.0
FR,2022-05-09,13570.0,112218.0,494.0,6705.0,22180.0,112603.0,28743.0,654260.0,84772.0,3907.0,37371.0
FR,2022-05-10,13804.0,113066.0,365.0,4160.0,11890.0,111840.0,26618.0,669449.0,81662.0,4053.0,58236.0
FR,2022-05-11,13246.0,98539.0,407.0,3549.0,8585.0,113315.0,22139.0,665624.0,86095.0,3721.0,121470.0
FR,2022-05-12,13292.0,118872.0,514.0,3511.0,15014.0,118673.0,24246.0,674948.0,62112.0,3577.0,47413.0
FR,2022-05-13,13352.0,112704.0,489.0,3516.0,15799.0,124708.0,26022.0,669617.0,75129.0,4111.0,42783.0
FR,2022-05-14,13710.0,80479.0,520.0,3430.0,7004.0,122107.0,17327.0,626312.0,81081.0,3855.0,36422.0
FR,2022-05-15,13821.0,61184.0,618.0,3436.0,3953.0,114873.0,21815.0,589639.0,76482.0,3946.0,92462.0
FR,2022-05-16,13940.0,116797.0,338.0,4068.0,20387.0,123316.0,32299.0,628830.0,77195.0,3818.0,66801.0
FR,2022-05-17,13987.0,117554.0,372.0,3475.0,29742.0,131748.0,34549.0,635109.0,86764.0,4159.0,49689.0
FR,2022-05-18,13906.0,104362.0,503.0,3358.0,19091.0,123423.0,28273.0,653826.0,81321.0,3252.0,44546.0
FR,2022-05-19,13963.0,98658.0,719.0,3354.0,15454.0,123664.0,32476.0,670296.0,73290.0,4021.0,78951.0
FR,2022-05-20,13996.0,110659.0,749.0,3609.0,13838.0,125734.0,27569.0,679277.0,68907.0,4435.0,104838.0
FR,2022-05-21,13947.0,53212.0,532.0,3413.0,7014.0,120054.0,21508.0,642583.0,83194.0,4236.0,35488.0
FR,2022-05-22,13974.0,59134.0,545.0,3317.0,11639.0,119158.0,20991.0,659158.0,65786.0,4424.0,46846.0
FR,2022-05-23,13813.0,96831.0,217.0,3992.0,25034.0,130427.0,29864.0,667622.0,49297.0,4303.0,111271.0
FR,2022-05-24,13926.0,82337.0,740.0,3322.0,15749.0,130274.0,23112.0,666614.0,55633.0,3948.0,93804.0
FR,2022-05-25,13999.0,82058.0,644.0,3331.0,11006.0,129677.0,22289.0,663641.0,65037.0,3917.0,102894.0
FR,2022-05-26,14007.0,31910.0,647.0,3319.0,8248.0,110656.0,20388.0,592177.0,60147.0,3657.0,87299.0
FR,2022-05-27,14017.0,32483.0,543.0,3340.0,13930.0,107697.0,19827.0,614072.0,70424.0,4008.0,70696.0
FR,2022-05-28,13970.0,32953.0,239.0,3346.0,3914.0,97913.0,21737.0,631122.0,89146.0,4034.0,94691.0
FR,2022-05-29,14053.0,40046.0,400.0,3315.0,6848.0,89735.0,17314.0,628749.0,87998.0,4198.0,96910.0
FR,2022-05-30,13543.0,85316.0,1157.0,3304.0,23940.0,104546.0,30186.0,722118.0,83104.0,4094.0,42497.0
FR,2022-05-31,13972.0,85075.0,9909.0,3898.0,19721.0,108568.0,29402.0,727481.0,76437.0,4042.0,40887.0
FR,2022-06-01,14665.0,100995.0,2219.0,3769.0,15360.0,109753.0,28370.0,793756.0,104277.0,4124.0,41978.0
FR,2022-06-02,13229.0,64955.0,9455.0,3416.0,11968.0,102868.0,29177.0,711728.0,74993.0,3957.0,64956.0
FR,2022-06-03,13125.0,86330.0,1097.0,3792.0,9165.0,103647.0,28589.0,711829.0,65057.0,4322.0,54851.0
FR,2022-06-04,13175.0,59396.0,391.0,3453.0,6566.0,96516.0,21949.0,657614.0,67400.0,4290.0,57361.0
FR,2022-06-05,13194.0,45580.0,398.0,3416.0,3457.0,94752.0,17951.0,615921.0,60393.0,4102.0,77881.0
FR,2022-06-06,13224.0,50236.0,324.0,3395.0,6735.0,92822.0,21571.0,650106.0,66650.0,3858.0,61141.0
