Country,Timestamp,Forecasted Load,Actual Load
FR,2022-01-01,1130500.0,1193477.0
FR,2022-01-02,1219450.0,1227543.0
FR,2022-01-03,1410100.0,1406562.0
FR,2022-01-04,1456900.0,1474890.0
FR,2022-01-05,1608900.0,1625449.0
FR,2022-01-06,1725900.0,1725421.0
FR,2022-01-07,1719700.0,1710681.0
FR,2022-01-08,1547650.0,1533709.0
FR,2022-01-09,1451500.0,1485289.0
FR,2022-01-10,1206900.0,1226829.0
FR,2022-01-11,1749550.0,1740279.0
FR,2022-01-12,1696150.0,1717677.0
FR,2022-01-13,1836000.0,1984644.0
FR,2022-01-14,1832700.0,1846787.0
FR,2022-01-15,1748500.0,1741929.0
FR,2022-01-16,1675050.0,1684065.0
FR,2022-01-17,1704550.0,1706336.0
FR,2022-01-18,1823500.0,1787948.0
FR,2022-01-19,1631950.0,1629806.0
FR,2022-01-20,1800550.0,1762982.0
FR,2022-01-21,1800400.0,1790336.0
FR,2022-01-22,1681850.0,1680508.0
FR,2022-01-23,1624900.0,1610795.0
FR,2022-01-24,1798100.0,1782170.0
FR,2022-01-25,1834000.0,1853168.0
FR,2022-01-26,1861100.0,1868343.0
FR,2022-01-27,1775900.0,1762256.0
FR,2022-01-28,1480700.0,1471045.0
FR,2022-01-29,1591650.0,1584502.0
FR,2022-01-30,1475850.0,1477497.0
FR,2022-01-31,1582800.0,1582876.0
FR,2022-02-01,1684350.0,1692655.0
FR,2022-02-02,1614700.0,1596242.0
FR,2022-02-03,1606150.0,1602096.0
FR,2022-02-04,1577900.0,1567674.0
FR,2022-02-05,1450800.0,1466670.0
FR,2022-02-06,1414850.0,1434682.0
FR,2022-02-07,1550200.0,1540483.0
FR,2022-02-08,1599050.0,1582756.0
FR,2022-02-09,1578300.0,1583237.0
FR,2022-02-10,1599500.0,1563010.0
FR,2022-02-11,1594400.0,1586770.0
FR,2022-02-12,1529950.0,1520191.0
FR,2022-02-13,1443400.0,1422488.0
FR,2022-02-14,1530100.0,1528505.0
FR,2022-02-15,1585500.0,1580791.0
FR,2022-02-16,1449650.0,1466845.0
FR,2022-02-17,1443450.0,1422277.0
FR,2022-02-18,1408950.0,1404789.0
FR,2022-02-19,1356200.0,1365193.0
FR,2022-02-20,1236800.0,1251224.0
FR,2022-02-21,1450850.0,1484024.0
FR,2022-02-22,1505850.0,1491842.0
FR,2022-02-23,1502350.0,1481265.0
FR,2022-02-24,1509400.0,1487379.0
FR,2022-02-25,1508300.0,1530428.0
FR,2022-02-26,1446350.0,1431948.0
FR,2022-02-27,1411850.0,1389265.0
FR,2022-02-28,1556350.0,1511961.0
FR,2022-03-01,1540100.0,1519013.0
FR,2022-03-02,1525800.0,1510337.0
FR,2022-03-03,1497500.0,1477481.0
FR,2022-03-04,1468150.0,1462570.0
FR,2022-03-05,1386200.0,1372293.0
FR,2022-03-06,1379750.0,1363013.0
FR,2022-03-07,1563800.0,1573881.0
FR,2022-03-08,1583050.0,1586819.0
FR,2022-03-09,1524250.0,1501138.0
FR,2022-03-10,1456700.0,1427269.0
FR,2022-03-11,1398550.0,1410767.0
FR,2022-03-12,1284750.0,1306401.0
FR,2022-03-13,1246050.0,1279811.0
FR,2022-03-14,1409650.0,1425839.0
FR,2022-03-15,1359650.0,1396589.0
FR,2022-03-16,1331700.0,1371257.0
FR,2022-03-17,1353400.0,1393888.0
FR,2022-03-18,1377500.0,1381402.0
FR,2022-03-19,1227050.0,1231404.0
FR,2022-03-20,1198850.0,1205830.0
FR,2022-03-21,1330150.0,1300882.0
FR,2022-03-22,1326750.0,1303401.0
FR,2022-03-23,1300950.0,1307668.0
FR,2022-03-24,1317950.0,1290388.0
FR,2022-03-25,1245450.0,1236305.0
FR,2022-03-26,1123600.0,1095558.0
FR,2022-03-27,985400.0,1007498.0
FR,2022-03-28,1175900.0,1185341.0
FR,2022-03-29,1220250.0,1203911.0
FR,2022-03-30,1259400.0,1257171.0
FR,2022-03-31,1349150.0,1327779.0
FR,2022-04-01,1437200.0,1507969.0
FR,2022-04-02,1449800.0,1450678.0
FR,2022-04-03,1387200.0,1415632.0
FR,2022-04-04,1533250.0,1499689.0
FR,2022-04-05,1464750.0,1436506.0
FR,2022-04-06,1404500.0,1383131.0
FR,2022-04-07,1314450.0,1347056.0
FR,2022-04-08,1330550.0,1355867.0
FR,2022-04-09,1262800.0,1262878.0
FR,2022-04-10,1226750.0,1203781.0
FR,2022-04-11,1287450.0,1259117.0
FR,2022-04-12,1208550.0,1216370.0
FR,2022-04-13,1194850.0,1209048.0
FR,2022-04-14,1181250.0,1162924.0
FR,2022-04-15,1124550.0,1100323.0
FR,2022-04-16,983850.0,964178.0
FR,2022-04-17,919550.0,1006345.0
FR,2022-04-18,945200.0,967188.0
FR,2022-04-19,1154900.0,1121955.0
FR,2022-04-20,1157350.0,1156380.0
FR,2022-04-21,1147550.0,1148028.0
FR,2022-04-22,1123700.0,1108333.0
FR,2022-04-23,986050.0,1023878.0
FR,2022-04-24,974850.0,1000195.0
FR,2022-04-25,1145400.0,1132839.0
FR,2022-04-26,1165050.0,1155715.0
FR,2022-04-27,1145000.0,1133221.0
FR,2022-04-28,1113650.0,1120937.0
FR,2022-04-29,1080650.0,1103994.0
FR,2022-04-30,990100.0,998153.0
FR,2022-05-01,935400.0,947522.0
FR,2022-05-02,1094200.0,1094290.0
FR,2022-05-03,1119250.0,1125991.0
FR,2022-05-04,1117250.0,1143468.0
FR,2022-05-05,1140350.0,1147977.0
FR,2022-05-06,1120900.0,1129860.0
FR,2022-05-07,985000.0,1000863.0
FR,2022-05-08,930550.0,938777.0
FR,2022-05-09,1071750.0,1087509.0
FR,2022-05-10,1091150.0,1098638.0
FR,2022-05-11,1098150.0,1090905.0
FR,2022-05-12,1098850.0,1098447.0
FR,2022-05-13,1086100.0,1084289.0
FR,2022-05-14,974400.0,971215.0
FR,2022-05-15,926150.0,920021.0
FR,2022-05-16,1072200.0,1070127.0
FR,2022-05-17,1102000.0,1109516.0
FR,2022-05-18,1116000.0,1115043.0
FR,2022-05-19,1115200.0,1112140.0
FR,2022-05-20,1100450.0,1082443.0
FR,2022-05-21,965600.0,973341.0
FR,2022-05-22,925600.0,931717.0
FR,2022-05-23,1078700.0,1068135.0
FR,2022-05-24,1094650.0,1065834.0
FR,2022-05-25,1063450.0,1066398.0
FR,2022-05-26,916950.0,960590.0
FR,2022-05-27,998350.0,992271.0
FR,2022-05-28,939850.0,946009.0
FR,2022-05-29,916600.0,901524.0
FR,2022-05-30,1069600.0,1071059.0
FR,2022-05-31,1084350.0,1104259.0
FR,2022-06-01,1099950.0,1259109.0
FR,2022-06-02,1097650.0,1098989.0
FR,2022-06-03,1080350.0,1091535.0
FR,2022-06-04,966400.0,980446.0
FR,2022-06-05,916750.0,908929.0
FR,2022-06-06,942400.0,944282.0
