Country,Timestamp,Fossil Gas,Hydro Water Reservoir,Other,Solar,Wind Onshore
SE,2022-01-01,0.0,5115.0,5936.0,21.0,11795.0
SE,2022-01-02,0.0,5312.0,5370.0,10.0,15883.0
SE,2022-01-03,0.0,5652.0,6114.0,15.0,22690.0
SE,2022-01-04,0.0,5918.0,6331.0,21.0,12890.0
SE,2022-01-05,0.0,6061.0,6456.0,19.0,19188.0
SE,2022-01-06,0.0,6114.0,8058.0,74.0,13948.0
SE,2022-01-07,0.0,5833.0,6916.0,11.0,12036.0
SE,2022-01-08,0.0,6057.0,6784.0,21.0,12038.0
SE,2022-01-09,0.0,5759.0,6714.0,28.0,16088.0
SE,2022-01-10,0.0,5826.0,8729.0,62.0,11467.0
SE,2022-01-11,0.0,5849.0,8430.0,48.0,11227.0
SE,2022-01-12,90.0,5853.0,7031.0,36.0,18651.0
SE,2022-01-13,0.0,5122.0,4677.0,48.0,37776.0
SE,2022-01-14,0.0,5098.0,5219.0,96.0,33437.0
SE,2022-01-15,0.0,5442.0,5651.0,63.0,10604.0
SE,2022-01-16,0.0,5403.0,4140.0,22.0,28131.0
SE,2022-01-17,0.0,5510.0,5893.0,128.0,32093.0
SE,2022-01-18,0.0,5293.0,6515.0,69.0,15274.0
SE,2022-01-19,0.0,5394.0,5820.0,36.0,32632.0
SE,2022-01-20,0.0,5310.0,5978.0,153.0,36488.0
SE,2022-01-21,0.0,5090.0,6157.0,171.0,23709.0
SE,2022-01-22,0.0,5043.0,6339.0,82.0,5965.0
SE,2022-01-23,0.0,4445.0,6255.0,47.0,7434.0
SE,2022-01-24,0.0,4758.0,5547.0,41.0,23678.0
SE,2022-01-25,0.0,5493.0,6093.0,158.0,11236.0
SE,2022-01-26,0.0,5481.0,5909.0,46.0,27780.0
SE,2022-01-27,0.0,5499.0,5268.0,77.0,35781.0
SE,2022-01-28,0.0,5737.0,6277.0,250.0,25664.0
SE,2022-01-29,0.0,5267.0,4613.0,38.0,34662.0
SE,2022-01-30,0.0,5396.0,4984.0,201.0,34735.0
SE,2022-01-31,0.0,5745.0,6997.0,177.0,6074.0
SE,2022-02-01,0.0,5904.0,6841.0,69.0,9946.0
SE,2022-02-02,0.0,5930.0,6586.0,101.0,6574.0
SE,2022-02-03,0.0,5847.0,6756.0,55.0,8590.0
SE,2022-02-04,0.0,5892.0,6163.0,54.0,20631.0
SE,2022-02-05,0.0,6183.0,4538.0,182.0,32162.0
SE,2022-02-06,0.0,6280.0,4705.0,157.0,22206.0
SE,2022-02-07,80.0,6511.0,6176.0,330.0,23249.0
SE,2022-02-08,747.0,6698.0,5420.0,188.0,31289.0
SE,2022-02-09,739.0,6684.0,5773.0,81.0,29069.0
SE,2022-02-10,237.0,6684.0,5810.0,153.0,23582.0
SE,2022-02-11,0.0,6626.0,6474.0,262.0,14551.0
SE,2022-02-12,0.0,6387.0,5309.0,157.0,27258.0
SE,2022-02-13,0.0,6413.0,4494.0,115.0,28945.0
SE,2022-02-14,0.0,6658.0,5842.0,123.0,27623.0
SE,2022-02-15,0.0,6721.0,5571.0,145.0,28122.0
SE,2022-02-16,0.0,6666.0,6039.0,106.0,25161.0
SE,2022-02-17,0.0,6820.0,5608.0,142.0,28453.0
SE,2022-02-18,0.0,6824.0,5315.0,217.0,30784.0
SE,2022-02-19,0.0,6838.0,4406.0,236.0,29104.0
SE,2022-02-20,0.0,6814.0,4943.0,309.0,22284.0
SE,2022-02-21,0.0,6718.0,5238.0,113.0,36552.0
SE,2022-02-22,50.0,6608.0,5820.0,397.0,14745.0
SE,2022-02-23,0.0,6670.0,6332.0,363.0,26976.0
SE,2022-02-24,26.0,6661.0,5712.0,116.0,32994.0
SE,2022-02-25,0.0,6542.0,5970.0,205.0,22686.0
SE,2022-02-26,0.0,6572.0,5232.0,618.0,6184.0
SE,2022-02-27,0.0,6612.0,6656.0,602.0,6055.0
SE,2022-02-28,0.0,6612.0,6558.0,644.0,10556.0
SE,2022-03-01,0.0,6558.0,6051.0,462.0,13795.0
SE,2022-03-02,0.0,6564.0,6883.0,548.0,3923.0
SE,2022-03-03,0.0,6598.0,6874.0,717.0,9028.0
SE,2022-03-04,0.0,6640.0,7746.0,776.0,5628.0
SE,2022-03-05,0.0,6718.0,7000.0,585.0,2418.0
SE,2022-03-06,0.0,6687.0,7237.0,682.0,7290.0
SE,2022-03-07,0.0,6609.0,7626.0,804.0,7800.0
SE,2022-03-08,0.0,6536.0,7400.0,768.0,2844.0
SE,2022-03-09,0.0,6424.0,8533.0,764.0,3399.0
SE,2022-03-10,0.0,6355.0,6564.0,343.0,13806.0
SE,2022-03-11,0.0,6390.0,6054.0,892.0,18904.0
SE,2022-03-12,0.0,6254.0,6345.0,938.0,15483.0
SE,2022-03-13,0.0,6142.0,6103.0,960.0,15289.0
SE,2022-03-14,0.0,6057.0,6778.0,990.0,11415.0
SE,2022-03-15,0.0,5956.0,6869.0,677.0,2448.0
SE,2022-03-16,0.0,5979.0,12034.0,905.0,2270.0
SE,2022-03-17,0.0,5835.0,5999.0,569.0,18309.0
SE,2022-03-18,0.0,5740.0,6192.0,776.0,12413.0
SE,2022-03-19,0.0,5532.0,5727.0,1134.0,5496.0
SE,2022-03-20,0.0,4744.0,4718.0,1012.0,8751.0
SE,2022-03-21,0.0,5304.0,6406.0,1101.0,12367.0
SE,2022-03-22,0.0,5205.0,6036.0,1005.0,6167.0
SE,2022-03-23,0.0,5124.0,5868.0,1108.0,3899.0
SE,2022-03-24,0.0,5025.0,5252.0,1116.0,7226.0
SE,2022-03-25,0.0,4429.0,3787.0,1141.0,19075.0
SE,2022-03-26,0.0,4153.0,3665.0,1072.0,14592.0
SE,2022-03-27,0.0,3606.0,3784.0,721.0,9569.0
SE,2022-03-28,0.0,3985.0,3825.0,807.0,29455.0
SE,2022-03-29,0.0,4245.0,6052.0,700.0,6099.0
SE,2022-03-30,0.0,4149.0,12231.0,860.0,5416.0
SE,2022-03-31,0.0,4440.0,11415.0,1040.0,2411.0
SE,2022-04-01,0.0,4432.0,5631.0,838.0,7530.0
SE,2022-04-02,0.0,3913.0,4938.0,1192.0,7988.0
SE,2022-04-03,0.0,3901.0,4135.0,1033.0,11034.0
SE,2022-04-04,0.0,3749.0,4150.0,247.0,34241.0
SE,2022-04-05,0.0,3776.0,4166.0,1063.0,22617.0
SE,2022-04-06,0.0,4676.0,4810.0,290.0,14105.0
SE,2022-04-07,0.0,5378.0,4455.0,321.0,19597.0
SE,2022-04-08,0.0,5581.0,4315.0,704.0,29961.0
SE,2022-04-09,0.0,5992.0,3265.0,1003.0,30188.0
SE,2022-04-10,0.0,4866.0,2932.0,1060.0,28978.0
SE,2022-04-11,0.0,5378.0,4361.0,1190.0,11967.0
SE,2022-04-12,0.0,5363.0,4859.0,1103.0,3901.0
SE,2022-04-13,0.0,5008.0,4687.0,740.0,14198.0
SE,2022-04-14,0.0,5023.0,4269.0,446.0,4142.0
SE,2022-04-15,0.0,4721.0,4275.0,778.0,14910.0
SE,2022-04-16,0.0,4941.0,4311.0,1306.0,4877.0
SE,2022-04-17,0.0,4258.0,4272.0,1389.0,3461.0
SE,2022-04-18,0.0,4332.0,4196.0,1274.0,1444.0
SE,2022-04-19,0.0,5086.0,4306.0,1469.0,4786.0
SE,2022-04-20,0.0,4475.0,3925.0,1407.0,13608.0
SE,2022-04-21,0.0,4487.0,3521.0,1660.0,18896.0
SE,2022-04-22,0.0,4453.0,3498.0,1552.0,16410.0
SE,2022-04-23,0.0,3523.0,3086.0,1371.0,13040.0
SE,2022-04-24,0.0,2795.0,3327.0,1294.0,23442.0
SE,2022-04-25,0.0,3887.0,4275.0,1500.0,7537.0
SE,2022-04-26,0.0,4154.0,10136.0,1472.0,4489.0
SE,2022-04-27,24.0,3869.0,9355.0,965.0,4656.0
SE,2022-04-28,0.0,3938.0,4402.0,1544.0,6520.0
SE,2022-04-29,0.0,4042.0,4106.0,1515.0,3008.0
SE,2022-04-30,0.0,2644.0,3132.0,1272.0,3223.0
SE,2022-05-01,0.0,2545.0,2993.0,1315.0,1914.0
SE,2022-05-02,0.0,3435.0,3519.0,1634.0,15005.0
SE,2022-05-03,0.0,3467.0,3374.0,1233.0,6625.0
SE,2022-05-04,0.0,3249.0,9016.0,1363.0,6371.0
SE,2022-05-05,0.0,3024.0,8913.0,1536.0,5100.0
SE,2022-05-06,0.0,2996.0,7457.0,1256.0,9920.0
SE,2022-05-07,0.0,1793.0,2948.0,1290.0,14006.0
SE,2022-05-08,0.0,1677.0,2948.0,5658.0,3789.0
SE,2022-05-09,0.0,2834.0,3448.0,2056.0,11956.0
SE,2022-05-10,0.0,2395.0,3508.0,925.0,21482.0
SE,2022-05-11,0.0,2367.0,3482.0,877.0,15584.0
SE,2022-05-12,0.0,2258.0,3182.0,1546.0,28121.0
SE,2022-05-13,0.0,2017.0,3490.0,868.0,18486.0
SE,2022-05-14,0.0,1343.0,3125.0,1544.0,29716.0
SE,2022-05-15,0.0,1462.0,3100.0,1922.0,10302.0
SE,2022-05-16,0.0,2469.0,3619.0,1641.0,3518.0
SE,2022-05-17,0.0,2099.0,3480.0,1884.0,5318.0
SE,2022-05-18,0.0,2166.0,3385.0,1769.0,10334.0
SE,2022-05-19,0.0,2171.0,3334.0,1276.0,6907.0
SE,2022-05-20,0.0,2231.0,3103.0,1278.0,7108.0
