Country,Timestamp,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
FR,2017-01-01,6851.0,157103.0,25113.0,5551.0,1922.0,71909.0,59207.0,1261064.0,8524.0,6571.0,19675.0
FR,2017-01-02,6844.0,192988.0,43965.0,5521.0,12706.0,77046.0,64587.0,1260786.0,7848.0,6526.0,19516.0
FR,2017-01-03,6767.0,209431.0,47174.0,27331.0,22589.0,86017.0,79435.0,1267776.0,12123.0,6717.0,34339.0
FR,2017-01-04,6700.0,211683.0,52707.0,21183.0,21365.0,89080.0,90170.0,1271916.0,11098.0,7104.0,69706.0
FR,2017-01-05,6691.0,206760.0,53333.0,16884.0,13208.0,90542.0,80390.0,1271940.0,12038.0,7141.0,47613.0
FR,2017-01-06,6749.0,206035.0,53226.0,20860.0,18028.0,91127.0,75314.0,1286477.0,15086.0,7177.0,37314.0
FR,2017-01-07,6820.0,184522.0,53106.0,10250.0,14780.0,74365.0,72915.0,1286811.0,13927.0,7131.0,35791.0
FR,2017-01-08,6842.0,141740.0,50223.0,5615.0,1172.0,62553.0,46512.0,1285459.0,7998.0,7195.0,29291.0
FR,2017-01-09,6686.0,189310.0,53621.0,10212.0,19177.0,74481.0,61691.0,1305631.0,10099.0,7110.0,60168.0
FR,2017-01-10,6473.0,182085.0,54871.0,13810.0,26184.0,85338.0,82615.0,1317564.0,6531.0,7125.0,59617.0
FR,2017-01-11,6487.0,180214.0,60877.0,10202.0,8174.0,88042.0,62373.0,1309326.0,8253.0,7129.0,100916.0
FR,2017-01-12,6513.0,176226.0,60705.0,14050.0,11898.0,82999.0,61651.0,1302525.0,7956.0,7150.0,110287.0
FR,2017-01-13,6492.0,171712.0,57894.0,10706.0,14670.0,83062.0,59637.0,1275080.0,11720.0,7081.0,151617.0
FR,2017-01-14,6578.0,148686.0,59968.0,10287.0,1083.0,76555.0,58654.0,1271519.0,13376.0,6900.0,92332.0
FR,2017-01-15,6608.0,146740.0,61335.0,10205.0,1296.0,75740.0,49687.0,1259686.0,9614.0,6914.0,50817.0
FR,2017-01-16,6674.0,196513.0,63106.0,18567.0,13433.0,90756.0,65569.0,1280861.0,10073.0,6954.0,42299.0
FR,2017-01-17,7686.0,217075.0,59643.0,27626.0,14918.0,101084.0,78722.0,1304710.0,17303.0,6907.0,84163.0
FR,2017-01-18,8032.0,220790.0,63871.0,58500.0,23839.0,105762.0,86893.0,1331740.0,14893.0,6801.0,109924.0
FR,2017-01-19,8126.0,220380.0,65062.0,62962.0,37606.0,112502.0,98143.0,1333057.0,17226.0,6861.0,72251.0
FR,2017-01-20,9373.0,219266.0,61267.0,57761.0,27056.0,115775.0,96895.0,1333432.0,16540.0,6832.0,47990.0
FR,2017-01-21,8405.0,205331.0,58536.0,12277.0,8442.0,91700.0,76597.0,1322915.0,16820.0,6880.0,33076.0
FR,2017-01-22,8644.0,164366.0,53373.0,9019.0,2917.0,79005.0,65808.0,1327601.0,9914.0,6490.0,29273.0
FR,2017-01-23,9250.0,197597.0,62353.0,34953.0,33817.0,98842.0,87631.0,1346110.0,14292.0,6599.0,34501.0
FR,2017-01-24,8373.0,211952.0,54738.0,63265.0,32166.0,101148.0,92590.0,1352249.0,16857.0,6716.0,31845.0
FR,2017-01-25,7179.0,213460.0,61395.0,66576.0,30114.0,105623.0,93233.0,1354817.0,11307.0,6698.0,33224.0
FR,2017-01-26,7640.0,215843.0,64233.0,60496.0,17741.0,100500.0,86823.0,1333795.0,15611.0,6860.0,74213.0
FR,2017-01-27,8476.0,180682.0,57282.0,24632.0,16764.0,86241.0,62632.0,1312909.0,7028.0,6628.0,126457.0
FR,2017-01-28,7769.0,151443.0,45446.0,7204.0,4280.0,69647.0,29608.0,1305894.0,9457.0,6619.0,80121.0
FR,2017-01-29,7917.0,144449.0,45391.0,5580.0,731.0,61146.0,15921.0,1312236.0,14619.0,6696.0,80560.0
FR,2017-01-30,8455.0,176425.0,57060.0,9075.0,23921.0,72046.0,35111.0,1330437.0,8066.0,6723.0,77107.0
FR,2017-01-31,7179.0,177960.0,39882.0,9890.0,11424.0,85585.0,35715.0,1241576.0,11336.0,7175.0,32291.0
FR,2017-02-01,6685.0,159826.0,41297.0,8782.0,20859.0,108794.0,36149.0,1301794.0,11059.0,6233.0,66969.0
FR,2017-02-02,6677.0,139699.0,42065.0,6980.0,10120.0,107297.0,25867.0,1322533.0,9331.0,5967.0,138701.0
FR,2017-02-03,7044.0,129480.0,41955.0,6983.0,17430.0,115932.0,34688.0,1273797.0,10092.0,5844.0,136897.0
FR,2017-02-04,7063.0,96065.0,14747.0,6984.0,1476.0,120082.0,21680.0,1236218.0,11265.0,5966.0,111222.0
FR,2017-02-05,6819.0,99924.0,10476.0,6966.0,3937.0,114871.0,20133.0,1239034.0,8266.0,6059.0,87386.0
FR,2017-02-06,6793.0,173483.0,29450.0,16793.0,17368.0,129000.0,42681.0,1246664.0,14053.0,5953.0,64521.0
FR,2017-02-07,7097.0,186645.0,23990.0,15817.0,14512.0,129852.0,29961.0,1262636.0,11369.0,5618.0,57909.0
FR,2017-02-08,7056.0,186812.0,24356.0,17638.0,21762.0,132903.0,43595.0,1254380.0,12491.0,5727.0,51819.0
FR,2017-02-09,7126.0,194463.0,20234.0,19316.0,24297.0,131035.0,45030.0,1272178.0,15712.0,6045.0,38595.0
FR,2017-02-10,7163.0,199043.0,36606.0,20473.0,23219.0,133120.0,59201.0,1260080.0,15755.0,6265.0,40915.0
FR,2017-02-11,7247.0,191266.0,36767.0,7069.0,10293.0,127839.0,48066.0,1217430.0,11751.0,6215.0,33114.0
FR,2017-02-12,7252.0,157290.0,35063.0,7031.0,1161.0,111990.0,26977.0,1167217.0,11015.0,5842.0,98783.0
FR,2017-02-13,7200.0,184227.0,32514.0,7023.0,18661.0,120829.0,37625.0,1173179.0,11451.0,5776.0,153991.0
FR,2017-02-14,7194.0,200944.0,48558.0,7101.0,18298.0,123126.0,43876.0,1179767.0,14798.0,5839.0,89756.0
FR,2017-02-15,6888.0,198245.0,40767.0,7087.0,12296.0,113493.0,34046.0,1181318.0,18826.0,6033.0,55392.0
FR,2017-02-16,6953.0,201384.0,43913.0,7102.0,18399.0,109094.0,37534.0,1208429.0,18836.0,6432.0,15824.0
FR,2017-02-17,6858.0,200462.0,48653.0,7052.0,22245.0,111114.0,41228.0,1215791.0,22304.0,6467.0,17453.0
FR,2017-02-18,7247.0,194280.0,46964.0,7082.0,8589.0,94207.0,24813.0,1119455.0,23835.0,6494.0,24407.0
FR,2017-02-19,7268.0,193970.0,44891.0,7083.0,1721.0,82231.0,16291.0,1133084.0,22514.0,6464.0,28646.0
