Country,Timestamp,Forecasted Load,Actual Load
SE,2018-01-01,51690.0,52495.0
SE,2018-01-02,53908.0,53307.0
SE,2018-01-03,53577.0,54278.0
SE,2018-01-04,52210.0,61110.0
SE,2018-01-05,53720.0,58789.0
SE,2018-01-06,54528.0,53564.0
SE,2018-01-07,53564.0,51899.0
SE,2018-01-08,60320.0,55407.0
SE,2018-01-09,59454.0,53244.0
SE,2018-01-10,61109.0,59431.0
SE,2018-01-11,62978.0,62623.0
SE,2018-01-12,66820.0,65398.0
SE,2018-01-13,63086.0,59026.0
SE,2018-01-14,62495.0,57156.0
SE,2018-01-15,56195.0,54644.0
SE,2018-01-16,53470.0,58891.0
SE,2018-01-17,55470.0,59385.0
SE,2018-01-18,58653.0,58500.0
SE,2018-01-19,62440.0,58766.0
SE,2018-01-20,60331.0,56158.0
SE,2018-01-21,58063.0,55911.0
SE,2018-01-22,63809.0,59770.0
SE,2018-01-23,61123.0,62920.0
SE,2018-01-24,59641.0,54489.0
SE,2018-01-25,56795.0,51436.0
SE,2018-01-26,57393.0,51483.0
SE,2018-01-27,54664.0,50599.0
SE,2018-01-28,53993.0,52075.0
SE,2018-01-29,57204.0,53724.0
SE,2018-01-30,59442.0,55386.0
SE,2018-01-31,59064.0,55468.0
SE,2018-02-01,60008.0,55777.0
SE,2018-02-02,64324.0,58617.0
SE,2018-02-03,62008.0,57511.0
SE,2018-02-04,59692.0,58607.0
SE,2018-02-05,64486.0,63091.0
SE,2018-02-06,66195.0,57451.0
SE,2018-02-07,66553.0,59925.0
SE,2018-02-08,66403.0,60540.0
SE,2018-02-09,64561.0,57336.0
SE,2018-02-10,57295.0,49874.0
SE,2018-02-11,52275.0,50617.0
SE,2018-02-12,56111.0,55901.0
SE,2018-02-13,55598.0,54046.0
SE,2018-02-14,57217.0,50230.0
SE,2018-02-15,57368.0,50334.0
SE,2018-02-16,56763.0,53025.0
SE,2018-02-17,51770.0,50564.0
SE,2018-02-18,50601.0,51928.0
SE,2018-02-19,56803.0,56424.0
SE,2018-02-20,58700.0,59734.0
SE,2018-02-21,60278.0,61285.0
SE,2018-02-22,61234.0,58681.0
SE,2018-02-23,61279.0,58830.0
SE,2018-02-24,57327.0,55871.0
SE,2018-02-25,57914.0,58186.0
SE,2018-02-26,62732.0,59124.0
SE,2018-02-27,63034.0,58517.0
SE,2018-02-28,64091.0,66071.0
SE,2018-03-01,64253.0,63070.0
SE,2018-03-02,64177.0,61551.0
SE,2018-03-03,59994.0,55435.0
SE,2018-03-04,56370.0,50804.0
SE,2018-03-05,59536.0,56817.0
SE,2018-03-06,59996.0,56680.0
SE,2018-03-07,59541.0,57357.0
SE,2018-03-08,59642.0,57086.0
SE,2018-03-09,59969.0,57245.0
SE,2018-03-10,53577.0,53791.0
SE,2018-03-11,54008.0,50594.0
SE,2018-03-12,57410.0,54940.0
SE,2018-03-13,55733.0,56081.0
SE,2018-03-14,58723.0,53320.0
SE,2018-03-15,60824.0,56319.0
SE,2018-03-16,61505.0,57635.0
SE,2018-03-17,59343.0,52811.0
SE,2018-03-18,53211.0,49319.0
SE,2018-03-19,53637.0,51320.0
SE,2018-03-20,55891.0,50595.0
SE,2018-03-21,53525.0,46257.0
SE,2018-03-22,51787.0,47295.0
SE,2018-03-23,53088.0,47836.0
SE,2018-03-24,48074.0,44587.0
SE,2018-03-25,45806.0,42001.0
SE,2018-03-26,54476.0,49846.0
SE,2018-03-27,56137.0,52632.0
SE,2018-03-28,54389.0,49587.0
SE,2018-03-29,54383.0,49563.0
SE,2018-03-30,50331.0,48078.0
SE,2018-03-31,48579.0,45809.0
SE,2018-04-01,48684.0,47221.0
SE,2018-04-02,48589.0,47476.0
SE,2018-04-03,52729.0,48741.0
SE,2018-04-04,52229.0,48041.0
SE,2018-04-05,51405.0,47976.0
SE,2018-04-06,50177.0,48027.0
SE,2018-04-07,47524.0,41554.0
SE,2018-04-08,46232.0,42230.0
SE,2018-04-09,49962.0,44118.0
SE,2018-04-10,50426.0,44600.0
SE,2018-04-11,49709.0,43732.0
SE,2018-04-12,49738.0,43726.0
SE,2018-04-13,49530.0,40217.0
SE,2018-04-14,45355.0,37535.0
SE,2018-04-15,44043.0,38100.0
SE,2018-04-16,47736.0,87438.0
SE,2018-04-17,47948.0,44002.0
SE,2018-04-18,47562.0,41476.0
SE,2018-04-19,47414.0,41602.0
SE,2018-04-20,45075.0,41968.0
SE,2018-04-21,41110.0,39852.0
SE,2018-04-22,40917.0,39623.0
SE,2018-04-23,47061.0,40802.0
SE,2018-04-24,45688.0,41489.0
SE,2018-04-25,45105.0,40247.0
