Country,Timestamp,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
SE,2019-01-01,69882.0,196958.0,39430.0,133859.0
SE,2019-01-02,163679.0,196594.0,43280.0,115715.0
SE,2019-01-03,214320.0,194007.0,47147.0,59100.0
SE,2019-01-04,201080.0,189927.0,44001.0,68354.0
SE,2019-01-05,188726.0,194752.0,44427.0,28845.0
SE,2019-01-06,190163.0,196872.0,43387.0,46641.0
SE,2019-01-07,206680.0,196850.0,43612.0,56250.0
SE,2019-01-08,191801.0,196726.0,43648.0,85941.0
SE,2019-01-09,205948.0,196725.0,47299.0,99211.0
SE,2019-01-10,211172.0,196618.0,49088.0,72878.0
SE,2019-01-11,187209.0,196958.0,42942.0,110435.0
SE,2019-01-12,185742.0,188858.0,43647.0,57500.0
SE,2019-01-13,173057.0,196520.0,43655.0,57022.0
SE,2019-01-14,186153.0,197103.0,46291.0,128754.0
SE,2019-01-15,214617.0,196932.0,47417.0,65936.0
SE,2019-01-16,218127.0,196909.0,46820.0,47829.0
SE,2019-01-17,213535.0,196865.0,44458.0,65331.0
SE,2019-01-18,235815.0,196904.0,45678.0,73742.0
SE,2019-01-19,211362.0,197100.0,44973.0,72962.0
SE,2019-01-20,195585.0,197159.0,36278.0,34560.0
SE,2019-01-21,242439.0,197040.0,32948.0,17189.0
SE,2019-01-22,239140.0,197019.0,45957.0,16852.0
SE,2019-01-23,245866.0,188968.0,49172.0,24826.0
SE,2019-01-24,260839.0,188005.0,50513.0,27433.0
SE,2019-01-25,248453.0,195776.0,49617.0,19023.0
SE,2019-01-26,201455.0,196581.0,46475.0,23003.0
SE,2019-01-27,185202.0,197023.0,43015.0,63377.0
SE,2019-01-28,235840.0,197089.0,45442.0,43043.0
SE,2019-01-29,253281.0,197155.0,45141.0,20196.0
SE,2019-01-30,248533.0,196816.0,45624.0,19064.0
SE,2019-01-31,243631.0,196662.0,47951.0,40659.0
SE,2019-02-01,232152.0,196818.0,47553.0,45438.0
SE,2019-02-02,179635.0,196609.0,46591.0,55251.0
SE,2019-02-03,177707.0,196812.0,45691.0,57666.0
SE,2019-02-04,225445.0,196864.0,47015.0,46865.0
SE,2019-02-05,231867.0,195074.0,47719.0,54498.0
SE,2019-02-06,241108.0,197060.0,44107.0,46588.0
SE,2019-02-07,220254.0,197115.0,41473.0,47415.0
SE,2019-02-08,204991.0,197240.0,41689.0,73717.0
SE,2019-02-09,136534.0,197174.0,38363.0,79530.0
SE,2019-02-10,138310.0,197081.0,36555.0,60453.0
SE,2019-02-11,200333.0,197159.0,39268.0,87095.0
SE,2019-02-12,206796.0,197089.0,40650.0,87868.0
SE,2019-02-13,201356.0,197073.0,39076.0,100914.0
SE,2019-02-14,202849.0,193174.0,36000.0,100135.0
SE,2019-02-15,207755.0,197100.0,36857.0,95200.0
SE,2019-02-16,128584.0,197155.0,34978.0,113904.0
SE,2019-02-17,159677.0,197099.0,34486.0,47418.0
SE,2019-02-18,209174.0,197002.0,35659.0,78083.0
SE,2019-02-19,186833.0,197049.0,34471.0,91363.0
SE,2019-02-20,216222.0,197080.0,35626.0,74245.0
SE,2019-02-21,243816.0,196878.0,37776.0,41865.0
SE,2019-02-22,237400.0,196991.0,42223.0,73227.0
SE,2019-02-23,179207.0,197077.0,39399.0,90885.0
SE,2019-02-24,141348.0,197046.0,35649.0,98902.0
SE,2019-02-25,215239.0,196999.0,34933.0,77633.0
SE,2019-02-26,223579.0,196919.0,33415.0,63422.0
SE,2019-02-27,201616.0,196824.0,34409.0,100549.0
SE,2019-02-28,210559.0,196890.0,37176.0,79232.0
SE,2019-03-01,243060.0,196872.0,38123.0,36529.0
SE,2019-03-02,190263.0,196873.0,35728.0,77782.0
SE,2019-03-03,150347.0,196948.0,35342.0,62728.0
SE,2019-03-04,226068.0,183619.0,36069.0,45342.0
SE,2019-03-05,248214.0,167425.0,35812.0,56185.0
SE,2019-03-06,230728.0,177725.0,34544.0,46009.0
SE,2019-03-07,205788.0,192810.0,36973.0,56191.0
SE,2019-03-08,170353.0,196108.0,36069.0,108144.0
SE,2019-03-09,134915.0,196949.0,37412.0,89380.0
SE,2019-03-10,161879.0,196104.0,39384.0,79772.0
SE,2019-03-11,236812.0,196578.0,42902.0,76591.0
SE,2019-03-12,227709.0,196473.0,42456.0,50161.0
SE,2019-03-13,205808.0,196530.0,40411.0,92855.0
SE,2019-03-14,215039.0,196478.0,39145.0,35502.0
SE,2019-03-15,226762.0,191563.0,40714.0,15538.0
SE,2019-03-16,184839.0,182845.0,38212.0,28858.0
SE,2019-03-17,122118.0,177673.0,36473.0,97545.0
SE,2019-03-18,188025.0,168932.0,40235.0,99246.0
SE,2019-03-19,212147.0,168861.0,40556.0,57718.0
SE,2019-03-20,198550.0,168637.0,38920.0,96615.0
SE,2019-03-21,190311.0,168574.0,33302.0,105039.0
SE,2019-03-22,202276.0,168507.0,34060.0,76433.0
SE,2019-03-23,127909.0,168398.0,35119.0,130141.0
SE,2019-03-24,117772.0,179120.0,35540.0,107986.0
SE,2019-03-25,187989.0,187906.0,37414.0,59406.0
SE,2019-03-26,199405.0,190114.0,38503.0,53712.0
SE,2019-03-27,205054.0,193275.0,34967.0,53976.0
SE,2019-03-28,185633.0,194464.0,32332.0,89613.0
SE,2019-03-29,146306.0,194214.0,30415.0,130903.0
SE,2019-03-30,134299.0,187904.0,30162.0,96850.0
SE,2019-03-31,110738.0,185546.0,31889.0,102459.0
SE,2019-04-01,203413.0,193427.0,37165.0,60409.0
SE,2019-04-02,189192.0,171029.0,35300.0,82274.0
SE,2019-04-03,200130.0,170068.0,30848.0,64772.0
