Country,Timestamp,Forecasted Load,Actual Load
SE,2019-01-01,373552.0,383617.0
SE,2019-01-02,464386.0,466157.0
SE,2019-01-03,487143.0,473677.0
SE,2019-01-04,454802.0,439736.0
SE,2019-01-05,420590.0,415149.0
SE,2019-01-06,422544.0,415655.0
SE,2019-01-07,449256.0,459577.0
SE,2019-01-08,455316.0,461525.0
SE,2019-01-09,479698.0,486311.0
SE,2019-01-10,497825.0,494265.0
SE,2019-01-11,467508.0,465779.0
SE,2019-01-12,442108.0,443846.0
SE,2019-01-13,441285.0,430336.0
SE,2019-01-14,492940.0,498339.0
SE,2019-01-15,506686.0,515494.0
SE,2019-01-16,501518.0,500243.0
SE,2019-01-17,498507.0,516555.0
SE,2019-01-18,510946.0,525110.0
SE,2019-01-19,482920.0,476713.0
SE,2019-01-20,482925.0,482176.0
SE,2019-01-21,526024.0,535808.0
SE,2019-01-22,516960.0,511325.0
SE,2019-01-23,524010.0,516556.0
SE,2019-01-24,536058.0,528069.0
SE,2019-01-25,525863.0,516676.0
SE,2019-01-26,482260.0,485044.0
SE,2019-01-27,474851.0,489893.0
SE,2019-01-28,506995.0,514321.0
SE,2019-01-29,517233.0,518088.0
SE,2019-01-30,538690.0,547614.0
SE,2019-01-31,535905.0,534879.0
SE,2019-02-01,516881.0,509413.0
SE,2019-02-02,463340.0,475470.0
SE,2019-02-03,467681.0,490403.0
SE,2019-02-04,543512.0,527951.0
SE,2019-02-05,519597.0,502309.0
SE,2019-02-06,527345.0,523467.0
SE,2019-02-07,498131.0,481361.0
SE,2019-02-08,479387.0,466488.0
SE,2019-02-09,427313.0,425586.0
SE,2019-02-10,419691.0,416172.0
SE,2019-02-11,471262.0,465789.0
SE,2019-02-12,484695.0,476889.0
SE,2019-02-13,467635.0,443876.0
SE,2019-02-14,451375.0,440014.0
SE,2019-02-15,423794.0,430319.0
SE,2019-02-16,394764.0,396928.0
SE,2019-02-17,402411.0,403068.0
SE,2019-02-18,434931.0,436581.0
SE,2019-02-19,437024.0,431269.0
SE,2019-02-20,461636.0,458378.0
SE,2019-02-21,477021.0,474877.0
SE,2019-02-22,484084.0,482849.0
