Country,Timestamp,Forecasted Load,Actual Load
DK,2022-01-01,87748.0,87849.0
DK,2022-01-02,93033.0,92512.0
DK,2022-01-03,108354.0,107847.0
DK,2022-01-04,111203.0,111505.0
DK,2022-01-05,117260.0,117087.0
DK,2022-01-06,118326.0,117944.0
DK,2022-01-07,116031.0,116217.0
DK,2022-01-08,102245.0,103355.0
DK,2022-01-09,104231.0,104453.0
DK,2022-01-10,114044.0,113618.0
DK,2022-01-11,116294.0,116540.0
DK,2022-01-12,114311.0,114034.0
DK,2022-01-13,114013.0,114105.0
DK,2022-01-14,110998.0,110975.0
DK,2022-01-15,100455.0,100396.0
DK,2022-01-16,99630.0,99915.0
DK,2022-01-17,114896.0,115167.0
DK,2022-01-18,111301.0,110654.0
DK,2022-01-19,116200.0,116914.0
DK,2022-01-20,120628.0,120887.0
DK,2022-01-21,115112.0,115061.0
DK,2022-01-22,102401.0,102840.0
DK,2022-01-23,94645.0,94189.0
DK,2022-01-24,108039.0,107634.0
DK,2022-01-25,105576.0,105559.0
DK,2022-01-26,111562.0,112006.0
DK,2022-01-27,115882.0,116122.0
DK,2022-01-28,111334.0,111240.0
DK,2022-01-29,101166.0,101402.0
DK,2022-01-30,98828.0,98974.0
DK,2022-01-31,109764.0,109665.0
DK,2022-02-01,114192.0,114309.0
DK,2022-02-02,115560.0,115128.0
DK,2022-02-03,111105.0,110938.0
DK,2022-02-04,108604.0,108733.0
DK,2022-02-05,104390.0,104745.0
DK,2022-02-06,100019.0,99756.0
DK,2022-02-07,114941.0,115539.0
DK,2022-02-08,113027.0,113340.0
DK,2022-02-09,112254.0,111987.0
DK,2022-02-10,110588.0,110256.0
DK,2022-02-11,111160.0,111169.0
DK,2022-02-12,102077.0,102634.0
DK,2022-02-13,102610.0,102776.0
DK,2022-02-14,111264.0,111376.0
DK,2022-02-15,111555.0,111599.0
DK,2022-02-16,115413.0,115325.0
DK,2022-02-17,112966.0,112672.0
DK,2022-02-18,112035.0,112814.0
DK,2022-02-19,103033.0,103158.0
DK,2022-02-20,100384.0,100566.0
DK,2022-02-21,113540.0,113967.0
DK,2022-02-22,114389.0,114197.0
DK,2022-02-23,113349.0,113220.0
DK,2022-02-24,114383.0,114651.0
DK,2022-02-25,113740.0,113619.0
DK,2022-02-26,97361.0,97237.0
DK,2022-02-27,96855.0,96890.0
DK,2022-02-28,110670.0,110448.0
DK,2022-03-01,111069.0,110736.0
DK,2022-03-02,109386.0,108944.0
DK,2022-03-03,107735.0,107488.0
DK,2022-03-04,105279.0,105238.0
DK,2022-03-05,96595.0,96541.0
DK,2022-03-06,93651.0,93319.0
DK,2022-03-07,105380.0,104768.0
DK,2022-03-08,106659.0,106511.0
DK,2022-03-09,108465.0,108090.0
DK,2022-03-10,109149.0,109182.0
DK,2022-03-11,109192.0,108986.0
DK,2022-03-12,94871.0,94413.0
DK,2022-03-13,90972.0,91054.0
DK,2022-03-14,103610.0,102892.0
DK,2022-03-15,104150.0,104159.0
DK,2022-03-16,107095.0,106349.0
DK,2022-03-17,108384.0,108501.0
DK,2022-03-18,100278.0,100078.0
DK,2022-03-19,92214.0,91751.0
DK,2022-03-20,92634.0,92643.0
DK,2022-03-21,101695.0,101321.0
DK,2022-03-22,102453.0,101992.0
DK,2022-03-23,101751.0,101391.0
DK,2022-03-24,100415.0,99775.0
DK,2022-03-25,93212.0,93546.0
DK,2022-03-26,85301.0,85370.0
DK,2022-03-27,79698.0,80329.0
DK,2022-03-28,96207.0,96300.0
DK,2022-03-29,99507.0,100020.0
DK,2022-03-30,104654.0,104426.0
DK,2022-03-31,105606.0,105426.0
DK,2022-04-01,102182.0,102359.0
DK,2022-04-02,91698.0,92168.0
DK,2022-04-03,90657.0,91011.0
DK,2022-04-04,109057.0,109142.0
DK,2022-04-05,105615.0,104660.0
DK,2022-04-06,108036.0,107567.0
DK,2022-04-07,107571.0,107726.0
DK,2022-04-08,105450.0,105475.0
