Country,Timestamp,Forecasted Load,Actual Load
FR,2023-01-01,995700.0,1032541.0
FR,2023-01-02,1200850.0,1185621.0
FR,2023-01-03,1357250.0,1330830.0
FR,2023-01-04,1374550.0,1346940.0
FR,2023-01-05,1339200.0,1314764.0
FR,2023-01-06,1336050.0,1314814.0
FR,2023-01-07,1236400.0,1214235.0
FR,2023-01-08,1178950.0,1378240.0
FR,2023-01-09,1371000.0,1397284.0
FR,2023-01-10,1419000.0,1450787.0
FR,2023-01-11,1417250.0,1391726.0
FR,2023-01-12,1265950.0,1264318.0
FR,2023-01-13,1377600.0,1365666.0
FR,2023-01-14,1263100.0,1265757.0
FR,2023-01-15,1246050.0,1256362.0
FR,2023-01-16,1488700.0,1513990.0
FR,2023-01-17,1594500.0,1603682.0
FR,2023-01-18,1653450.0,1670004.0
FR,2023-01-19,1684800.0,1693085.0
FR,2023-01-20,1701900.0,1706911.0
FR,2023-01-21,1618750.0,1600147.0
FR,2023-01-22,1612400.0,1638755.0
FR,2023-01-23,1804400.0,1780281.0
FR,2023-01-24,1786050.0,1762461.0
FR,2023-01-25,1769700.0,1789350.0
FR,2023-01-26,1770750.0,1773904.0
FR,2023-01-27,1755000.0,1719814.0
FR,2023-01-28,1620800.0,1604209.0
FR,2023-01-29,1599700.0,1567100.0
FR,2023-01-30,1694300.0,1679514.0
FR,2023-01-31,1650750.0,1600350.0
FR,2023-02-01,1586500.0,1558982.0
FR,2023-02-02,1554700.0,1545896.0
FR,2023-02-03,1510350.0,1508409.0
FR,2023-02-04,1360650.0,1367466.0
FR,2023-02-05,1325400.0,1308116.0
FR,2023-02-06,1544600.0,1525681.0
FR,2023-02-07,1582550.0,1583445.0
FR,2023-02-08,1635250.0,1652551.0
FR,2023-02-09,1397150.0,1417960.0
