Country,Timestamp,Fossil Gas,Hydro Water Reservoir,Other,Solar,Wind Onshore
SE,2023-01-01,0.0,44489.0,2008.0,0.0,71186.0
SE,2023-01-02,0.0,112064.0,3349.0,0.0,29967.0
SE,2023-01-03,0.0,117340.0,5209.0,0.0,59178.0
SE,2023-01-04,0.0,105373.0,5465.0,0.0,27252.0
SE,2023-01-05,0.0,106220.0,5419.0,0.0,23431.0
SE,2023-01-06,0.0,115139.0,5250.0,0.0,47137.0
SE,2023-01-07,0.0,93200.0,4543.0,0.0,63718.0
SE,2023-01-08,0.0,50091.0,3917.0,0.0,65729.0
SE,2023-01-09,0.0,102293.0,4563.0,0.0,32471.0
SE,2023-01-10,0.0,128854.0,4896.0,0.0,18598.0
SE,2023-01-11,0.0,80876.0,4928.0,0.0,57816.0
SE,2023-01-12,0.0,81154.0,3723.0,0.0,76107.0
SE,2023-01-13,0.0,103258.0,3672.0,0.0,19249.0
SE,2023-01-14,0.0,83182.0,3440.0,0.0,18821.0
SE,2023-01-15,0.0,40825.0,2513.0,0.0,32035.0
SE,2023-01-16,0.0,106637.0,3591.0,2.0,26958.0
SE,2023-01-17,0.0,101567.0,3857.0,0.0,45284.0
SE,2023-01-18,0.0,119889.0,4270.0,0.0,36698.0
SE,2023-01-19,0.0,135725.0,3745.0,2.0,10046.0
SE,2023-01-20,0.0,129949.0,3844.0,3.0,36075.0
SE,2023-01-21,0.0,123593.0,3656.0,4.0,38589.0
SE,2023-01-22,0.0,106003.0,4133.0,4.0,64427.0
SE,2023-01-23,0.0,100168.0,5073.0,2.0,62527.0
SE,2023-01-24,0.0,87311.0,4840.0,2.0,78119.0
SE,2023-01-25,0.0,59027.0,4590.0,3.0,103214.0
SE,2023-01-26,0.0,102987.0,5036.0,5.0,82589.0
SE,2023-01-27,0.0,104235.0,4160.0,4.0,68398.0
SE,2023-01-28,0.0,51999.0,4101.0,6.0,100618.0
SE,2023-01-29,0.0,57788.0,4330.0,2.0,86327.0
SE,2023-01-30,0.0,68247.0,3478.0,4.0,97370.0
SE,2023-01-31,0.0,106342.0,4491.0,8.0,61378.0
SE,2023-02-01,0.0,132245.0,4649.0,8.0,20250.0
SE,2023-02-02,0.0,129096.0,4971.0,8.0,31907.0
SE,2023-02-03,0.0,133087.0,5353.0,3.0,14536.0
SE,2023-02-04,0.0,115719.0,4565.0,11.0,50409.0
SE,2023-02-05,0.0,75261.0,4050.0,7.0,96791.0
SE,2023-02-06,0.0,97826.0,4218.0,6.0,64897.0
SE,2023-02-07,0.0,93580.0,4595.0,9.0,61005.0
SE,2023-02-08,0.0,77756.0,4234.0,10.0,92236.0
SE,2023-02-09,0.0,46221.0,3656.0,9.0,93450.0
