Country,Timestamp,Fossil Gas,Hydro Water Reservoir,Nuclear,Other,Solar,Wind Onshore
SE,2023-01-01,0.0,13999.0,139168.0,12700.0,22.0,13982.0
SE,2023-01-02,0.0,20674.0,139143.0,19676.0,10.0,14063.0
SE,2023-01-03,0.0,24060.0,139109.0,22818.0,43.0,18315.0
SE,2023-01-04,0.0,22731.0,139086.0,21309.0,10.0,40415.0
SE,2023-01-05,0.0,25505.0,139067.0,22028.0,16.0,37978.0
SE,2023-01-06,0.0,25018.0,139043.0,20324.0,10.0,42548.0
SE,2023-01-07,0.0,21694.0,139074.0,20398.0,11.0,29973.0
SE,2023-01-08,0.0,18271.0,139045.0,16981.0,11.0,35983.0
SE,2023-01-09,0.0,29715.0,139027.0,20007.0,11.0,16153.0
SE,2023-01-10,0.0,29908.0,139038.0,20270.0,16.0,23345.0
SE,2023-01-11,0.0,23069.0,139026.0,18809.0,13.0,60707.0
SE,2023-01-12,0.0,25656.0,139052.0,17769.0,14.0,37153.0
SE,2023-01-13,0.0,26572.0,139071.0,19064.0,19.0,29750.0
SE,2023-01-14,0.0,25386.0,134167.0,18958.0,24.0,27075.0
SE,2023-01-15,0.0,24094.0,139109.0,16033.0,40.0,57885.0
SE,2023-01-16,0.0,30528.0,139081.0,20207.0,71.0,38576.0
SE,2023-01-17,0.0,31537.0,139038.0,18328.0,14.0,40949.0
SE,2023-01-18,0.0,36336.0,139026.0,19493.0,55.0,30565.0
SE,2023-01-19,0.0,40489.0,138954.0,22597.0,77.0,12020.0
SE,2023-01-20,0.0,39893.0,138967.0,23817.0,43.0,5587.0
SE,2023-01-21,0.0,40005.0,138954.0,21704.0,108.0,7068.0
SE,2023-01-22,0.0,37824.0,138943.0,21162.0,110.0,14756.0
SE,2023-01-23,0.0,37275.0,138907.0,24680.0,96.0,32459.0
SE,2023-01-24,0.0,34012.0,138893.0,22002.0,48.0,52438.0
SE,2023-01-25,0.0,27563.0,138879.0,17847.0,35.0,58707.0
SE,2023-01-26,0.0,38518.0,138866.0,20167.0,181.0,33984.0
SE,2023-01-27,0.0,39283.0,138920.0,22241.0,182.0,20960.0
SE,2023-01-28,0.0,30511.0,138972.0,15985.0,76.0,44211.0
SE,2023-01-29,0.0,30646.0,138971.0,16116.0,92.0,56273.0
SE,2023-01-30,0.0,29860.0,138981.0,17045.0,199.0,66096.0
SE,2023-01-31,0.0,36396.0,138953.0,19949.0,157.0,34424.0
SE,2023-02-01,0.0,38699.0,138957.0,20154.0,136.0,16430.0
SE,2023-02-02,0.0,40977.0,138931.0,23398.0,325.0,15603.0
SE,2023-02-03,0.0,42189.0,138903.0,19783.0,145.0,25632.0
SE,2023-02-04,0.0,41428.0,138918.0,21969.0,368.0,18557.0
SE,2023-02-05,0.0,35180.0,138984.0,20274.0,79.0,33568.0
SE,2023-02-06,0.0,40065.0,138991.0,26462.0,357.0,22201.0
SE,2023-02-07,0.0,35086.0,139003.0,19799.0,121.0,42354.0
SE,2023-02-08,25.0,34320.0,138978.0,20152.0,95.0,48656.0
SE,2023-02-09,0.0,20255.0,121621.0,15431.0,192.0,61437.0
