,Biomass,Biomass,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Coal-derived gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Fossil Oil,Geothermal,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Nuclear,Other,Other,Other renewable,Other renewable,Solar,Solar,Waste,Waste,Wind Offshore,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption
2017-01-01,460999.0,0.0,1274466.0,0.0,50028.0,0.0,219552.0,0.0,577330.0,0.0,18775.0,568.0,1923.0,0.0,100965.0,109785.0,103806.0,0.0,3848.0,0.0,623687.0,0.0,420993.0,0.0,16313.0,0.0,141166.0,0.0,65822.0,0.0,207082.0,1017582.0,0.0
2017-01-02,461869.0,0.0,1335252.0,0.0,50261.0,0.0,370600.0,0.0,1178533.0,0.0,23277.0,343.0,1875.0,0.0,148036.0,94999.0,103442.0,0.0,6360.0,0.0,617933.0,0.0,572625.0,0.0,16583.0,0.0,49920.0,0.0,66984.0,0.0,243380.0,902329.0,0.0
2017-01-03,456678.0,0.0,1167254.0,0.0,50787.0,0.0,305745.0,0.0,792698.0,0.0,25968.0,250.0,1858.0,0.0,85047.0,77978.0,103611.0,0.0,6669.0,0.0,579752.0,0.0,543046.0,0.0,15735.0,0.0,37402.0,0.0,64143.0,0.0,297085.0,2243237.0,0.0
2017-01-04,449022.0,0.0,1159634.0,0.0,37410.0,0.0,313704.0,0.0,707174.0,0.0,25010.0,275.0,1778.0,0.0,77600.0,85709.0,101974.0,0.0,7424.0,0.0,571783.0,0.0,593221.0,0.0,16202.0,0.0,51257.0,0.0,64621.0,0.0,279995.0,2481781.0,0.0
2017-01-05,452424.0,0.0,1459662.0,0.0,35534.0,0.0,514596.0,0.0,1365240.0,0.0,23941.0,356.0,1815.0,0.0,118314.0,87545.0,104406.0,0.0,7855.0,0.0,611511.0,0.0,704522.0,0.0,16632.0,0.0,83182.0,0.0,63437.0,0.0,137525.0,969038.0,0.0
2017-01-06,453276.0,0.0,1653141.0,0.0,47603.0,0.0,542133.0,0.0,1390545.0,0.0,18794.0,530.0,1739.0,0.0,122167.0,69754.0,107591.0,0.0,3580.0,0.0,678603.0,0.0,688182.0,0.0,16504.0,0.0,133372.0,0.0,61685.0,0.0,156700.0,276584.0,0.0
2017-01-07,456226.0,0.0,1630241.0,0.0,50697.0,0.0,372904.0,0.0,1047694.0,0.0,18329.0,587.0,1680.0,0.0,120706.0,93182.0,98308.0,0.0,6025.0,0.0,774722.0,0.0,631590.0,0.0,16577.0,0.0,33546.0,0.0,35820.0,8.0,230101.0,786142.0,0.0
2017-01-08,457452.0,0.0,1699263.0,0.0,42203.0,0.0,367625.0,0.0,1266359.0,0.0,18424.0,578.0,1557.0,0.0,106729.0,92186.0,101980.0,0.0,6691.0,0.0,754481.0,0.0,624930.0,0.0,16532.0,0.0,19961.0,0.0,37100.0,0.0,27921.0,149030.0,0.0
2017-01-09,454846.0,0.0,1676218.0,0.0,43716.0,0.0,578374.0,0.0,1272061.0,0.0,28894.0,215.0,1718.0,0.0,151085.0,108010.0,105684.0,0.0,5851.0,0.0,734069.0,0.0,774311.0,0.0,16475.0,0.0,28285.0,0.0,37059.0,0.0,223559.0,471905.0,0.0
