,Forecasted Load,Actual Load
2018-01-01,1251500.0,1311096.0
2018-01-02,1484400.0,1474749.0
2018-01-03,1466500.0,1494797.0
2018-01-04,1472800.0,1484417.0
2018-01-05,1498850.0,1474302.0
2018-01-06,1444100.0,1409039.0
2018-01-07,1409800.0,1381290.0
2018-01-08,1596250.0,1593069.0
2018-01-09,1650000.0,1629886.0
2018-01-10,1604950.0,1598026.0
2018-01-11,1639200.0,1631104.0
2018-01-12,1656800.0,1666827.0
2018-01-13,1549950.0,1560658.0
2018-01-14,1513100.0,1509832.0
2018-01-15,1672500.0,1664723.0
2018-01-16,1626039.0,1611069.0
2018-01-17,1623000.0,1653396.0
2018-01-18,1635500.0,1634462.0
2018-01-19,1637000.0,1622602.0
2018-01-20,1495393.0,1517100.0
2018-01-21,1412300.0,1403497.0
2018-01-22,1537000.0,1519485.0
2018-01-23,1573050.0,1537450.0
2018-01-24,1523400.0,1497641.0
2018-01-25,1530400.0,1538177.0
2018-01-26,1591300.0,1594277.0
2018-01-27,1502450.0,1516383.0
2018-01-28,1425900.0,1417295.0
2018-01-29,1574150.0,1559536.0
2018-01-30,1600000.0,1578643.0
2018-01-31,1592250.0,1585526.0
2018-02-01,1638550.0,1662862.0
2018-02-02,1703650.0,1719369.0
2018-02-03,1612900.0,1610011.0
2018-02-04,1580400.0,1575412.0
2018-02-05,1820700.0,1838071.0
2018-02-06,1892400.0,1873707.0
2018-02-07,1913600.0,1908571.0
2018-02-08,1959150.0,1920012.0
2018-02-09,1915300.0,1899750.0
2018-02-10,1734750.0,1720937.0
2018-02-11,1606750.0,1588729.0
2018-02-12,1792850.0,1767263.0
2018-02-13,1853250.0,1876515.0
2018-02-14,1869400.0,1851898.0
2018-02-15,1736250.0,1702992.0
2018-02-16,1652700.0,1636234.0
2018-02-17,1525900.0,1496279.0
2018-02-18,1468900.0,1483784.0
2018-02-19,1674350.0,1683637.0
2018-02-20,1700000.0,1679561.0
2018-02-21,1724200.0,1729233.0
2018-02-22,1790350.0,1821928.0
2018-02-23,1834250.0,1839343.0
2018-02-24,1705900.0,1713535.0
2018-02-25,1657150.0,1661335.0
2018-02-26,1933850.0,1937896.0
2018-02-27,2059650.0,2061816.0
2018-02-28,2113750.0,2122205.0
2018-03-01,2007450.0,1998316.0
2018-03-02,1848150.0,1816941.0
2018-03-03,1610100.0,1587089.0
2018-03-04,1495050.0,1472606.0
2018-03-05,1653200.0,1591692.0
2018-03-06,1627100.0,1590196.0
2018-03-07,1627600.0,1601350.0
2018-03-08,1600650.0,1600040.0
2018-03-09,1517150.0,1522419.0
2018-03-10,1276550.0,1307046.0
2018-03-11,1209650.0,1201032.0
2018-03-12,1425000.0,1411857.0
2018-03-13,1479400.0,1480149.0
2018-03-14,1478150.0,1471584.0
2018-03-15,1462400.0,1467051.0
2018-03-16,1452100.0,1458198.0
2018-03-17,1404300.0,1419509.0
2018-03-18,1443950.0,1468928.0
2018-03-19,1707000.0,1723707.0
2018-03-20,1746750.0,1763091.0
2018-03-21,1750700.0,1737043.0
2018-03-22,1747600.0,1707749.0
2018-03-23,1669100.0,1639670.0
2018-03-24,1463100.0,1432681.0
