,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
2018-01-01,157047.0,204928.0,26655.0,56739.0
2018-01-02,233712.0,180363.0,27410.0,37098.0
2018-01-03,203687.0,175997.0,28132.0,45562.0
2018-01-04,224487.0,194338.0,32487.0,43161.0
2018-01-05,228747.0,203000.0,34602.0,47927.0
2018-01-06,205511.0,204360.0,35120.0,63127.0
2018-01-07,173261.0,207450.0,36699.0,86150.0
2018-01-08,225537.0,207608.0,38510.0,62446.0
2018-01-09,225378.0,206758.0,35825.0,58258.0
2018-01-10,249632.0,207527.0,37892.0,45337.0
2018-01-11,252741.0,207220.0,39352.0,35083.0
2018-01-12,249902.0,206351.0,40199.0,31339.0
2018-01-13,221922.0,204852.0,36779.0,30482.0
2018-01-14,205596.0,204915.0,37330.0,61278.0
2018-01-15,204047.0,205138.0,39046.0,118090.0
2018-01-16,222182.0,205162.0,36738.0,100579.0
2018-01-17,245171.0,205104.0,37954.0,38031.0
2018-01-18,246455.0,205056.0,38067.0,16445.0
2018-01-19,252887.0,196488.0,40022.0,10786.0
2018-01-20,236051.0,180860.0,36332.0,20635.0
2018-01-21,235894.0,180938.0,33807.0,10415.0
2018-01-22,259342.0,180969.0,36827.0,12636.0
2018-01-23,243404.0,189384.0,39258.0,48293.0
2018-01-24,190012.0,202920.0,32309.0,95213.0
2018-01-25,202462.0,204722.0,32614.0,102043.0
2018-01-26,243065.0,206282.0,32265.0,47888.0
2018-01-27,214694.0,207580.0,33224.0,29819.0
2018-01-28,156296.0,206694.0,33192.0,76387.0
2018-01-29,217994.0,207721.0,32216.0,38625.0
2018-01-30,234158.0,207679.0,35162.0,35669.0
2018-01-31,214383.0,207747.0,34837.0,64191.0
2018-02-01,222260.0,207654.0,35683.0,72513.0
2018-02-02,243353.0,204839.0,39762.0,57712.0
2018-02-03,234523.0,207698.0,39762.0,58103.0
2018-02-04,218267.0,207632.0,40376.0,45177.0
2018-02-05,272869.0,207035.0,45989.0,19030.0
2018-02-06,273399.0,206726.0,43079.0,17003.0
2018-02-07,270475.0,207662.0,42531.0,19708.0
2018-02-08,256410.0,206959.0,39010.0,42255.0
2018-02-09,239496.0,207776.0,37082.0,58335.0
2018-02-10,230458.0,207959.0,32900.0,51035.0
2018-02-11,186837.0,208147.0,34592.0,65945.0
2018-02-12,233933.0,208033.0,36533.0,73024.0
2018-02-13,250156.0,207986.0,37355.0,31731.0
2018-02-14,244817.0,207119.0,36506.0,38334.0
2018-02-15,235590.0,207969.0,35113.0,85726.0
2018-02-16,258810.0,196203.0,35147.0,36669.0
2018-02-17,237846.0,202137.0,33030.0,8396.0
2018-02-18,222576.0,207903.0,32900.0,11249.0
2018-02-19,263433.0,207903.0,35866.0,17569.0
2018-02-20,261782.0,206067.0,39075.0,12350.0
2018-02-21,257436.0,207894.0,36744.0,8134.0
2018-02-22,252152.0,207795.0,36650.0,8017.0
2018-02-23,251800.0,207910.0,37218.0,16081.0
2018-02-24,216989.0,207779.0,38489.0,22245.0
2018-02-25,208808.0,207806.0,38569.0,36523.0
2018-02-26,251886.0,207940.0,43245.0,59517.0
2018-02-27,255903.0,207759.0,42967.0,86740.0
2018-02-28,253744.0,207918.0,42909.0,58202.0
2018-03-01,257048.0,207982.0,44335.0,43664.0
2018-03-02,255094.0,208038.0,40585.0,38012.0
2018-03-03,229977.0,201043.0,37665.0,14131.0
2018-03-04,209126.0,203155.0,35518.0,11137.0
2018-03-05,252526.0,207056.0,38652.0,37056.0
2018-03-06,254211.0,208056.0,37195.0,28684.0
2018-03-07,249026.0,208059.0,36074.0,38239.0
2018-03-08,234718.0,208113.0,35380.0,25216.0
2018-03-09,245400.0,208007.0,33327.0,17035.0
2018-03-10,210395.0,207909.0,31124.0,7792.0
2018-03-11,199329.0,208009.0,30247.0,31991.0
2018-03-12,242356.0,208004.0,30939.0,25186.0
2018-03-13,233498.0,208054.0,31998.0,36661.0
2018-03-14,238450.0,207882.0,34325.0,30887.0
2018-03-15,235378.0,191991.0,39341.0,40650.0
2018-03-16,232139.0,186701.0,41692.0,58832.0
2018-03-17,181403.0,197617.0,39239.0,69894.0
2018-03-18,168517.0,206714.0,34906.0,75851.0
2018-03-19,221268.0,208038.0,34145.0,80671.0
2018-03-20,222891.0,207772.0,33408.0,44675.0
2018-03-21,215198.0,207936.0,28733.0,64409.0
2018-03-22,216509.0,207999.0,27284.0,40041.0
2018-03-23,226173.0,207808.0,28738.0,22046.0
2018-03-24,159064.0,208048.0,28386.0,52876.0
2018-03-25,144492.0,199369.0,26533.0,41759.0
2018-03-26,222690.0,207512.0,28323.0,33602.0
2018-03-27,220853.0,206287.0,30360.0,34004.0
2018-03-28,209308.0,205183.0,31595.0,33099.0
2018-03-29,197868.0,206162.0,32981.0,56080.0
2018-03-30,186624.0,207886.0,32699.0,21079.0
2018-03-31,161009.0,207828.0,30482.0,17384.0
2018-04-01,150392.0,206863.0,31463.0,27410.0
2018-04-02,165217.0,205729.0,30799.0,29568.0
2018-04-03,208509.0,197958.0,30151.0,31363.0
2018-04-04,199384.0,194345.0,27046.0,50434.0
2018-04-05,193362.0,195110.0,26192.0,32224.0
2018-04-06,175291.0,191141.0,27451.0,89027.0
2018-04-07,127211.0,197581.0,25950.0,50352.0
2018-04-08,132098.0,202774.0,24694.0,22075.0
2018-04-09,184242.0,205025.0,24686.0,33599.0
2018-04-10,163610.0,207273.0,25052.0,51131.0
2018-04-11,165627.0,205302.0,28084.0,50454.0
2018-04-12,166609.0,194356.0,27618.0,49184.0
2018-04-13,166578.0,181368.0,25391.0,70259.0
2018-04-14,120438.0,178412.0,22136.0,42750.0
2018-04-15,124315.0,174489.0,20400.0,14520.0
2018-04-16,173216.0,177431.0,22243.0,4899.0
2018-04-17,160046.0,178299.0,21044.0,12906.0
2018-04-18,158268.0,177871.0,19631.0,41411.0
2018-04-19,159474.0,177620.0,18141.0,32912.0
2018-04-20,159664.0,177640.0,16226.0,52615.0
2018-04-21,124044.0,177468.0,14331.0,78229.0
2018-04-22,139353.0,177559.0,15154.0,24506.0
2018-04-23,173686.0,176616.0,17257.0,69870.0
2018-04-24,182279.0,172243.0,16574.0,64592.0
2018-04-25,190950.0,153645.0,15443.0,51214.0
2018-04-26,196513.0,159762.0,17260.0,42194.0
2018-04-27,207832.0,177032.0,17627.0,28424.0
2018-04-28,197699.0,177519.0,15812.0,9208.0
2018-04-29,190170.0,173747.0,16087.0,6760.0
2018-04-30,198449.0,172370.0,17901.0,45138.0
2018-05-01,171248.0,177125.0,17967.0,54825.0
2018-05-02,201377.0,176956.0,17907.0,31264.0
2018-05-03,209825.0,176799.0,17200.0,41679.0
2018-05-04,207238.0,177030.0,15275.0,26506.0
2018-05-05,188163.0,176871.0,14594.0,27679.0
2018-05-06,176454.0,175806.0,13739.0,44639.0
2018-05-07,204226.0,175784.0,12930.0,44074.0
2018-05-08,201091.0,175591.0,11288.0,24568.0
2018-05-09,203094.0,152738.0,12139.0,63613.0
2018-05-10,200160.0,148086.0,13185.0,62083.0
2018-05-11,212491.0,149785.0,12552.0,31372.0
2018-05-12,206819.0,150365.0,12247.0,15860.0
2018-05-13,207800.0,150290.0,12140.0,19932.0
2018-05-14,212846.0,149864.0,11181.0,18610.0
2018-05-15,208236.0,149430.0,10812.0,10291.0
2018-05-16,207460.0,149036.0,9880.0,26307.0
2018-05-17,219189.0,145014.0,12076.0,43715.0
2018-05-18,222751.0,149392.0,13946.0,36372.0
2018-05-19,206730.0,149003.0,13653.0,15655.0
2018-05-20,195846.0,148515.0,11280.0,29342.0
2018-05-21,205783.0,145824.0,10992.0,26017.0
2018-05-22,210544.0,145388.0,11899.0,20350.0
2018-05-23,209878.0,147950.0,13073.0,20977.0
2018-05-24,207179.0,141405.0,11378.0,17021.0
2018-05-25,203503.0,143281.0,10985.0,22856.0
