,Forecasted Load,Actual Load
2019-01-01,84512.0,84679.0
2019-01-02,99020.0,98869.0
2019-01-03,104739.0,104792.0
2019-01-04,102166.0,102585.0
2019-01-05,89467.0,89436.0
2019-01-06,90369.0,90498.0
2019-01-07,103360.0,103090.0
2019-01-08,106239.0,106355.0
2019-01-09,108576.0,108283.0
2019-01-10,109459.0,108785.0
2019-01-11,102454.0,102566.0
2019-01-12,92212.0,93283.0
2019-01-13,91735.0,92335.0
2019-01-14,107554.0,107565.0
2019-01-15,108271.0,107841.0
2019-01-16,105585.0,105664.0
2019-01-17,105811.0,106144.0
2019-01-18,105555.0,105652.0
2019-01-19,94816.0,95768.0
2019-01-20,94287.0,94059.0
2019-01-21,107321.0,106711.0
2019-01-22,109332.0,109448.0
2019-01-23,110844.0,110627.0
2019-01-24,113535.0,113518.0
2019-01-25,110611.0,110910.0
2019-01-26,97942.0,98234.0
2019-01-27,95363.0,95424.0
2019-01-28,107251.0,107022.0
2019-01-29,108720.0,108646.0
2019-01-30,108995.0,108844.0
2019-01-31,110493.0,110352.0
2019-02-01,106196.0,106120.0
2019-02-02,95145.0,95613.0
2019-02-03,93177.0,93310.0
2019-02-04,110050.0,109814.0
2019-02-05,107499.0,107198.0
2019-02-06,106402.0,106116.0
2019-02-07,106683.0,106851.0
2019-02-08,103421.0,103483.0
2019-02-09,94135.0,94422.0
2019-02-10,90494.0,89962.0
2019-02-11,103411.0,103671.0
2019-02-12,105447.0,105554.0
2019-02-13,102997.0,103077.0
2019-02-14,101800.0,101988.0
2019-02-15,96853.0,96810.0
2019-02-16,86742.0,86417.0
2019-02-17,84557.0,84714.0
2019-02-18,99117.0,98701.0
2019-02-19,101964.0,102076.0
2019-02-20,102535.0,102420.0
2019-02-21,103098.0,102817.0
2019-02-22,100119.0,100223.0
2019-02-23,89026.0,88669.0
2019-02-24,86066.0,85561.0
2019-02-25,99180.0,99070.0
2019-02-26,98698.0,98390.0
2019-02-27,97329.0,97092.0
2019-02-28,97145.0,97180.0
2019-03-01,96255.0,96541.0
2019-03-02,88264.0,88483.0
2019-03-03,86839.0,86863.0
2019-03-04,100306.0,100306.0
2019-03-05,101774.0,101897.0
2019-03-06,101173.0,101011.0
2019-03-07,101261.0,100951.0
2019-03-08,98198.0,98313.0
2019-03-09,89935.0,90458.0
2019-03-10,86736.0,86755.0
2019-03-11,100338.0,100216.0
2019-03-12,102476.0,102486.0
2019-03-13,103884.0,103636.0
2019-03-14,103080.0,103097.0
2019-03-15,100423.0,100849.0
2019-03-16,88969.0,89583.0
2019-03-17,88933.0,88949.0
2019-03-18,99981.0,99981.0
2019-03-19,99603.0,98396.0
2019-03-20,98766.0,98733.0
2019-03-21,97869.0,97733.0
2019-03-22,96046.0,95742.0
2019-03-23,83198.0,83517.0
2019-03-24,82920.0,82947.0
2019-03-25,97130.0,97293.0
2019-03-26,98800.0,98498.0
2019-03-27,97824.0,97777.0
2019-03-28,96733.0,96364.0
2019-03-29,91547.0,91374.0
2019-03-30,81067.0,80870.0
2019-03-31,78680.0,78696.0
2019-04-01,94663.0,94464.0
2019-04-02,93850.0,93994.0
2019-04-03,93332.0,93173.0
2019-04-04,87506.0,87455.0
2019-04-05,84813.0,84418.0
2019-04-06,75132.0,75097.0
2019-04-07,75360.0,75294.0
2019-04-08,86523.0,86497.0
2019-04-09,91655.0,91436.0
2019-04-10,96476.0,96205.0
2019-04-11,98429.0,98058.0
2019-04-12,95070.0,95099.0
2019-04-13,84282.0,84209.0
2019-04-14,82747.0,82346.0
2019-04-15,93051.0,92668.0
2019-04-16,93759.0,93160.0
2019-04-17,90322.0,90889.0
2019-04-18,78370.0,78727.0
2019-04-19,76269.0,76600.0
2019-04-20,76041.0,76066.0
2019-04-21,73451.0,73785.0
2019-04-22,75833.0,75860.0
2019-04-23,89474.0,88869.0
2019-04-24,90354.0,90338.0
2019-04-25,91200.0,90806.0
2019-04-26,87599.0,87678.0
2019-04-27,78003.0,78439.0
2019-04-28,76517.0,76485.0
2019-04-29,89346.0,89546.0
2019-04-30,90728.0,90755.0
2019-05-01,87154.0,81079.0
2019-05-02,93378.0,93107.0
2019-05-03,92063.0,92244.0
2019-05-04,82088.0,81737.0
2019-05-05,79566.0,79364.0
2019-05-06,93153.0,92717.0
2019-05-07,94994.0,93174.0
2019-05-08,94616.0,93788.0
2019-05-09,93663.0,93573.0
2019-05-10,89739.0,90147.0
2019-05-11,79275.0,79388.0
2019-05-12,78273.0,78192.0
2019-05-13,91710.0,91473.0
2019-05-14,94533.0,93747.0
2019-05-15,94118.0,93274.0
2019-05-16,92195.0,92211.0
2019-05-17,82063.0,82727.0
2019-05-18,76820.0,76981.0
2019-05-19,76356.0,76429.0
2019-05-20,90531.0,90696.0
2019-05-21,93826.0,93443.0
2019-05-22,94291.0,94142.0
2019-05-23,92661.0,92233.0
2019-05-24,88658.0,89045.0
2019-05-25,76906.0,76857.0
2019-05-26,76280.0,76682.0
2019-05-27,89101.0,89151.0
2019-05-28,90518.0,90335.0
2019-05-29,90417.0,89737.0
2019-05-30,81022.0,81205.0
2019-05-31,79610.0,79656.0
2019-06-01,74479.0,74865.0
2019-06-02,74046.0,74334.0
2019-06-03,87216.0,87567.0
2019-06-04,87821.0,87383.0
2019-06-05,76501.0,78368.0
2019-06-06,90776.0,90505.0
2019-06-07,87591.0,87444.0
2019-06-08,77406.0,77946.0
2019-06-09,74281.0,74154.0
2019-06-10,75852.0,76094.0
2019-06-11,91747.0,91550.0
2019-06-12,93007.0,92816.0
2019-06-13,91387.0,91088.0
2019-06-14,88198.0,88157.0
2019-06-15,76422.0,76600.0
2019-06-16,74466.0,74614.0
2019-06-17,91511.0,91391.0
2019-06-18,90006.0,89970.0
2019-06-19,91273.0,91686.0
2019-06-20,91733.0,91675.0
2019-06-21,88607.0,88758.0
2019-06-22,75515.0,75697.0
2019-06-23,73180.0,73701.0
2019-06-24,90904.0,91095.0
2019-06-25,94844.0,94634.0
2019-06-26,95870.0,95898.0
2019-06-27,90326.0,90266.0
2019-06-28,89787.0,89649.0
2019-06-29,77317.0,78110.0
2019-06-30,78145.0,78386.0
2019-07-01,91748.0,91703.0
2019-07-02,91815.0,91305.0
2019-07-03,91851.0,91459.0
2019-07-04,92945.0,92969.0
2019-07-05,87278.0,87150.0
2019-07-06,77191.0,77534.0
2019-07-07,75729.0,75636.0
2019-07-08,89365.0,89406.0
2019-07-09,88420.0,88638.0
2019-07-10,87642.0,87439.0
2019-07-11,88952.0,88880.0
2019-07-12,84424.0,84457.0
2019-07-13,72973.0,73303.0
2019-07-14,73049.0,73276.0
2019-07-15,83272.0,82910.0
2019-07-16,84216.0,83854.0
2019-07-17,83409.0,82967.0
2019-07-18,81957.0,81822.0
2019-07-19,80395.0,80432.0
2019-07-20,71679.0,71774.0
2019-07-21,71026.0,70819.0
2019-07-22,79767.0,79655.0
2019-07-23,80635.0,80372.0
2019-07-24,81690.0,81649.0
2019-07-25,81850.0,81920.0
2019-07-26,82597.0,82539.0
2019-07-27,75574.0,75827.0
2019-07-28,74192.0,74245.0
2019-07-29,85721.0,85499.0
2019-07-30,86853.0,86543.0
2019-07-31,86489.0,86180.0
2019-08-01,84995.0,84581.0
2019-08-02,82326.0,81894.0
2019-08-03,72953.0,73280.0
2019-08-04,72622.0,72482.0
2019-08-05,87697.0,87759.0
2019-08-06,90083.0,89856.0
2019-08-07,90424.0,89920.0
2019-08-08,89863.0,89768.0
2019-08-09,86570.0,86972.0
2019-08-10,77906.0,78264.0
2019-08-11,78045.0,78059.0
2019-08-12,91281.0,90908.0
2019-08-13,91934.0,91489.0
2019-08-14,90902.0,90626.0
2019-08-15,92852.0,92405.0
2019-08-16,88630.0,88457.0
2019-08-17,79351.0,80142.0
2019-08-18,78391.0,78285.0
2019-08-19,92115.0,91841.0
2019-08-20,91526.0,91228.0
2019-08-21,91393.0,91336.0
2019-08-22,93281.0,92993.0
2019-08-23,88229.0,88573.0
2019-08-24,76766.0,76899.0
2019-08-25,76476.0,76569.0
2019-08-26,91587.0,91479.0
2019-08-27,93333.0,93169.0
2019-08-28,94582.0,94547.0
2019-08-29,93754.0,93191.0
2019-08-30,88639.0,88654.0
2019-08-31,77912.0,78179.0
2019-09-01,77459.0,76957.0
2019-09-02,89652.0,88285.0
2019-09-03,89888.0,88967.0
2019-09-04,90775.0,90666.0
2019-09-05,90991.0,91025.0
2019-09-06,87961.0,88261.0
2019-09-07,76856.0,76820.0
2019-09-08,77742.0,77800.0
2019-09-09,92000.0,92213.0
2019-09-10,94473.0,94132.0
2019-09-11,92006.0,91878.0
2019-09-12,91502.0,91574.0
2019-09-13,87831.0,87993.0
2019-09-14,77320.0,77406.0
2019-09-15,76076.0,76377.0
2019-09-16,89701.0,89763.0
2019-09-17,91592.0,91938.0
2019-09-18,92796.0,93199.0
2019-09-19,92413.0,92297.0
2019-09-20,90453.0,90932.0
2019-09-21,78501.0,78954.0
2019-09-22,76422.0,76510.0
2019-09-23,91442.0,91434.0
2019-09-24,93777.0,93354.0
2019-09-25,94470.0,94671.0
2019-09-26,96130.0,96368.0
2019-09-27,92911.0,92736.0
2019-09-28,80708.0,81217.0
2019-09-29,79935.0,79911.0
2019-09-30,96477.0,96615.0
2019-10-01,97669.0,97454.0
2019-10-02,99113.0,98440.0
2019-10-03,96076.0,96108.0
2019-10-04,94615.0,95220.0
2019-10-05,83881.0,84082.0
2019-10-06,83446.0,83474.0
2019-10-07,97459.0,97067.0
2019-10-08,98514.0,98486.0
2019-10-09,96515.0,96393.0
2019-10-10,97341.0,97038.0
2019-10-11,95236.0,95599.0
2019-10-12,85882.0,85631.0
2019-10-13,81059.0,80983.0
2019-10-14,93668.0,92927.0
2019-10-15,93662.0,93834.0
2019-10-16,94680.0,94725.0
2019-10-17,93886.0,93996.0
2019-10-18,90889.0,90775.0
2019-10-19,79227.0,79614.0
2019-10-20,80199.0,80399.0
2019-10-21,96076.0,96339.0
2019-10-22,96938.0,97223.0
2019-10-23,98559.0,98059.0
2019-10-24,98543.0,98572.0
2019-10-25,96516.0,96739.0
2019-10-26,84350.0,84553.0
2019-10-27,88212.0,88689.0
2019-10-28,99324.0,99195.0
2019-10-29,100368.0,100472.0
2019-10-30,103405.0,103420.0
2019-10-31,101036.0,100487.0
2019-11-01,99422.0,99262.0
2019-11-02,89051.0,89427.0
2019-11-03,84943.0,84660.0
2019-11-04,103193.0,105420.0
2019-11-05,104573.0,104527.0
2019-11-06,104075.0,103899.0
2019-11-07,103849.0,103600.0
2019-11-08,100145.0,100175.0
2019-11-09,89212.0,86298.0
2019-11-10,88765.0,88793.0
2019-11-11,102260.0,102609.0
2019-11-12,106951.0,106828.0
2019-11-13,104811.0,104831.0
2019-11-14,104263.0,104453.0
2019-11-15,103928.0,104246.0
2019-11-16,89695.0,89471.0
2019-11-17,88327.0,88794.0
2019-11-18,102363.0,101960.0
2019-11-19,103388.0,103292.0
2019-11-20,103809.0,103563.0
2019-11-21,104400.0,104413.0
2019-11-22,101278.0,101507.0
2019-11-23,92516.0,92775.0
2019-11-24,91228.0,91069.0
2019-11-25,103754.0,103792.0
2019-11-26,104972.0,104880.0
2019-11-27,103741.0,104377.0
2019-11-28,104603.0,104804.0
2019-11-29,105570.0,105957.0
2019-11-30,92982.0,93256.0
2019-12-01,93305.0,93205.0
2019-12-02,107290.0,107358.0
2019-12-03,111524.0,111841.0
2019-12-04,108211.0,108203.0
2019-12-05,110454.0,110913.0
