,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2019-01-01,8449.0,67022.0,0.0,260.0,5152.0,1550.0,47012.0,81345.0,16907.0,0.0,1264871.0,9342.0,6035.0,48905.0
2019-01-02,8426.0,145208.0,15.0,284.0,5228.0,10973.0,19255.0,89784.0,28690.0,0.0,1324836.0,14493.0,6048.0,76551.0
2019-01-03,8425.0,165996.0,1026.0,0.0,5215.0,16627.0,11973.0,96895.0,36567.0,0.0,1341728.0,19307.0,6187.0,62424.0
2019-01-04,8285.0,175979.0,11389.0,0.0,5204.0,21054.0,11354.0,102016.0,39099.0,0.0,1342790.0,15423.0,6117.0,57725.0
2019-01-05,8235.0,182839.0,13276.0,0.0,5143.0,9669.0,11323.0,81841.0,28976.0,0.0,1294762.0,16381.0,6088.0,66268.0
2019-01-06,8221.0,174395.0,11970.0,0.0,5165.0,9748.0,21737.0,69209.0,18582.0,0.0,1316977.0,10727.0,6005.0,46042.0
2019-01-07,8271.0,178354.0,12297.0,0.0,5170.0,19166.0,13612.0,85442.0,50146.0,0.0,1340529.0,10654.0,6083.0,61689.0
2019-01-08,8487.0,160422.0,12935.0,0.0,5197.0,10789.0,14370.0,88562.0,43783.0,0.0,1318783.0,7468.0,6114.0,148795.0
2019-01-09,8476.0,175926.0,668.0,0.0,5199.0,18203.0,8704.0,88396.0,53509.0,0.0,1327297.0,13023.0,6355.0,142668.0
