,Forecasted Load,Actual Load
2019-01-01,60209.0,65261.0
2019-01-02,81309.0,82044.0
2019-01-03,85329.0,84132.0
2019-01-04,80699.0,78362.0
2019-01-05,72496.0,70975.0
2019-01-06,75033.0,75334.0
2019-01-07,80440.0,82779.0
2019-01-08,80844.0,82005.0
2019-01-09,86616.0,90044.0
2019-01-10,92612.0,91697.0
2019-01-11,83930.0,83908.0
2019-01-12,77546.0,76289.0
2019-01-13,73511.0,70582.0
2019-01-14,87931.0,88907.0
2019-01-15,90986.0,75445.0
2019-01-16,85274.0,81639.0
2019-01-17,79727.0,85838.0
2019-01-18,83645.0,89048.0
2019-01-19,80336.0,79119.0
2019-01-20,78165.0,78412.0
2019-01-21,87243.0,90608.0
2019-01-22,86397.0,87388.0
2019-01-23,90523.0,89164.0
2019-01-24,95257.0,91826.0
2019-01-25,91779.0,94303.0
2019-01-26,82945.0,84501.0
2019-01-27,79534.0,82572.0
2019-01-28,87050.0,87974.0
2019-01-29,89923.0,89533.0
2019-01-30,91814.0,92073.0
2019-01-31,90523.0,91075.0
2019-02-01,88014.0,86769.0
2019-02-02,78270.0,79801.0
2019-02-03,78676.0,79149.0
2019-02-04,91002.0,89029.0
2019-02-05,88704.0,87704.0
2019-02-06,88557.0,88964.0
2019-02-07,85360.0,84502.0
2019-02-08,81895.0,81144.0
2019-02-09,72757.0,72916.0
2019-02-10,72066.0,71831.0
2019-02-11,83632.0,84164.0
2019-02-12,86803.0,85653.0
2019-02-13,83039.0,77956.0
2019-02-14,80156.0,77684.0
2019-02-15,75943.0,77556.0
2019-02-16,69640.0,70022.0
2019-02-17,68212.0,68191.0
2019-02-18,76510.0,77834.0
2019-02-19,78822.0,78828.0
2019-02-20,79942.0,78363.0
2019-02-21,81377.0,79044.0
2019-02-22,83581.0,84021.0
2019-02-23,76625.0,72308.0
2019-02-24,71615.0,67961.0
2019-02-25,77304.0,75845.0
2019-02-26,74936.0,73965.0
2019-02-27,74748.0,74612.0
2019-02-28,75104.0,75132.0
2019-03-01,77874.0,79483.0
2019-03-02,72637.0,72940.0
2019-03-03,68216.0,65475.0
2019-03-04,76682.0,79882.0
2019-03-05,79958.0,82672.0
2019-03-06,83906.0,82042.0
2019-03-07,80210.0,80254.0
2019-03-08,78383.0,77121.0
2019-03-09,72871.0,74745.0
2019-03-10,72856.0,72284.0
2019-03-11,84885.0,82534.0
2019-03-12,86117.0,82631.0
2019-03-13,82049.0,80858.0
2019-03-14,79138.0,80809.0
2019-03-15,76059.0,78770.0
2019-03-16,69225.0,68120.0
2019-03-17,67540.0,67434.0
2019-03-18,79801.0,80678.0
2019-03-19,80125.0,78731.0
2019-03-20,80903.0,79240.0
2019-03-21,75549.0,73823.0
2019-03-22,70238.0,71857.0
2019-03-23,62798.0,64001.0
2019-03-24,66573.0,66994.0
2019-03-25,75931.0,75301.0
2019-03-26,79027.0,73005.0
2019-03-27,76236.0,71856.0
2019-03-28,69863.0,72356.0
2019-03-29,66627.0,67002.0
2019-03-30,62405.0,60477.0
2019-03-31,61407.0,58319.0
2019-04-01,75221.0,73548.0
2019-04-02,74322.0,71577.0
2019-04-03,69702.0,73058.0
2019-04-04,65518.0,70020.0
2019-04-05,64983.0,65741.0
2019-04-06,58977.0,59003.0
2019-04-07,57327.0,56709.0
2019-04-08,67610.0,68809.0
2019-04-09,73936.0,72611.0
2019-04-10,78581.0,78382.0
2019-04-11,78203.0,77685.0
2019-04-12,76126.0,76254.0
2019-04-13,71502.0,66691.0
2019-04-14,68546.0,64136.0
2019-04-15,73617.0,72741.0
2019-04-16,71820.0,71455.0
2019-04-17,69133.0,67598.0
2019-04-18,63973.0,61993.0
2019-04-19,53235.0,54478.0
2019-04-20,52692.0,50415.0
2019-04-21,50773.0,49438.0
2019-04-22,51719.0,48834.0
2019-04-23,61279.0,58214.0
2019-04-24,59584.0,61173.0
2019-04-25,58026.0,60879.0
2019-04-26,57002.0,58481.0
2019-04-27,52482.0,51730.0
2019-04-28,51458.0,55018.0
2019-04-29,60091.0,60631.0
2019-04-30,60170.0,59640.0
2019-05-01,54806.0,52369.0
2019-05-02,64426.0,62073.0
2019-05-03,64274.0,61917.0
2019-05-04,57042.0,54884.0
2019-05-05,55762.0,52887.0
2019-05-06,60523.0,64568.0
2019-05-07,61511.0,67897.0
2019-05-08,64533.0,66199.0
2019-05-09,65628.0,68028.0
2019-05-10,61929.0,62275.0
2019-05-11,52984.0,52634.0
2019-05-12,53478.0,53303.0
2019-05-13,62908.0,61601.0
2019-05-14,63548.0,62851.0
2019-05-15,62766.0,61245.0
2019-05-16,61976.0,60594.0
2019-05-17,60000.0,63196.0
2019-05-18,52182.0,51997.0
2019-05-19,51583.0,47390.0
2019-05-20,60302.0,57096.0
2019-05-21,59596.0,57972.0
2019-05-22,58104.0,55593.0
2019-05-23,58241.0,56890.0
2019-05-24,56131.0,55249.0
2019-05-25,47758.0,50148.0
2019-05-26,48233.0,50894.0
2019-05-27,57465.0,57278.0
2019-05-28,59779.0,61177.0
2019-05-29,58772.0,60956.0
2019-05-30,53456.0,53615.0
2019-05-31,54795.0,56041.0
2019-06-01,50701.0,50130.0
2019-06-02,49827.0,48375.0
2019-06-03,59880.0,53394.0
2019-06-04,60431.0,56625.0
2019-06-05,58608.0,55881.0
2019-06-06,46353.0,49595.0
2019-06-07,55341.0,51425.0
2019-06-08,48150.0,45317.0
2019-06-09,46149.0,45970.0
2019-06-10,54206.0,55992.0
2019-06-11,55955.0,59930.0
2019-06-12,56944.0,61213.0
2019-06-13,58540.0,59177.0
2019-06-14,56798.0,54946.0
2019-06-15,48183.0,48923.0
2019-06-16,46991.0,50452.0
2019-06-17,57383.0,56713.0
2019-06-18,59222.0,58006.0
2019-06-19,59059.0,59836.0
2019-06-20,58197.0,57534.0
2019-06-21,47882.0,45362.0
2019-06-22,44136.0,43793.0
2019-06-23,46666.0,44512.0
2019-06-24,56467.0,54937.0
2019-06-25,55964.0,57215.0
2019-06-26,56202.0,56952.0
2019-06-27,56773.0,56559.0
2019-06-28,54231.0,55445.0
2019-06-29,46530.0,49303.0
2019-06-30,45905.0,47174.0
2019-07-01,56261.0,59360.0
2019-07-02,59851.0,58162.0
2019-07-03,61120.0,58318.0
2019-07-04,60628.0,59544.0
2019-07-05,58179.0,53718.0
2019-07-06,50886.0,46563.0
2019-07-07,49287.0,45211.0
2019-07-08,54779.0,53319.0
2019-07-09,54109.0,54162.0
2019-07-10,53183.0,52446.0
2019-07-11,52735.0,52936.0
2019-07-12,50825.0,51359.0
2019-07-13,45288.0,44906.0
2019-07-14,44482.0,44097.0
2019-07-15,51906.0,50634.0
2019-07-16,53537.0,49803.0
2019-07-17,52145.0,49752.0
2019-07-18,50590.0,50845.0
2019-07-19,48671.0,49874.0
2019-07-20,43549.0,44014.0
2019-07-21,43310.0,44266.0
2019-07-22,50540.0,48882.0
2019-07-23,50518.0,49571.0
2019-07-24,49053.0,48619.0
2019-07-25,48655.0,48488.0
2019-07-26,47318.0,47197.0
2019-07-27,42189.0,43940.0
2019-07-28,41990.0,45321.0
2019-07-29,48538.0,50295.0
2019-07-30,50389.0,49940.0
2019-07-31,51470.0,49837.0
2019-08-01,51741.0,49586.0
2019-08-02,49717.0,48133.0
2019-08-03,43718.0,42967.0
2019-08-04,42794.0,42415.0
2019-08-05,50012.0,51701.0
2019-08-06,50571.0,52457.0
2019-08-07,51003.0,53344.0
2019-08-08,51712.0,54006.0
2019-08-09,50692.0,52360.0
2019-08-10,45217.0,47970.0
2019-08-11,44396.0,46924.0
2019-08-12,53441.0,55854.0
2019-08-13,56008.0,56706.0
2019-08-14,56180.0,56473.0
2019-08-15,57626.0,57537.0
2019-08-16,55156.0,55132.0
2019-08-17,48235.0,49111.0
2019-08-18,47445.0,48205.0
2019-08-19,56395.0,56260.0
2019-08-20,58821.0,56557.0
2019-08-21,57237.0,54177.0
2019-08-22,56793.0,54016.0
2019-08-23,53742.0,53824.0
2019-08-24,45834.0,45826.0
2019-08-25,45810.0,45585.0
2019-08-26,54089.0,56236.0
2019-08-27,54695.0,56438.0
2019-08-28,55224.0,56607.0
2019-08-29,55422.0,56681.0
2019-08-30,54684.0,53790.0
2019-08-31,46524.0,47391.0
2019-09-01,46043.0,48597.0
2019-09-02,56637.0,54552.0
2019-09-03,61284.0,59103.0
2019-09-04,59255.0,58509.0
2019-09-05,58822.0,56574.0
2019-09-06,57389.0,56468.0
2019-09-07,49113.0,48957.0
2019-09-08,49591.0,47930.0
2019-09-09,57171.0,57875.0
2019-09-10,57407.0,59191.0
2019-09-11,57553.0,57908.0
2019-09-12,58489.0,59623.0
2019-09-13,56935.0,55848.0
2019-09-14,50803.0,50285.0
2019-09-15,50441.0,51080.0
2019-09-16,59987.0,61684.0
2019-09-17,63501.0,64685.0
2019-09-18,64901.0,61537.0
2019-09-19,64851.0,62376.0
2019-09-20,61681.0,62223.0
2019-09-21,51666.0,51468.0
