,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2020-01-01,475265.0,986503.0,462386.0,0.0,189662.0,43590.0,0.0,2758.0,123735.0,155429.0,125667.0,4737.0,0.0,772466.0,0.0,44342.0,18734.0,203560.0,79102.0,276516.0,594392.0
2020-01-02,477032.0,1013208.0,531120.0,0.0,237012.0,43288.0,0.0,2747.0,139178.0,143837.0,123023.0,8970.0,0.0,768429.0,0.0,43986.0,18698.0,158992.0,78758.0,576175.0,993223.0
2020-01-03,478790.0,735012.0,437843.0,0.0,285014.0,43124.0,0.0,2485.0,120294.0,187686.0,126778.0,8189.0,0.0,736143.0,0.0,41198.0,18048.0,73032.0,77147.0,568771.0,2542416.0
2020-01-04,474881.0,692563.0,419687.0,0.0,286135.0,43272.0,1.0,2301.0,135044.0,139458.0,129969.0,6324.0,0.0,723398.0,0.0,40396.0,17781.0,52598.0,73890.0,454294.0,2755815.0
2020-01-05,474853.0,1018787.0,547980.0,0.0,241416.0,43742.0,2.0,2380.0,67275.0,108966.0,124823.0,3807.0,0.0,765659.0,0.0,36960.0,18794.0,99658.0,79998.0,368768.0,901381.0
2020-01-06,475996.0,986414.0,786059.0,0.0,556391.0,41551.0,0.0,2451.0,116068.0,150355.0,119869.0,6497.0,0.0,760397.0,0.0,40653.0,18596.0,152588.0,76721.0,563747.0,1014904.0
2020-01-07,473673.0,1115936.0,855817.0,0.0,750424.0,35606.0,0.0,2418.0,141447.0,158316.0,123803.0,10450.0,0.0,756460.0,0.0,41178.0,18601.0,61188.0,80662.0,462566.0,1497368.0
2020-01-08,471662.0,1064689.0,830248.0,0.0,830221.0,39238.0,0.0,2444.0,131329.0,145839.0,132810.0,7562.0,0.0,751747.0,0.0,40096.0,18023.0,39003.0,79279.0,406930.0,1893803.0
2020-01-09,475180.0,1104600.0,731383.0,0.0,622418.0,45235.0,0.0,2365.0,78551.0,119758.0,132460.0,3971.0,0.0,761898.0,0.0,39664.0,17810.0,97197.0,79008.0,380849.0,1739898.0
2020-01-10,478020.0,1093484.0,691063.0,0.0,592765.0,44707.0,2.0,2393.0,110446.0,150997.0,131518.0,8015.0,16.0,743989.0,0.0,37642.0,16888.0,122566.0,78480.0,336258.0,2108975.0
2020-01-11,479487.0,1016331.0,656230.0,0.0,374111.0,44444.0,1.0,2675.0,103964.0,111674.0,129858.0,4615.0,0.0,746825.0,0.0,45255.0,18240.0,147951.0,78362.0,486254.0,1579770.0
2020-01-12,465439.0,634970.0,427702.0,0.0,332150.0,44144.0,0.0,2758.0,104972.0,130305.0,115149.0,7443.0,0.0,718646.0,0.0,44866.0,18623.0,137322.0,75279.0,499187.0,2633216.0
2020-01-13,467277.0,1067835.0,791500.0,0.0,652288.0,43961.0,0.0,2729.0,128886.0,136543.0,117669.0,13106.0,0.0,767612.0,0.0,47087.0,18484.0,106370.0,75537.0,427808.0,1406881.0
2020-01-14,461472.0,778089.0,501599.0,0.0,395738.0,43107.0,0.0,2626.0,148888.0,165321.0,128291.0,7699.0,0.0,738087.0,0.0,40361.0,17512.0,153111.0,69824.0,528224.0,3127495.0
2020-01-15,458232.0,800053.0,452740.0,0.0,414828.0,43147.0,0.0,2643.0,124733.0,156017.0,128202.0,12700.0,0.0,749829.0,0.0,39181.0,16745.0,256780.0,75201.0,454401.0,2930520.0
2020-01-16,464339.0,1117745.0,796394.0,0.0,558859.0,43613.0,0.0,2578.0,136607.0,167267.0,126768.0,11664.0,0.0,750145.0,0.0,43044.0,17151.0,263396.0,76800.0,484061.0,1348334.0
