,Wind Onshore
2020-01-01,50098.0
2020-01-02,53912.0
2020-01-03,54914.0
2020-01-04,49776.0
2020-01-05,33487.0
2020-01-06,31357.0
2020-01-07,38915.0
2020-01-08,55251.0
2020-01-09,25326.0
2020-01-10,12521.0
2020-01-11,44659.0
2020-01-12,42263.0
2020-01-13,32777.0
2020-01-14,47449.0
2020-01-15,48973.0
2020-01-16,49120.0
2020-01-17,33273.0
2020-01-18,26294.0
2020-01-19,23802.0
2020-01-20,44390.0
2020-01-21,43350.0
2020-01-22,36226.0
2020-01-23,39588.0
2020-01-24,44097.0
2020-01-25,28362.0
2020-01-26,36124.0
2020-01-27,21941.0
2020-01-28,16212.0
2020-01-29,9167.0
2020-01-30,5313.0
2020-01-31,14252.0
2020-02-01,39553.0
2020-02-02,36459.0
2020-02-03,12344.0
2020-02-04,15423.0
2020-02-05,39419.0
2020-02-06,13306.0
2020-02-07,19508.0
2020-02-08,29390.0
2020-02-09,50662.0
2020-02-10,55391.0
2020-02-11,39612.0
2020-02-12,38693.0
2020-02-13,23118.0
2020-02-14,11448.0
2020-02-15,37896.0
2020-02-16,56920.0
2020-02-17,56602.0
2020-02-18,53645.0
2020-02-19,19036.0
2020-02-20,34528.0
2020-02-21,52455.0
2020-02-22,56908.0
2020-02-23,46465.0
2020-02-24,17051.0
2020-02-25,35497.0
2020-02-26,38842.0
2020-02-27,9410.0
2020-02-28,7469.0
2020-02-29,19535.0
2020-03-01,37463.0
2020-03-02,18759.0
2020-03-03,18493.0
2020-03-04,16918.0
2020-03-05,9101.0
2020-03-06,6690.0
2020-03-07,6322.0
2020-03-08,43899.0
2020-03-09,21246.0
2020-03-10,18029.0
2020-03-11,40634.0
2020-03-12,37590.0
2020-03-13,34631.0
2020-03-14,20968.0
2020-03-15,53425.0
2020-03-16,19479.0
2020-03-17,45348.0
2020-03-18,42917.0
2020-03-19,34678.0
2020-03-20,17442.0
2020-03-21,14729.0
2020-03-22,14767.0
2020-03-23,34897.0
2020-03-24,46707.0
2020-03-25,48008.0
2020-03-26,20639.0
2020-03-27,9943.0
2020-03-28,23911.0
2020-03-29,28120.0
2020-03-30,19851.0
2020-03-31,30691.0
2020-04-01,28877.0
2020-04-02,49933.0
2020-04-03,42811.0
2020-04-04,23437.0
2020-04-05,13913.0
2020-04-06,26007.0
2020-04-07,29223.0
2020-04-08,37471.0
2020-04-09,25320.0
2020-04-10,9847.0
2020-04-11,14219.0
2020-04-12,47763.0
2020-04-13,50186.0
2020-04-14,38153.0
2020-04-15,41630.0
2020-04-16,38999.0
2020-04-17,27560.0
2020-04-18,15321.0
2020-04-19,9422.0
2020-04-20,6776.0
2020-04-21,5286.0
2020-04-22,6437.0
2020-04-23,10967.0
2020-04-24,15864.0
2020-04-25,15453.0
2020-04-26,7410.0
2020-04-27,10155.0
2020-04-28,14826.0
2020-04-29,7431.0
2020-04-30,24938.0
2020-05-01,12481.0
2020-05-02,3769.0
2020-05-03,7080.0
2020-05-04,12230.0
2020-05-05,12143.0
2020-05-06,15583.0
2020-05-07,10345.0
2020-05-08,21483.0
2020-05-09,10429.0
2020-05-10,22800.0
2020-05-11,23037.0
2020-05-12,18516.0
2020-05-13,20830.0
2020-05-14,13714.0
2020-05-15,18215.0
2020-05-16,34907.0
2020-05-17,31657.0
2020-05-18,11602.0
2020-05-19,7180.0
2020-05-20,5350.0
2020-05-21,3321.0
2020-05-22,15243.0
2020-05-23,25764.0
2020-05-24,14338.0
2020-05-25,2845.0
2020-05-26,9684.0
2020-05-27,14353.0
2020-05-28,8323.0
2020-05-29,4096.0
2020-05-30,14653.0
2020-05-31,15166.0
2020-06-01,3316.0
2020-06-02,7363.0
2020-06-03,9002.0
2020-06-04,18915.0
2020-06-05,25438.0
2020-06-06,22408.0
2020-06-07,31888.0
2020-06-08,4811.0
2020-06-09,3696.0
2020-06-10,8329.0
2020-06-11,27961.0
2020-06-12,34338.0
2020-06-13,26545.0
2020-06-14,12499.0
2020-06-15,4505.0
2020-06-16,13966.0
2020-06-17,5359.0
2020-06-18,3303.0
2020-06-19,11402.0
2020-06-20,16930.0
2020-06-21,15122.0
2020-06-22,6576.0
2020-06-23,4032.0
2020-06-24,4393.0
2020-06-25,4211.0
2020-06-26,5528.0
2020-06-27,6251.0
2020-06-28,9228.0
2020-06-29,12370.0
2020-06-30,21600.0
2020-07-01,22462.0
2020-07-02,21866.0
2020-07-03,24752.0
2020-07-04,13778.0
2020-07-05,29007.0
2020-07-06,46756.0
2020-07-07,27312.0
2020-07-08,14347.0
2020-07-09,7197.0
2020-07-10,2398.0
2020-07-11,10470.0
2020-07-12,16720.0
2020-07-13,9923.0
2020-07-14,8086.0
2020-07-15,5279.0
2020-07-16,2747.0
2020-07-17,13166.0
2020-07-18,18537.0
2020-07-19,14792.0
2020-07-20,10574.0
2020-07-21,16255.0
2020-07-22,16404.0
2020-07-23,18560.0
2020-07-24,13153.0
2020-07-25,11108.0
2020-07-26,21245.0
2020-07-27,13775.0
2020-07-28,20779.0
2020-07-29,27181.0
2020-07-30,31803.0
2020-07-31,13028.0
2020-08-01,3591.0
2020-08-02,14407.0
2020-08-03,23345.0
2020-08-04,9650.0
2020-08-05,22900.0
2020-08-06,14585.0
2020-08-07,10383.0
2020-08-08,9231.0
2020-08-09,6705.0
