,Fossil Gas,Hydro Water Reservoir,Marine,Nuclear,Other,Solar,Wind Onshore
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,5424.0
2021-01-02,0.0,0.0,0.0,0.0,0.0,0.0,5125.0
2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,12184.0
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,21996.0
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,18904.0
2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,25886.0
2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,19810.0
2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,13891.0
2021-01-09,0.0,0.0,0.0,0.0,0.0,0.0,7808.0
2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,26747.0
2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,30001.0
2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,18401.0
2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,35712.0
2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,24119.0
2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,16538.0
2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,12491.0
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,8261.0
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,16798.0
2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,13854.0
2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,27591.0
2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,43436.0
2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0,44916.0
2021-01-23,0.0,0.0,0.0,0.0,0.0,0.0,35873.0
2021-01-24,0.0,0.0,0.0,0.0,0.0,0.0,5632.0
2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0,11157.0
2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0,11541.0
2021-01-27,0.0,0.0,0.0,0.0,0.0,0.0,7513.0
2021-01-28,0.0,0.0,0.0,0.0,0.0,0.0,10457.0
2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,8240.0
2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,14156.0
2021-01-31,0.0,0.0,0.0,0.0,0.0,0.0,9670.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,4837.0
2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,12074.0
2021-02-03,0.0,0.0,0.0,0.0,0.0,0.0,26665.0
2021-02-04,0.0,0.0,0.0,0.0,0.0,0.0,22947.0
2021-02-05,0.0,0.0,0.0,0.0,0.0,0.0,17777.0
2021-02-06,0.0,0.0,0.0,0.0,0.0,0.0,18224.0
2021-02-07,0.0,0.0,0.0,0.0,0.0,0.0,19800.0
2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,27188.0
2021-02-09,0.0,0.0,0.0,0.0,0.0,0.0,26963.0
2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,23512.0
2021-02-11,0.0,0.0,0.0,0.0,0.0,0.0,22280.0
2021-02-12,0.0,0.0,0.0,0.0,0.0,0.0,24786.0
2021-02-13,0.0,0.0,0.0,0.0,0.0,0.0,28949.0
2021-02-14,0.0,0.0,0.0,0.0,0.0,0.0,18776.0
2021-02-15,0.0,0.0,0.0,0.0,0.0,0.0,15675.0
2021-02-16,0.0,0.0,0.0,0.0,0.0,0.0,11693.0
2021-02-17,0.0,0.0,0.0,0.0,0.0,0.0,27112.0
2021-02-18,0.0,0.0,0.0,0.0,0.0,0.0,25910.0
2021-02-19,0.0,0.0,0.0,0.0,0.0,0.0,16574.0
2021-02-20,0.0,0.0,0.0,0.0,0.0,0.0,33278.0
2021-02-21,0.0,0.0,0.0,0.0,0.0,0.0,24558.0
2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,12352.0
2021-02-23,0.0,0.0,0.0,0.0,0.0,0.0,23018.0
2021-02-24,0.0,0.0,0.0,0.0,0.0,0.0,48159.0
2021-02-25,0.0,0.0,0.0,0.0,0.0,0.0,49853.0
2021-02-26,0.0,0.0,0.0,0.0,0.0,0.0,46623.0
2021-02-27,0.0,0.0,0.0,0.0,0.0,0.0,21692.0
2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0,21305.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,29727.0
2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0,15744.0
2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,17098.0
2021-03-04,0.0,0.0,0.0,0.0,0.0,0.0,26988.0
2021-03-05,0.0,0.0,0.0,0.0,0.0,0.0,20118.0
