,Forecasted Load,Actual Load
2021-01-01,388958.0,404149.0
2021-01-02,427358.0,416198.0
2021-01-03,438971.0,427328.0
2021-01-04,474794.0,482372.0
2021-01-05,468394.0,489398.0
2021-01-06,460654.0,483970.0
2021-01-07,488324.0,498373.0
2021-01-08,485542.0,477009.0
2021-01-09,456174.0,448684.0
2021-01-10,449765.0,453492.0
2021-01-11,496095.0,492154.0
2021-01-12,495455.0,502139.0
2021-01-13,510432.0,516555.0
2021-01-14,519323.0,531226.0
2021-01-15,542731.0,543119.0
2021-01-16,497193.0,509754.0
2021-01-17,475287.0,475512.0
2021-01-18,515648.0,522599.0
2021-01-19,508703.0,509118.0
2021-01-20,499528.0,505480.0
2021-01-21,487168.0,476536.0
2021-01-22,488279.0,461777.0
2021-01-23,450384.0,435336.0
2021-01-24,453081.0,452997.0
2021-01-25,494734.0,504852.0
2021-01-26,504449.0,514264.0
2021-01-27,503709.0,521456.0
2021-01-28,530986.0,525986.0
2021-01-29,524565.0,536826.0
2021-01-30,510442.0,513024.0
2021-01-31,507546.0,502213.0
2021-02-01,548733.0,540482.0
2021-02-02,532626.0,534680.0
2021-02-03,532898.0,545152.0
2021-02-04,548857.0,563460.0
2021-02-05,554170.0,550650.0
2021-02-06,524557.0,512369.0
2021-02-07,517477.0,516702.0
2021-02-08,553422.0,554033.0
2021-02-09,549780.0,558564.0
2021-02-10,562060.0,564103.0
2021-02-11,569678.0,526823.0
2021-02-12,556524.0,544332.0
2021-02-13,513488.0,514000.0
2021-02-14,509324.0,497482.0
2021-02-15,548595.0,525917.0
2021-02-16,531528.0,524601.0
2021-02-17,523025.0,519541.0
2021-02-18,521809.0,525450.0
2021-02-19,493531.0,489528.0
2021-02-20,447004.0,423756.0
2021-02-21,430062.0,416177.0
2021-02-22,468144.0,463429.0
2021-02-23,461491.0,453007.0
2021-02-24,448001.0,424503.0
2021-02-25,432430.0,409088.0
2021-02-26,426104.0,414684.0
2021-02-27,401114.0,396969.0
2021-02-28,390854.0,387911.0
2021-03-01,433332.0,425879.0
2021-03-02,429352.0,430443.0
2021-03-03,439271.0,445599.0
2021-03-04,455218.0,451467.0
2021-03-05,465420.0,455913.0
2021-03-06,426847.0,418011.0
2021-03-07,429328.0,421066.0
2021-03-08,475945.0,471863.0
2021-03-09,475592.0,477356.0
2021-03-10,485188.0,483157.0
2021-03-11,486516.0,489918.0
2021-03-12,456566.0,447764.0
2021-03-13,418963.0,417233.0
2021-03-14,408931.0,406888.0
2021-03-15,452614.0,441143.0
2021-03-16,442394.0,445630.0
2021-03-17,442478.0,449011.0
2021-03-18,449655.0,454588.0
2021-03-19,459985.0,448230.0
2021-03-20,426436.0,400280.0
2021-03-21,410292.0,386293.0
2021-03-22,433441.0,421607.0
2021-03-23,409840.0,403091.0
2021-03-24,407370.0,396675.0
2021-03-25,398496.0,398435.0
2021-03-26,391382.0,390738.0
2021-03-27,363032.0,363054.0
2021-03-28,361925.0,360865.0
2021-03-29,405313.0,392842.0
2021-03-30,383241.0,375062.0
2021-03-31,382287.0,380250.0
2021-04-01,386210.0,384762.0
2021-04-02,360608.0,368479.0
2021-04-03,359732.0,349409.0
2021-04-04,357593.0,349367.0
2021-04-05,377787.0,385974.0
2021-04-06,421149.0,412697.0
2021-04-07,421685.0,411687.0
2021-04-08,412040.0,412933.0
2021-04-09,406961.0,415499.0
2021-04-10,379482.0,380774.0
2021-04-11,386298.0,390283.0
2021-04-12,418606.0,421337.0
2021-04-13,420570.0,422025.0
2021-04-14,414371.0,417727.0
2021-04-15,409217.0,401861.0
2021-04-16,400820.0,383934.0
2021-04-17,366842.0,342645.0
2021-04-18,348910.0,328961.0
2021-04-19,367525.0,361897.0
2021-04-20,362695.0,358988.0
2021-04-21,369760.0,362115.0
2021-04-22,396558.0,400056.0
2021-04-23,390980.0,384528.0
2021-04-24,365969.0,361781.0
2021-04-25,365914.0,368092.0
2021-04-26,396689.0,403158.0
2021-04-27,387047.0,392610.0
2021-04-28,385039.0,392355.0
2021-04-29,386512.0,390252.0
2021-04-30,380384.0,381335.0
2021-05-01,358199.0,350866.0
2021-05-02,350758.0,346632.0
2021-05-03,378996.0,376790.0
2021-05-04,384019.0,379270.0
2021-05-05,385382.0,396926.0
2021-05-06,391589.0,409400.0
2021-05-07,377120.0,388598.0
2021-05-08,338934.0,342641.0
2021-05-09,347359.0,337656.0
2021-05-10,355160.0,355908.0
2021-05-11,341605.0,340701.0
2021-05-12,339550.0,329515.0
2021-05-13,304368.0,306238.0
2021-05-14,315689.0,311926.0
2021-05-15,314247.0,319918.0
2021-05-16,316978.0,323951.0
2021-05-17,352714.0,351141.0
2021-05-18,349494.0,343015.0
2021-05-19,346890.0,331452.0
2021-05-20,347878.0,336763.0
2021-05-21,336146.0,330099.0
2021-05-22,305276.0,295861.0
2021-05-23,309288.0,307285.0
2021-05-24,345162.0,345883.0
2021-05-25,339014.0,349230.0
2021-05-26,343386.0,350584.0
2021-05-27,354858.0,367853.0
2021-05-28,337556.0,334043.0
2021-05-29,300645.0,296917.0
2021-05-30,293748.0,286114.0
2021-05-31,330432.0,322362.0
2021-06-01,325353.0,323582.0
2021-06-02,320818.0,321739.0
2021-06-03,319001.0,320571.0
2021-06-04,308517.0,307871.0
2021-06-05,275521.0,274285.0
2021-06-06,270929.0,271238.0
2021-06-07,311839.0,314165.0
2021-06-08,316352.0,319805.0
2021-06-09,318579.0,321206.0
2021-06-10,318908.0,321855.0
2021-06-11,308396.0,310795.0
2021-06-12,279063.0,283264.0
2021-06-13,276635.0,284188.0
2021-06-14,322509.0,325773.0
2021-06-15,326053.0,322442.0
2021-06-16,328150.0,325750.0
2021-06-17,325693.0,322613.0
2021-06-18,309246.0,309091.0
2021-06-19,278708.0,280486.0
2021-06-20,271005.0,289488.0
2021-06-21,315375.0,327294.0
2021-06-22,328688.0,319079.0
2021-06-23,332379.0,324879.0
2021-06-24,327368.0,311982.0
2021-06-25,313796.0,264970.0
2021-06-26,278098.0,252911.0
2021-06-27,264883.0,263066.0
2021-06-28,293497.0,308317.0
2021-06-29,286688.0,312874.0
2021-06-30,310402.0,315549.0
2021-07-01,312879.0,320600.0
2021-07-02,295482.0,308904.0
2021-07-03,266350.0,278690.0
2021-07-04,271137.0,278752.0
2021-07-05,316190.0,313264.0
2021-07-06,320313.0,311508.0
2021-07-07,315004.0,315662.0
2021-07-08,319073.0,308205.0
2021-07-09,306017.0,304920.0
2021-07-10,276989.0,276844.0
2021-07-11,274642.0,272743.0
2021-07-12,305871.0,300019.0
2021-07-13,302690.0,302635.0
2021-07-14,292524.0,305465.0
2021-07-15,291886.0,297466.0
2021-07-16,290417.0,286288.0
2021-07-17,267004.0,259980.0
2021-07-18,269150.0,255682.0
2021-07-19,295580.0,273325.0
2021-07-20,294548.0,270741.0
2021-07-21,284888.0,274045.0
2021-07-22,278538.0,274440.0
