,Forecasted Load,Actual Load
2022-01-01,4223506.0,4291250.0
2022-01-02,4864223.0,4711252.0
2022-01-03,5750684.0,5759369.0
2022-01-04,5979419.0,5906044.0
2022-01-05,6179019.0,6235884.0
2022-01-06,5810659.0,5868390.0
2022-01-07,6069925.0,6157717.0
2022-01-08,5333747.0,5541143.0
2022-01-09,5118338.0,5246612.0
2022-01-10,6075201.0,6135468.0
2022-01-11,6157061.0,6316113.0
2022-01-12,6121640.0,6352286.0
2022-01-13,6142205.0,6546450.0
2022-01-14,6096855.0,6412149.0
2022-01-15,5480438.0,5414314.0
2022-01-16,5263926.0,5376946.0
2022-01-17,6030943.0,6489583.0
2022-01-18,6202525.0,6306268.0
2022-01-19,6349751.0,6590508.0
2022-01-20,6120363.0,6686553.0
2022-01-21,6324987.0,6578627.0
2022-01-22,5306913.0,5520944.0
2022-01-23,5047900.0,5076609.0
2022-01-24,6248679.0,6180357.0
2022-01-25,6225692.0,6376675.0
2022-01-26,6063877.0,6558738.0
2022-01-27,6127885.0,6635219.0
2022-01-28,6193856.0,6459368.0
2022-01-29,5425510.0,5670212.0
2022-01-30,4847093.0,5167338.0
2022-01-31,5905276.0,6472610.0
2022-02-01,6086337.0,6663080.0
2022-02-02,6155153.0,6452134.0
2022-02-03,6158430.0,6369636.0
2022-02-04,5863515.0,6310157.0
2022-02-05,5363748.0,5593057.0
2022-02-06,5233570.0,5394689.0
2022-02-07,6034266.0,6358082.0
2022-02-08,6216785.0,6502471.0
2022-02-09,6257125.0,6353765.0
2022-02-10,6235235.0,6272520.0
2022-02-11,6048420.0,6329902.0
2022-02-12,5535054.0,5508882.0
2022-02-13,5260382.0,5206273.0
2022-02-14,6158989.0,6274360.0
2022-02-15,6270107.0,6389751.0
2022-02-16,6280704.0,6431479.0
2022-02-17,6324528.0,6355259.0
2022-02-18,6336971.0,6148033.0
2022-02-19,5353384.0,5457970.0
2022-02-20,5236879.0,5155673.0
2022-02-21,6265751.0,6300879.0
2022-02-22,6290813.0,6370965.0
2022-02-23,6330483.0,6218616.0
2022-02-24,6318852.0,6388943.0
2022-02-25,6141175.0,6326053.0
2022-02-26,5517385.0,5210570.0
2022-02-27,5236602.0,4975990.0
2022-02-28,6250300.0,5957220.0
2022-03-01,6247513.0,6156241.0
2022-03-02,6061432.0,6081204.0
2022-03-03,5932438.0,6071083.0
2022-03-04,5855765.0,6046133.0
2022-03-05,5137169.0,5284550.0
2022-03-06,4884777.0,4958054.0
2022-03-07,5881644.0,5982540.0
2022-03-08,5890122.0,6056357.0
2022-03-09,5899305.0,5975794.0
2022-03-10,5909275.0,6012839.0
2022-03-11,5833527.0,6075543.0
2022-03-12,5108805.0,5201045.0
2022-03-13,4741747.0,4834685.0
2022-03-14,5675155.0,5879871.0
2022-03-15,5802354.0,5945585.0
2022-03-16,5813318.0,5957007.0
2022-03-17,5774280.0,6071748.0
2022-03-18,5863606.0,5836138.0
2022-03-19,5256047.0,5186485.0
2022-03-20,4898703.0,4903127.0
2022-03-21,5684932.0,5766923.0
2022-03-22,5764501.0,5770931.0
2022-03-23,5682299.0,5730268.0
2022-03-24,5695595.0,5698688.0
2022-03-25,5609234.0,5630578.0
2022-03-26,5059902.0,4926669.0
2022-03-27,4607741.0,4349375.0
2022-03-28,5564856.0,5656687.0
2022-03-29,5594814.0,5776016.0
2022-03-30,5683072.0,5800946.0
2022-03-31,5637270.0,6041900.0
2022-04-01,5663628.0,6291314.0
2022-04-02,4975168.0,5365441.0
2022-04-03,4639985.0,4862331.0
2022-04-04,5884713.0,6132217.0
2022-04-05,5946041.0,6143139.0
2022-04-06,6316090.0,6081675.0
2022-04-07,6043881.0,6175551.0
2022-04-08,5856133.0,5969043.0
2022-04-09,5075934.0,5243971.0
2022-04-10,4684103.0,4852573.0
2022-04-11,5791104.0,5626298.0
2022-04-12,5825684.0,5679252.0
2022-04-13,5655392.0,5555321.0
2022-04-14,5643588.0,5422119.0
2022-04-15,4802049.0,4496027.0
2022-04-16,4789378.0,4509032.0
2022-04-17,4218529.0,4148600.0
2022-04-18,4649998.0,4172976.0
2022-04-19,5444705.0,5308938.0
2022-04-20,5526094.0,5530349.0
2022-04-21,5514353.0,5615405.0
2022-04-22,5497577.0,5581169.0
2022-04-23,4655830.0,4839090.0
2022-04-24,4294308.0,4632491.0
2022-04-25,5415769.0,5511857.0
2022-04-26,5431053.0,5638803.0
2022-04-27,5456502.0,5544033.0
2022-04-28,5409586.0,5510456.0
2022-04-29,5359326.0,5409165.0
2022-04-30,4690667.0,4667819.0
2022-05-01,4291088.0,4208744.0
2022-05-02,5351230.0,5322870.0
2022-05-03,5444047.0,5518882.0
2022-05-04,5357164.0,5483163.0
2022-05-05,5381628.0,5530073.0
2022-05-06,5305676.0,5426783.0
2022-05-07,4657596.0,4686698.0
2022-05-08,4311732.0,4281540.0
2022-05-09,5218471.0,5399776.0
2022-05-10,5398446.0,5698190.0
2022-05-11,5418159.0,5644678.0
2022-05-12,5483148.0,5609661.0
2022-05-13,5458120.0,5559552.0
2022-05-14,4591908.0,4680915.0
2022-05-15,4247964.0,4264929.0
2022-05-16,5285326.0,5491771.0
2022-05-17,5367795.0,5600671.0
2022-05-18,5453519.0,5642180.0
2022-05-19,5476157.0,5629148.0
2022-05-20,5435396.0,5536046.0
2022-05-21,4549235.0,4804792.0
2022-05-22,4225851.0,4189024.0
2022-05-23,5327377.0,5430826.0
2022-05-24,5480013.0,5544930.0
2022-05-25,5425877.0,5330319.0
2022-05-26,4517184.0,4523545.0
2022-05-27,5231054.0,4969727.0
2022-05-28,4650565.0,4617664.0
2022-05-29,4318169.0,4238743.0
2022-05-30,5295279.0,5288586.0
