,Hydro Water Reservoir,Other,Solar,Wind Onshore
2022-01-01 00:00:00+01:00,2665.0,37.0,0.0,1181.0
2022-01-01 01:00:00+01:00,2412.0,37.0,0.0,1223.0
2022-01-01 02:00:00+01:00,2386.0,37.0,0.0,1245.0
2022-01-01 03:00:00+01:00,2403.0,39.0,0.0,1263.0
2022-01-01 04:00:00+01:00,2310.0,39.0,0.0,1270.0
2022-01-01 05:00:00+01:00,2605.0,39.0,0.0,1284.0
2022-01-01 06:00:00+01:00,2648.0,39.0,0.0,1271.0
2022-01-01 07:00:00+01:00,2723.0,39.0,0.0,1253.0
2022-01-01 08:00:00+01:00,2898.0,39.0,0.0,1289.0
2022-01-01 09:00:00+01:00,2950.0,39.0,0.0,1268.0
2022-01-01 10:00:00+01:00,2940.0,39.0,0.0,1224.0
2022-01-01 11:00:00+01:00,2915.0,38.0,0.0,1126.0
2022-01-01 12:00:00+01:00,2916.0,38.0,0.0,1029.0
2022-01-01 13:00:00+01:00,2926.0,38.0,0.0,1007.0
2022-01-01 14:00:00+01:00,2950.0,38.0,0.0,961.0
2022-01-01 15:00:00+01:00,2973.0,38.0,0.0,915.0
2022-01-01 16:00:00+01:00,2961.0,38.0,0.0,823.0
2022-01-01 17:00:00+01:00,2956.0,38.0,0.0,675.0
2022-01-01 18:00:00+01:00,2938.0,38.0,0.0,550.0
2022-01-01 19:00:00+01:00,2944.0,38.0,0.0,407.0
2022-01-01 20:00:00+01:00,2843.0,38.0,0.0,278.0
2022-01-01 21:00:00+01:00,2823.0,38.0,0.0,166.0
2022-01-01 22:00:00+01:00,2714.0,38.0,0.0,99.0
2022-01-01 23:00:00+01:00,2650.0,38.0,0.0,83.0
2022-01-02 00:00:00+01:00,2434.0,36.0,0.0,105.0
2022-01-02 01:00:00+01:00,2291.0,36.0,0.0,196.0
2022-01-02 02:00:00+01:00,2186.0,36.0,0.0,303.0
2022-01-02 03:00:00+01:00,1412.0,38.0,0.0,421.0
2022-01-02 04:00:00+01:00,1361.0,38.0,0.0,538.0
2022-01-02 05:00:00+01:00,1373.0,38.0,0.0,636.0
2022-01-02 06:00:00+01:00,1448.0,38.0,0.0,708.0
2022-01-02 07:00:00+01:00,2094.0,38.0,0.0,801.0
2022-01-02 08:00:00+01:00,2305.0,38.0,0.0,905.0
2022-01-02 09:00:00+01:00,2674.0,38.0,0.0,1034.0
2022-01-02 10:00:00+01:00,2959.0,38.0,0.0,1131.0
2022-01-02 11:00:00+01:00,2995.0,38.0,0.0,1144.0
2022-01-02 12:00:00+01:00,3048.0,36.0,0.0,1150.0
2022-01-02 13:00:00+01:00,3126.0,38.0,0.0,1074.0
