,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Solar,Waste,Wind Offshore,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
2023-01-01,458745.0,391008.0,219941.0,199586.0,768.0,2304.0,80743.0,192853.0,113515.0,5632.0,236146.0,17998.0,9896.0,176789.0,0.0,69812.0,435797.0,2211235.0,0.0
2023-01-02,462877.0,1025937.0,286386.0,307322.0,768.0,2304.0,118530.0,156393.0,113661.0,6088.0,236143.0,21018.0,10481.0,137049.0,0.0,72617.0,341770.0,2317001.0,0.0
2023-01-03,467735.0,1265288.0,397273.0,637860.0,768.0,2304.0,195537.0,130184.0,120901.0,5692.0,236232.0,26333.0,12047.0,179734.0,0.0,69786.0,407754.0,1300813.0,0.0
2023-01-04,471958.0,487699.0,287164.0,501376.0,768.0,2304.0,112653.0,264488.0,119320.0,6048.0,233722.0,18613.0,9886.0,54612.0,0.0,51093.0,498700.0,3859924.0,0.0
2023-01-05,477839.0,843747.0,415093.0,636271.0,768.0,2304.0,210635.0,189695.0,119372.0,6435.0,232337.0,24033.0,11656.0,91240.0,0.0,49439.0,247365.0,2551085.0,0.0
2023-01-06,481292.0,977315.0,556075.0,448805.0,768.0,2304.0,107709.0,188173.0,114097.0,4567.0,232106.0,23610.0,12121.0,120112.0,0.0,75652.0,537094.0,2044649.0,0.0
2023-01-07,481822.0,685588.0,371825.0,221658.0,768.0,2304.0,110225.0,153975.0,110310.0,3964.0,231249.0,19267.0,10201.0,187214.0,0.0,72181.0,561155.0,1747345.0,0.0
2023-01-08,479774.0,638515.0,265778.0,218835.0,768.0,2304.0,150108.0,245024.0,110992.0,6550.0,231689.0,19720.0,10781.0,93465.0,0.0,75770.0,595950.0,1875160.0,0.0
2023-01-09,476172.0,1197626.0,417943.0,582833.0,768.0,2304.0,200891.0,205810.0,118948.0,9545.0,230370.0,21296.0,11435.0,104944.0,0.0,75449.0,384119.0,1769380.0,0.0
2023-01-10,478369.0,1351931.0,426615.0,661430.0,768.0,2304.0,149620.0,196679.0,129967.0,7897.0,229634.0,22244.0,11744.0,118047.0,0.0,72589.0,377667.0,2029415.0,0.0
2023-01-11,472712.0,1019233.0,400190.0,580256.0,880.0,2304.0,185743.0,221218.0,130721.0,7463.0,227784.0,20750.0,11302.0,76814.0,0.0,71914.0,466874.0,2753748.0,0.0
2023-01-12,474004.0,620395.0,341948.0,473624.0,768.0,2304.0,181779.0,213566.0,131544.0,7198.0,225753.0,19148.0,10463.0,77733.0,0.0,72347.0,461896.0,3837754.0,0.0
2023-01-13,476630.0,463060.0,417541.0,443061.0,768.0,2304.0,190150.0,213022.0,133896.0,9228.0,222399.0,20261.0,10287.0,145518.0,0.0,66101.0,411212.0,3766415.0,0.0
2023-01-14,475927.0,397468.0,311370.0,307151.0,1414.0,2304.0,94206.0,163985.0,125257.0,3799.0,224976.0,18223.0,9904.0,122574.0,0.0,65334.0,564629.0,3399261.0,0.0
