,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2023-01-01,6685.0,3035.0,7655.0,639.0,629.0,3041.0,35437.0,50275.0
2023-01-02,12128.0,8110.0,13289.0,1006.0,330.0,3161.0,31041.0,26872.0
2023-01-03,18318.0,10664.0,15701.0,1083.0,1647.0,3080.0,31143.0,32168.0
2023-01-04,11950.0,5285.0,9433.0,975.0,219.0,2870.0,47401.0,75544.0
2023-01-05,17489.0,9518.0,11211.0,1030.0,1130.0,3056.0,29529.0,34153.0
2023-01-06,16458.0,7450.0,9972.0,996.0,845.0,3034.0,40419.0,57115.0
2023-01-07,15632.0,5715.0,12246.0,1028.0,305.0,3187.0,36943.0,41727.0
2023-01-08,13014.0,5019.0,7594.0,870.0,540.0,3136.0,42223.0,44732.0
2023-01-09,18773.0,9433.0,14004.0,1118.0,881.0,3297.0,23674.0,24199.0
2023-01-10,17437.0,8645.0,12765.0,1056.0,1229.0,3179.0,29250.0,37578.0
2023-01-11,12897.0,5567.0,9065.0,925.0,1050.0,3046.0,42507.0,68458.0
2023-01-12,15549.0,5428.0,8152.0,976.0,517.0,3072.0,35306.0,37331.0
2023-01-13,12560.0,4860.0,9550.0,1006.0,558.0,2708.0,48504.0,70850.0
2023-01-14,11845.0,3964.0,11567.0,972.0,716.0,2601.0,46948.0,63961.0
2023-01-15,9788.0,3152.0,6187.0,585.0,985.0,2686.0,46588.0,87634.0
2023-01-16,16650.0,9757.0,14223.0,1073.0,1236.0,3097.0,36987.0,36470.0
2023-01-17,17116.0,8917.0,13767.0,1021.0,656.0,2691.0,38101.0,33445.0
2023-01-18,15781.0,9592.0,18120.0,1189.0,1680.0,2769.0,31816.0,33216.0
2023-01-19,12993.0,12030.0,20345.0,1296.0,655.0,2889.0,29733.0,20098.0
2023-01-20,14377.0,13550.0,22508.0,1308.0,1432.0,3588.0,7713.0,6082.0
2023-01-21,14432.0,13440.0,22351.0,1496.0,2071.0,3742.0,13821.0,10875.0
2023-01-22,20234.0,13880.0,25705.0,1924.0,805.0,3717.0,20448.0,9299.0
2023-01-23,21073.0,15662.0,24336.0,1745.0,1329.0,3704.0,2121.0,4304.0
2023-01-24,22081.0,14369.0,22394.0,1541.0,1544.0,3584.0,10740.0,24471.0
2023-01-25,20763.0,10262.0,20535.0,1343.0,378.0,2946.0,25788.0,42203.0
2023-01-26,14664.0,10589.0,18243.0,1306.0,2482.0,2858.0,22020.0,26248.0
2023-01-27,14054.0,12688.0,22456.0,1277.0,3317.0,3302.0,9347.0,9858.0
2023-01-28,16517.0,9879.0,22019.0,1158.0,1336.0,2790.0,21967.0,31501.0
2023-01-29,12801.0,4606.0,12142.0,638.0,1135.0,2492.0,36533.0,58209.0
2023-01-30,15146.0,5363.0,12969.0,802.0,2717.0,2403.0,49108.0,86912.0
2023-01-31,16921.0,7286.0,11432.0,990.0,795.0,2430.0,46391.0,68961.0
2023-02-01,18566.0,7665.0,11964.0,1158.0,1726.0,2354.0,47799.0,77992.0
2023-02-02,20061.0,11224.0,15971.0,1032.0,3657.0,2989.0,25062.0,19893.0
2023-02-03,18999.0,7225.0,13968.0,870.0,1279.0,2458.0,45920.0,65429.0
2023-02-04,20153.0,12271.0,17350.0,1322.0,3732.0,3107.0,10979.0,11699.0
2023-02-05,19951.0,8665.0,16409.0,1140.0,2706.0,2455.0,29106.0,34165.0
2023-02-06,21927.0,12454.0,21080.0,1221.0,2266.0,3490.0,4932.0,7592.0
2023-02-07,22688.0,12700.0,20679.0,1226.0,2890.0,3275.0,15087.0,23067.0
2023-02-08,20418.0,9928.0,17931.0,1032.0,4153.0,3381.0,25708.0,33192.0
2023-02-09,13119.0,3635.0,9317.0,427.0,2583.0,2129.0,37929.0,54786.0
