,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2023-01-01 00:00:00+01:00,427.0,2235.0,44.0,196.0,,924.0,4833.0,591.0,,25779.0,0.0,133.0,14137.0
2023-01-01 01:00:00+01:00,424.0,2253.0,44.0,203.0,,1331.0,4849.0,607.0,,25620.0,0.0,135.0,11777.0
2023-01-01 02:00:00+01:00,426.0,2243.0,44.0,203.0,,1192.0,4853.0,37.0,,25066.0,0.0,136.0,11437.0
2023-01-01 03:00:00+01:00,424.0,2306.0,45.0,203.0,,1295.0,4715.0,,21.0,24502.0,0.0,136.0,11087.0
2023-01-01 04:00:00+01:00,424.0,2254.0,45.0,202.0,,2486.0,4571.0,,261.0,24423.0,0.0,136.0,10718.0
2023-01-01 05:00:00+01:00,419.0,2251.0,45.0,203.0,,3168.0,4524.0,,188.0,24536.0,0.0,138.0,10130.0
2023-01-01 06:00:00+01:00,423.0,2257.0,46.0,202.0,,3212.0,4615.0,,136.0,24306.0,0.0,136.0,9717.0
2023-01-01 07:00:00+01:00,426.0,2439.0,47.0,202.0,,3358.0,4620.0,,98.0,24405.0,0.0,133.0,9697.0
2023-01-01 08:00:00+01:00,425.0,2479.0,47.0,203.0,,3181.0,4649.0,,189.0,24604.0,271.0,132.0,9141.0
2023-01-01 09:00:00+01:00,427.0,2543.0,49.0,203.0,,3097.0,4673.0,,70.0,23722.0,867.0,132.0,10077.0
2023-01-01 10:00:00+01:00,425.0,2551.0,49.0,204.0,,2852.0,4649.0,38.0,,23949.0,1962.0,131.0,9694.0
2023-01-01 11:00:00+01:00,424.0,2745.0,49.0,204.0,,2160.0,4591.0,152.0,,24684.0,2858.0,128.0,9151.0
2023-01-01 12:00:00+01:00,417.0,2905.0,49.0,200.0,,1003.0,4524.0,1180.0,,24917.0,3349.0,124.0,8050.0
2023-01-01 13:00:00+01:00,417.0,2913.0,49.0,200.0,,1295.0,4578.0,2185.0,,26259.0,3131.0,123.0,7484.0
2023-01-01 14:00:00+01:00,422.0,2824.0,49.0,200.0,,1340.0,4773.0,2194.0,,27838.0,2394.0,122.0,7309.0
2023-01-01 15:00:00+01:00,423.0,2823.0,49.0,200.0,,511.0,4797.0,2217.0,,29005.0,1460.0,119.0,7442.0
2023-01-01 16:00:00+01:00,427.0,2822.0,49.0,200.0,428.0,,4926.0,1552.0,,30156.0,548.0,114.0,8058.0
2023-01-01 17:00:00+01:00,426.0,2638.0,50.0,200.0,2335.0,,5323.0,2108.0,,30884.0,206.0,113.0,9553.0
2023-01-01 18:00:00+01:00,429.0,2475.0,51.0,200.0,2022.0,,5501.0,1850.0,,32138.0,189.0,117.0,11352.0
2023-01-01 19:00:00+01:00,426.0,2455.0,52.0,200.0,1549.0,,5616.0,1317.0,,32531.0,0.0,114.0,12274.0
2023-01-01 20:00:00+01:00,428.0,2516.0,54.0,200.0,684.0,,5442.0,931.0,,32811.0,0.0,119.0,12555.0
2023-01-01 21:00:00+01:00,431.0,2454.0,55.0,200.0,3.0,,5087.0,867.0,,33051.0,0.0,117.0,12303.0
2023-01-01 22:00:00+01:00,431.0,2440.0,56.0,200.0,,133.0,4965.0,794.0,,33408.0,0.0,122.0,11955.0
2023-01-01 23:00:00+01:00,429.0,2442.0,56.0,200.0,54.0,,4828.0,796.0,,33164.0,0.0,125.0,11448.0
2023-01-02 00:00:00+01:00,430.0,2589.0,56.0,200.0,,225.0,4641.0,837.0,,33419.0,0.0,124.0,10994.0
2023-01-02 01:00:00+01:00,430.0,2658.0,56.0,200.0,,2387.0,4589.0,504.0,,33717.0,0.0,125.0,10402.0
2023-01-02 02:00:00+01:00,429.0,2673.0,56.0,200.0,,2908.0,4624.0,420.0,,32717.0,0.0,125.0,9985.0
2023-01-02 03:00:00+01:00,429.0,2684.0,56.0,200.0,,3306.0,4501.0,323.0,,32663.0,0.0,123.0,9358.0
2023-01-02 04:00:00+01:00,431.0,2669.0,55.0,200.0,,3437.0,4380.0,265.0,,33562.0,0.0,125.0,8449.0
2023-01-02 05:00:00+01:00,431.0,2686.0,55.0,200.0,,2076.0,4403.0,361.0,,35522.0,0.0,123.0,7235.0
2023-01-02 06:00:00+01:00,431.0,2746.0,53.0,200.0,,286.0,4629.0,991.0,,37149.0,0.0,122.0,6562.0
2023-01-02 07:00:00+01:00,430.0,2716.0,50.0,201.0,881.0,,5076.0,1249.0,,37903.0,0.0,121.0,6209.0
2023-01-02 08:00:00+01:00,430.0,2981.0,48.0,204.0,1597.0,,5566.0,1180.0,,38725.0,246.0,123.0,5625.0
2023-01-02 09:00:00+01:00,431.0,3029.0,43.0,203.0,1536.0,,5469.0,943.0,,39290.0,555.0,123.0,5320.0
2023-01-02 10:00:00+01:00,432.0,3254.0,39.0,204.0,1314.0,,5458.0,949.0,,39460.0,1302.0,120.0,4972.0
2023-01-02 11:00:00+01:00,433.0,3371.0,40.0,204.0,1560.0,,5408.0,968.0,,39831.0,2033.0,119.0,4890.0
2023-01-02 12:00:00+01:00,429.0,3391.0,41.0,204.0,1855.0,,5142.0,1077.0,,40222.0,2589.0,114.0,5185.0
2023-01-02 13:00:00+01:00,431.0,3358.0,41.0,204.0,1598.0,,5006.0,880.0,,40372.0,2735.0,112.0,5635.0
2023-01-02 14:00:00+01:00,427.0,3369.0,41.0,204.0,1232.0,,5003.0,1018.0,,40370.0,2199.0,107.0,5677.0
