,Fossil Gas,Hydro Water Reservoir,Nuclear,Other,Solar,Wind Onshore
2023-01-01 00:00:00+01:00,0.0,516.0,5799.0,428.0,0.0,877.0
2023-01-01 01:00:00+01:00,0.0,502.0,5800.0,428.0,0.0,757.0
2023-01-01 02:00:00+01:00,0.0,500.0,5799.0,428.0,0.0,659.0
2023-01-01 03:00:00+01:00,0.0,498.0,5799.0,428.0,0.0,587.0
2023-01-01 04:00:00+01:00,0.0,496.0,5800.0,437.0,0.0,510.0
2023-01-01 05:00:00+01:00,0.0,499.0,5800.0,435.0,0.0,464.0
2023-01-01 06:00:00+01:00,0.0,514.0,5799.0,434.0,0.0,482.0
2023-01-01 07:00:00+01:00,0.0,531.0,5799.0,437.0,0.0,482.0
2023-01-01 08:00:00+01:00,0.0,546.0,5798.0,468.0,0.0,497.0
2023-01-01 09:00:00+01:00,0.0,549.0,5798.0,490.0,1.0,537.0
2023-01-01 10:00:00+01:00,0.0,564.0,5798.0,493.0,4.0,556.0
2023-01-01 11:00:00+01:00,0.0,569.0,5798.0,479.0,6.0,560.0
2023-01-01 12:00:00+01:00,0.0,577.0,5798.0,505.0,6.0,538.0
2023-01-01 13:00:00+01:00,0.0,583.0,5799.0,536.0,4.0,485.0
2023-01-01 14:00:00+01:00,0.0,619.0,5799.0,599.0,1.0,477.0
2023-01-01 15:00:00+01:00,0.0,669.0,5799.0,691.0,0.0,454.0
2023-01-01 16:00:00+01:00,0.0,672.0,5800.0,725.0,0.0,447.0
2023-01-01 17:00:00+01:00,0.0,674.0,5800.0,737.0,0.0,441.0
2023-01-01 18:00:00+01:00,0.0,676.0,5798.0,623.0,0.0,520.0
2023-01-01 19:00:00+01:00,0.0,675.0,5797.0,623.0,0.0,594.0
2023-01-01 20:00:00+01:00,0.0,674.0,5797.0,572.0,0.0,643.0
2023-01-01 21:00:00+01:00,0.0,649.0,5798.0,569.0,0.0,746.0
2023-01-01 22:00:00+01:00,0.0,633.0,5798.0,573.0,0.0,786.0
2023-01-01 23:00:00+01:00,0.0,614.0,5798.0,562.0,0.0,883.0
2023-01-02 00:00:00+01:00,0.0,597.0,5798.0,557.0,0.0,869.0
2023-01-02 01:00:00+01:00,0.0,578.0,5797.0,583.0,0.0,930.0
2023-01-02 02:00:00+01:00,0.0,558.0,5796.0,578.0,0.0,926.0
2023-01-02 03:00:00+01:00,0.0,553.0,5798.0,579.0,0.0,912.0
2023-01-02 04:00:00+01:00,0.0,552.0,5796.0,585.0,0.0,871.0
2023-01-02 05:00:00+01:00,0.0,597.0,5796.0,638.0,0.0,830.0
2023-01-02 06:00:00+01:00,0.0,691.0,5796.0,745.0,0.0,797.0
2023-01-02 07:00:00+01:00,0.0,840.0,5797.0,794.0,0.0,754.0
2023-01-02 08:00:00+01:00,0.0,882.0,5795.0,861.0,0.0,638.0
2023-01-02 09:00:00+01:00,0.0,911.0,5795.0,830.0,0.0,515.0
2023-01-02 10:00:00+01:00,0.0,956.0,5797.0,841.0,2.0,357.0
2023-01-02 11:00:00+01:00,0.0,975.0,5799.0,917.0,3.0,256.0
2023-01-02 12:00:00+01:00,0.0,988.0,5798.0,913.0,3.0,208.0
2023-01-02 13:00:00+01:00,0.0,1006.0,5797.0,934.0,2.0,194.0
2023-01-02 14:00:00+01:00,0.0,1102.0,5798.0,915.0,0.0,224.0
2023-01-02 15:00:00+01:00,0.0,1103.0,5800.0,922.0,0.0,281.0
2023-01-02 16:00:00+01:00,0.0,1103.0,5800.0,946.0,0.0,333.0
2023-01-02 17:00:00+01:00,0.0,1104.0,5799.0,950.0,0.0,393.0
2023-01-02 18:00:00+01:00,0.0,1120.0,5798.0,956.0,0.0,461.0
2023-01-02 19:00:00+01:00,0.0,1098.0,5798.0,954.0,0.0,504.0
2023-01-02 20:00:00+01:00,0.0,1072.0,5797.0,941.0,0.0,605.0
2023-01-02 21:00:00+01:00,0.0,828.0,5799.0,940.0,0.0,682.0
2023-01-02 22:00:00+01:00,0.0,747.0,5800.0,913.0,0.0,740.0
2023-01-02 23:00:00+01:00,0.0,713.0,5799.0,884.0,0.0,783.0
2023-01-03 00:00:00+01:00,0.0,689.0,5798.0,832.0,0.0,814.0
2023-01-03 01:00:00+01:00,0.0,671.0,5797.0,825.0,0.0,839.0
2023-01-03 02:00:00+01:00,0.0,672.0,5797.0,837.0,0.0,893.0
2023-01-03 03:00:00+01:00,0.0,666.0,5797.0,845.0,0.0,926.0
2023-01-03 04:00:00+01:00,0.0,662.0,5798.0,878.0,0.0,935.0
2023-01-03 05:00:00+01:00,0.0,667.0,5798.0,939.0,0.0,959.0
2023-01-03 06:00:00+01:00,0.0,746.0,5796.0,977.0,0.0,981.0
2023-01-03 07:00:00+01:00,0.0,990.0,5796.0,990.0,0.0,1022.0
2023-01-03 08:00:00+01:00,0.0,1091.0,5796.0,996.0,0.0,998.0
2023-01-03 09:00:00+01:00,0.0,1104.0,5795.0,990.0,1.0,980.0
2023-01-03 10:00:00+01:00,0.0,1172.0,5796.0,1007.0,6.0,928.0
2023-01-03 11:00:00+01:00,0.0,1221.0,5798.0,1020.0,12.0,859.0
2023-01-03 12:00:00+01:00,0.0,1234.0,5797.0,1003.0,13.0,779.0
2023-01-03 13:00:00+01:00,0.0,1236.0,5796.0,972.0,9.0,740.0
2023-01-03 14:00:00+01:00,0.0,1237.0,5796.0,968.0,2.0,719.0
2023-01-03 15:00:00+01:00,0.0,1241.0,5796.0,970.0,0.0,692.0
2023-01-03 16:00:00+01:00,0.0,1215.0,5796.0,979.0,0.0,692.0
2023-01-03 17:00:00+01:00,0.0,1215.0,5795.0,1010.0,0.0,642.0
2023-01-03 18:00:00+01:00,0.0,1219.0,5796.0,1008.0,0.0,602.0
2023-01-03 19:00:00+01:00,0.0,1206.0,5795.0,1015.0,0.0,531.0
2023-01-03 20:00:00+01:00,0.0,1200.0,5792.0,1000.0,0.0,515.0
2023-01-03 21:00:00+01:00,0.0,1037.0,5796.0,985.0,0.0,473.0
2023-01-03 22:00:00+01:00,0.0,861.0,5796.0,902.0,0.0,420.0
2023-01-03 23:00:00+01:00,0.0,808.0,5796.0,870.0,0.0,376.0
2023-01-04 00:00:00+01:00,0.0,803.0,5795.0,867.0,0.0,377.0
2023-01-04 01:00:00+01:00,0.0,790.0,5795.0,881.0,0.0,354.0
2023-01-04 02:00:00+01:00,0.0,787.0,5795.0,872.0,0.0,391.0
2023-01-04 03:00:00+01:00,0.0,786.0,5795.0,876.0,0.0,486.0
2023-01-04 04:00:00+01:00,0.0,793.0,5796.0,886.0,0.0,636.0
2023-01-04 05:00:00+01:00,0.0,805.0,5795.0,887.0,0.0,888.0
2023-01-04 06:00:00+01:00,0.0,836.0,5796.0,899.0,0.0,1219.0
2023-01-04 07:00:00+01:00,0.0,1050.0,5797.0,911.0,0.0,1494.0
2023-01-04 08:00:00+01:00,0.0,1096.0,5796.0,906.0,0.0,1665.0
