,Fossil Gas,Hydro Water Reservoir,Other,Solar,Wind Onshore
2023-01-01 00:00:00+01:00,0.0,172.0,143.0,0.0,392.0
2023-01-01 01:00:00+01:00,0.0,172.0,142.0,0.0,411.0
2023-01-01 02:00:00+01:00,0.0,170.0,141.0,0.0,428.0
2023-01-01 03:00:00+01:00,0.0,171.0,142.0,0.0,463.0
2023-01-01 04:00:00+01:00,0.0,171.0,143.0,0.0,506.0
2023-01-01 05:00:00+01:00,0.0,171.0,143.0,0.0,551.0
2023-01-01 06:00:00+01:00,0.0,171.0,143.0,0.0,591.0
2023-01-01 07:00:00+01:00,0.0,173.0,149.0,0.0,612.0
2023-01-01 08:00:00+01:00,0.0,172.0,161.0,0.0,573.0
2023-01-01 09:00:00+01:00,0.0,180.0,166.0,1.0,590.0
2023-01-01 10:00:00+01:00,0.0,186.0,177.0,3.0,675.0
2023-01-01 11:00:00+01:00,0.0,189.0,181.0,7.0,735.0
2023-01-01 12:00:00+01:00,0.0,189.0,191.0,8.0,833.0
2023-01-01 13:00:00+01:00,0.0,189.0,192.0,8.0,898.0
2023-01-01 14:00:00+01:00,0.0,191.0,192.0,2.0,985.0
2023-01-01 15:00:00+01:00,0.0,191.0,210.0,0.0,1044.0
2023-01-01 16:00:00+01:00,0.0,194.0,210.0,0.0,1056.0
2023-01-01 17:00:00+01:00,0.0,209.0,207.0,0.0,1079.0
2023-01-01 18:00:00+01:00,0.0,209.0,197.0,0.0,1056.0
2023-01-01 19:00:00+01:00,0.0,211.0,194.0,0.0,958.0
2023-01-01 20:00:00+01:00,0.0,212.0,191.0,0.0,884.0
2023-01-01 21:00:00+01:00,0.0,208.0,192.0,0.0,808.0
2023-01-01 22:00:00+01:00,0.0,194.0,195.0,0.0,756.0
2023-01-01 23:00:00+01:00,0.0,194.0,192.0,0.0,751.0
2023-01-02 00:00:00+01:00,0.0,191.0,185.0,0.0,662.0
2023-01-02 01:00:00+01:00,0.0,191.0,182.0,0.0,644.0
2023-01-02 02:00:00+01:00,0.0,191.0,181.0,0.0,607.0
2023-01-02 03:00:00+01:00,0.0,191.0,184.0,0.0,570.0
2023-01-02 04:00:00+01:00,0.0,190.0,185.0,0.0,502.0
2023-01-02 05:00:00+01:00,0.0,191.0,185.0,0.0,450.0
2023-01-02 06:00:00+01:00,0.0,192.0,193.0,0.0,409.0
2023-01-02 07:00:00+01:00,0.0,208.0,194.0,0.0,371.0
2023-01-02 08:00:00+01:00,0.0,218.0,194.0,0.0,352.0
2023-01-02 09:00:00+01:00,0.0,218.0,219.0,1.0,333.0
2023-01-02 10:00:00+01:00,0.0,220.0,223.0,2.0,306.0
2023-01-02 11:00:00+01:00,0.0,221.0,223.0,3.0,306.0
2023-01-02 12:00:00+01:00,0.0,222.0,224.0,3.0,308.0
2023-01-02 13:00:00+01:00,0.0,227.0,225.0,2.0,343.0
2023-01-02 14:00:00+01:00,0.0,227.0,224.0,1.0,383.0
2023-01-02 15:00:00+01:00,0.0,227.0,224.0,0.0,434.0
2023-01-02 16:00:00+01:00,0.0,226.0,224.0,0.0,447.0
2023-01-02 17:00:00+01:00,0.0,225.0,224.0,0.0,464.0
2023-01-02 18:00:00+01:00,0.0,225.0,224.0,0.0,580.0
2023-01-02 19:00:00+01:00,0.0,224.0,220.0,0.0,677.0
2023-01-02 20:00:00+01:00,0.0,223.0,217.0,0.0,843.0
2023-01-02 21:00:00+01:00,0.0,223.0,194.0,0.0,966.0
2023-01-02 22:00:00+01:00,0.0,210.0,190.0,0.0,1110.0
2023-01-02 23:00:00+01:00,0.0,210.0,190.0,0.0,1170.0
2023-01-03 00:00:00+01:00,0.0,212.0,188.0,0.0,1265.0
2023-01-03 01:00:00+01:00,0.0,213.0,185.0,0.0,1271.0
2023-01-03 02:00:00+01:00,0.0,213.0,184.0,0.0,1291.0
2023-01-03 03:00:00+01:00,0.0,212.0,187.0,0.0,1247.0
2023-01-03 04:00:00+01:00,0.0,212.0,187.0,0.0,1210.0
2023-01-03 05:00:00+01:00,0.0,213.0,207.0,0.0,1127.0
2023-01-03 06:00:00+01:00,0.0,231.0,224.0,0.0,1004.0
2023-01-03 07:00:00+01:00,0.0,240.0,227.0,0.0,888.0
2023-01-03 08:00:00+01:00,0.0,243.0,229.0,0.0,801.0
2023-01-03 09:00:00+01:00,0.0,246.0,229.0,2.0,722.0
2023-01-03 10:00:00+01:00,0.0,246.0,237.0,7.0,667.0
2023-01-03 11:00:00+01:00,0.0,248.0,235.0,11.0,606.0
2023-01-03 12:00:00+01:00,0.0,249.0,235.0,14.0,555.0
2023-01-03 13:00:00+01:00,0.0,249.0,240.0,13.0,509.0
2023-01-03 14:00:00+01:00,0.0,249.0,240.0,5.0,454.0
