,Fossil Gas,Hydro Water Reservoir,Nuclear,Other,Solar,Wind Onshore
2023-01-01,0.0,98529.0,139168.0,19458.0,52.0,144522.0
2023-01-02,0.0,222812.0,139143.0,28665.0,24.0,85066.0
2023-01-03,0.0,228931.0,139109.0,34235.0,98.0,112454.0
2023-01-04,0.0,207652.0,139086.0,33240.0,21.0,103635.0
2023-01-05,0.0,216465.0,139067.0,34037.0,42.0,89488.0
2023-01-06,0.0,229581.0,139043.0,31983.0,23.0,121774.0
2023-01-07,0.0,186370.0,139074.0,31121.0,34.0,128240.0
2023-01-08,0.0,115765.0,139045.0,26349.0,28.0,145563.0
2023-01-09,0.0,211378.0,139027.0,30479.0,30.0,75539.0
2023-01-10,90.0,249373.0,139038.0,31006.0,80.0,60582.0
2023-01-11,0.0,170528.0,139026.0,29539.0,40.0,160986.0
2023-01-12,0.0,172519.0,139052.0,27241.0,40.0,165702.0
2023-01-13,0.0,211303.0,139071.0,28795.0,94.0,98665.0
2023-01-14,0.0,186583.0,134167.0,27542.0,94.0,88414.0
2023-01-15,0.0,113480.0,139109.0,22719.0,131.0,142628.0
2023-01-16,0.0,220723.0,139081.0,29745.0,170.0,104654.0
2023-01-17,0.0,214970.0,139038.0,28387.0,38.0,138719.0
2023-01-18,0.0,243985.0,139026.0,29363.0,233.0,97494.0
2023-01-19,0.0,275992.0,138954.0,32399.0,158.0,45256.0
2023-01-20,0.0,258506.0,138967.0,34396.0,131.0,70529.0
2023-01-21,0.0,246481.0,138954.0,32791.0,334.0,83732.0
2023-01-22,0.0,221928.0,138943.0,33088.0,299.0,128225.0
2023-01-23,0.0,213175.0,138907.0,39541.0,264.0,142967.0
2023-01-24,0.0,186845.0,138893.0,36079.0,234.0,180943.0
2023-01-25,0.0,138705.0,138879.0,29097.0,118.0,223974.0
2023-01-26,0.0,207506.0,138866.0,32205.0,241.0,160612.0
2023-01-27,0.0,206776.0,138920.0,34162.0,462.0,138462.0
2023-01-28,0.0,136602.0,138972.0,26957.0,152.0,208019.0
2023-01-29,0.0,140598.0,138971.0,25456.0,163.0,202417.0
2023-01-30,0.0,141292.0,138981.0,26093.0,360.0,228448.0
2023-01-31,0.0,219818.0,138953.0,31250.0,246.0,146463.0
2023-02-01,0.0,269361.0,138957.0,32180.0,266.0,80230.0
2023-02-02,0.0,263038.0,138931.0,36268.0,715.0,83865.0
2023-02-03,0.0,281293.0,138903.0,32551.0,210.0,69432.0
2023-02-04,0.0,242639.0,138918.0,34103.0,802.0,97727.0
2023-02-05,0.0,181551.0,138984.0,30823.0,222.0,175055.0
2023-02-06,0.0,219458.0,138991.0,38089.0,769.0,130127.0
2023-02-07,0.0,211011.0,139003.0,32005.0,292.0,158180.0
2023-02-08,25.0,170826.0,138978.0,31527.0,453.0,202192.0
2023-02-09,0.0,99460.0,115828.0,22056.0,388.0,212848.0
